target_type,target_id,warehouse_code,warehouse_id,item_id,item_code,old_floor_id,new_floor_id,old_location_id,old_location_name,new_shelf_code,new_location_id,requires_location_create,quantity,status
lot,56062,91,91,210113,210113,11,11,104,G04,G04201,1415,no,7,
lot,55033,91,91,156935,156935,4,11,4,ZZ1100,I07307,2084,no,-1,
