status,warehouse_code,warehouse_id,item_code,item_name,real_stock_id,real_current_quantity,real_available_quantity,lot_id,lot_current_quantity,lot_reserved_quantity,lot_available_quantity,purchase_id,trade_item_id,location_id,wms_shelf,expected_oracle_shelf,oracle_shelves,oracle_products
match,91,91,111194,　松竹梅上撰　豪快１．８Ｌ,52120,6,6,56573,6,0,6,824,53283,2813,F02210,F02210,F02210,111194000:F02210:0:1202:0
oracle_no_shelf,91,91,111209,　白鶴まる辛口カップ２００ｍｌ,35571,30,30,55948,30,0,30,,,11,zz1,,,111209000::0:1021:30|111209900::::30
oracle_no_shelf,91,91,111218,　菊正宗上撰生貯蔵酒３００ｍｌ（段ボ－ル）,35572,10,10,56034,10,0,10,,,11,zz1,,,111218000::0:1202:10|111218200::::10|111218900::::10
match,91,91,111239,　富久娘上撰１．８Ｌ,35573,107,107,52238,107,0,107,323,12147,2674,Z01102,Z01102,Z01102,111239000:Z01102:0:1330:47|111239100::::47|111239200::::47|111239300::::47|111239900::::47
match,91,91,111248,　松竹梅佳撰　豪快１．８Ｌ,35574,167,167,35396,167,0,167,,,2651,W08101,W08101,W08101,111248000:W08101:0:1202:195
match,91,91,111299,　白鶴　輝　黒ラベル　淡麗辛口１．８Ｌ,35575,5,5,35397,5,0,5,,,1489,G06105,G06105,G06105,111299000:G06105:0:1021:5
match,91,91,111338,　松竹梅　「昴」　生貯蔵酒３００ｍｌ,35576,11,11,35398,11,0,11,,,1022,E09208,E09208,E09208,111338000:E09208:0:1202:16
match,91,91,111340,　松竹梅　澪ＣＬＥＡＲ　スパークリング３００ｍｌ,35577,5,5,35399,5,0,5,,,1067,E10216,E10216,E10216,111340000:E10216:0:1202:7
match,91,91,111341,　松竹梅　澪ＣＬＥＡＲ　スパークリング１５０ｍｌ,35578,20,20,35400,20,0,20,,,903,E06208,E06208,E06208,111341000:E06208:0:1202:20
match,91,91,111354,　月桂冠エコカップ　つき２１０ｍｌ,35579,23,23,35401,23,0,23,,,2669,YC0000,YC0000,YC0000,111354000:YC0000:0:1330:25
match,91,91,111396,　月桂冠生酒１８０ｍｌ,35580,30,30,35402,30,0,30,,,2447,L18306,L18306,L18306,111396000:L18306:0:1330:30
match,91,91,111421,　松竹梅豪快　上撰　プリント瓶１８０ｍｌ,35581,180,180,35403,180,0,180,,,2581,W05205,W05205,W05205,111421000:W05205:0:1202:180
match,91,91,111422,　白雪丹波伝承仕込１．８Ｌ,35582,10,10,53236,4,0,4,448,26361,902,E06207,E06207,E06207,111422000:E06207:0:1202:1
match,91,91,111422,　白雪丹波伝承仕込１．８Ｌ,35582,10,10,54366,6,0,6,573,49092,902,E06207,E06207,E06207,111422000:E06207:0:1202:1
match,91,91,111469,　大関　辛丹波　にごり７２０ｍｌ,35583,2,2,35405,2,0,2,,,1035,E09310,E09310,E09310,111469000:E09310:0:1021:9
match,91,91,111470,　大関　上撰　辛丹波　生貯蔵７２０ｍｌ,35584,15,15,35406,15,0,15,,,974,E08107,E08107,E08107,111470000:E08107:0:1021:17
match,91,91,111471,　白鶴　ハクツルブラン７２０ｍｌ,35585,2,2,35407,2,0,2,,,1165,F01317,F01317,F01317,111471000:F01317:0:1021:2
match,91,91,111477,　京舞妓　生貯蔵酒３００ｍｌ,35586,48,48,35408,48,0,48,,,2516,R02206,R02206,R02206,111477000:R02206:0:1202:48
oracle_no_shelf,91,91,111897,　大関ワンカップミニ１００ｍｌ,35587,15,15,55987,15,0,15,,,11,zz1,,,111897000::0:1021:15
match,91,91,112001,　花垣特撰　大吟醸１．８Ｌ,35588,5,5,52194,5,0,5,308,12097,901,E06206,E06206,E06206,112001000:E06206:0:1370:5
match,91,91,112018,　越前岬　蔵出し本醸造１．８Ｌ,35589,2,2,35410,2,0,2,,,1251,F07105,F07105,F07105,112018000:F07105:0:1460:9
match,91,91,112020,　越前岬　純米吟醸　雪舟７２０ｍｌ（カートン入）,35590,0,0,56655,6,0,6,855,53428,1505,G06303,G06303,G06303,112020000:G06303:0:1460:12
match,91,91,112029,　福千歳ＲＩＣＥ　ＷＩＮＥ（らいすわいん）７２０ｍｌ,51501,-3,-3,56662,36,0,36,856,53438,2821,G05302,G05302,G05302,112029000:G05302:0:1512:0
match,91,91,112030,　永平寺白龍　純米生貯造酒３００ｍｌ,35591,8,8,35412,16,8,8,,,1539,G07402,G07402,G07402,112030000:G07402:0:1263:12
match_one_of_multiple,91,91,112037,　関西　佳撰１．８Ｌ,35592,41,40,35413,34,0,34,,,2714,P16101,P16101|W02102,P16101|W02102,112037000:P16101:0:1741:41|112037001:W02102:0:1021:41|112037900:W02102:::41
match_one_of_multiple,91,91,112037,　関西　佳撰１．８Ｌ,35592,41,40,52143,7,1,6,294,11971,2714,P16101,P16101|W02102,P16101|W02102,112037000:P16101:0:1741:41|112037001:W02102:0:1021:41|112037900:W02102:::41
match,91,91,112047,　雲乃井　純米吟醸　東雲１．８Ｌ,35593,1,1,35414,1,0,1,,,2592,W06110,W06110,W06110,112047000:W06110:0:1021:1
match,91,91,112056,　梵　吟撰７２０ｍｌ　（箱有）,35594,91,91,35415,67,0,67,,,2556,W02201,W02201,W02201,112056000:W02201:0:1514:103
match,91,91,112056,　梵　吟撰７２０ｍｌ　（箱有）,35594,91,91,55090,24,0,24,664,50728,2556,W02201,W02201,W02201,112056000:W02201:0:1514:103
match,91,91,112059,　福千歳山廃純米　ひと肌恋し１．８Ｌ,35595,2,2,35416,2,0,2,,,2587,W06105,W06105,W06105,112059000:W06105:0:1512:2
match,91,91,112063,　梵吉平　純米大吟醸７２０ｍｌ,35596,2,4,56141,4,0,4,,,2560,W02303,W02303,W02303,112063000:W02303:0:1514:2
match,91,91,112080,　越の磯　純米酒　寒仕込み１．８Ｌ,35597,-1,3,35418,3,0,3,,,1011,E09106,E09106,E09106,112080000:E09106:0:1825:4
match_one_of_multiple,91,91,112086,　一本義　辛口クラシック１．８Ｌ（旧金印）,35598,252,252,35419,149,0,149,,,2715,W09104,W04101|W09104,W04101|W09104,112086000:W09104:0:1202:201|112086001:W04101:::201|112086100:W04101:::201|112086200:W04101:::201|112086900:W04101:::201
match_one_of_multiple,91,91,112086,　一本義　辛口クラシック１．８Ｌ（旧金印）,35598,252,252,54779,49,0,49,624,49512,2715,W09104,W04101|W09104,W04101|W09104,112086000:W09104:0:1202:201|112086001:W04101:::201|112086100:W04101:::201|112086200:W04101:::201|112086900:W04101:::201
match_one_of_multiple,91,91,112086,　一本義　辛口クラシック１．８Ｌ（旧金印）,35598,252,252,55085,54,0,54,662,50713,2715,W09104,W04101|W09104,W04101|W09104,112086000:W09104:0:1202:201|112086001:W04101:::201|112086100:W04101:::201|112086200:W04101:::201|112086900:W04101:::201
match,91,91,112098,　花垣純米　超辛口１．８Ｌ,35599,-1,-2,35420,1,1,0,,,1252,F07106,F07106,F07106,112098000:F07106:0:1370:16
match,91,91,112103,　黒龍　吟醸　いっちょらい３００ｍｌ,35600,-237,-261,51385,22,22,0,119,2325,471,AW0000,AW0000,AW0000,112103000:AW0000:0:2018:146
match,91,91,112103,　黒龍　吟醸　いっちょらい３００ｍｌ,35600,-237,-261,51389,2,2,0,120,2336,471,AW0000,AW0000,AW0000,112103000:AW0000:0:2018:146
match,91,91,112110,　花垣特撰大吟醸３００ｍｌ,35601,6,1,35422,6,0,6,,,1242,F06103,F06103,F06103,112110000:F06103:0:1370:33
match_one_of_multiple,91,91,112115,　一本義　生貯蔵酒３００ｍｌ,35602,717,624,35423,438,72,366,,,712,D06105,D04104|D06105,D04104|D06105,112115000:D06105:0:1202:542|112115900:D04104:::542
match_one_of_multiple,91,91,112115,　一本義　生貯蔵酒３００ｍｌ,35602,717,624,54780,119,21,98,624,49513,712,D06105,D04104|D06105,D04104|D06105,112115000:D06105:0:1202:542|112115900:D04104:::542
match_one_of_multiple,91,91,112115,　一本義　生貯蔵酒３００ｍｌ,35602,717,624,55086,160,0,160,662,50714,712,D06105,D04104|D06105,D04104|D06105,112115000:D06105:0:1202:542|112115900:D04104:::542
mismatch_single_oracle_shelf,91,91,112117,　越前岬　大吟醸　吟の雫１．８Ｌ,51843,1,1,52385,1,0,1,361,12486,327,Z00,Q00000,Q00000,112117000:Q00000:0:1460:0
match,91,91,112125,○花垣純米大吟醸１．８Ｌ,35603,1,1,35424,1,0,1,,,1488,G06103,G06103,G06103,112125000:G06103:0:1370:7
match,91,91,112126,　わかさの酒　鯖専用純米酒１．８Ｌ,52090,1,1,56340,1,0,1,,,2857,W06401,W06401,W06401,112126000:W06401:0:1694:0
oracle_no_shelf,91,91,112143,　福千歳上撰１．８Ｌ,51827,2,2,52250,2,0,2,328,12161,327,Z00,,,112143000::0:1512:0
match,91,91,112148,　真名鶴美雨　ｒｏｓｅ３００ｍｌ,37330,4,4,37094,4,0,4,,,1076,E10309,E10309,E10309,112148000:E10309:0:1679:7
match,91,91,112151,　越の磯　春夏秋雪越前　純米吟醸３００ｍｌ,37331,39,39,37095,39,0,39,,,1498,G06201,G06201,G06201,112151000:G06201:0:1825:43
oracle_no_shelf,91,91,112174,　北の庄純米酒「長命酔」１．８Ｌ,51822,1,1,52242,1,0,1,325,12151,11,zz1,,,112174000::0:1539:0
match,91,91,112177,　花垣　純米吟醸１．８Ｌ,37332,14,14,37096,14,0,14,,,845,E05105,E05105,E05105,112177000:E05105:0:1370:14
match,91,91,112182,　舞美人純米酒７２０ｍｌ,37333,3,3,51326,1,0,1,98,2104,2495,Q00000,Q00000,Q00000,112182000:Q00000:0:1536:2
match,91,91,112182,　舞美人純米酒７２０ｍｌ,37333,3,3,56218,2,0,2,,,2495,Q00000,Q00000,Q00000,112182000:Q00000:0:1536:2
