status,warehouse_code,item_code,item_name,wms_shelf,expected_oracle_shelf,oracle_shelves,lot_count,total_lot_current,total_lot_available,oracle_products
manual_multiple_oracle_shelves,91,212069,　カゴメ　野菜生活１００　１９０ｇ,Z00,N01101|Q00000,N01101|Q00000,1,62,62,212069000:Q00000:0:1202:0|212069100:N01101:::0|212069900:N01101:::0
manual_multiple_oracle_shelves,91,214194,　アサヒワンダ　特製カフェオレ１８５ｇ缶,Z00,H08202|Q00000,H08202|Q00000,1,30,0,214194000:Q00000:0:1106:0|214194100:H08202:::0|214194900:H08202:::0
match,91,111010,　白鶴上撰生貯蔵酒１８０ｍｌ,W07203,W07203,W07203,1,13,13,111010000:W07203:0:1021:13
match,91,111026,　松竹梅豪快　生酒３００ｍｌ,W05103,W05103,W05103,1,67,67,111026000:W05103:0:1202:87
match,91,111028,　松竹梅　豪快　生酒１８０ｍｌ,W07304,W07304,W07304,1,43,43,111028000:W07304:0:1202:43
match,91,111037,　白鶴上撰生貯蔵酒（ねじ栓）３００ｍｌ,YC0000,YC0000,YC0000,1,1,1,111037000:YC0000:0:1021:2|111037100:YC0000::1021:2|111037200:YC0000::1021:2|111037900:YC0000::1021:2|111037950:YC0000::1021:2
match,91,111048,　月桂冠上撰　瓶１．８Ｌ,E06109,E06109,E06109,1,6,6,111048000:E06109:0:1330:6|111048001:E06109::1330:6|111048002:E06109::1330:6|111048010:E06109:::6|111048100:E06109:::6|111048200:E06109:::6|111048900:E06109:::6|111048901:E06109:::6
match,91,111055,　松竹梅澪　スパークリング３００ｍｌ,H05318,H05318,H05318,2,16,14,111055000:H05318:0:1202:7|111055900:H05318:::7
match,91,111078,　大関生貯蔵酒１８０ｍｌ,AW0000,AW0000,AW0000,1,17,17,111078000:AW0000:0:1021:18
match,91,111106,○日本盛上撰１．８Ｌ,F01105,F01105,F01105,1,4,4,111106000:F01105:0:1202:4|111106001:F01105:0:1202:4
match,91,111116,　松竹梅　上撰１．８Ｌ,P11102,P11102,P11102,1,125,119,111116000:P11102:0:1202:195|111116001:P11102::1202:195|111116002:P11102::1202:195|111116100:P11102:::195|111116101:P11102::1202:195|111116102:::1202:195|111116200:P11102:::195|111116201:P11102::1202:195|111116900:P11102:::195|111116901:P11102::1202:195
match,91,111120,　松竹梅澪　スパークリング１５０ｍｌ,B08104,B08104,B08104,2,631,631,111120000:B08104:0:1202:332|111120900::::332
match,91,111121,　松竹梅澪　スパークリング７５０ｍｌ,E09316,E09316,E09316,1,5,3,111121000:E09316:0:1202:5|111121900:E09316:::5
match,91,111130,○菊正宗上撰　瓶１．８Ｌ,E10103,E10103,E10103,1,10,10,111130000:E10103:0:1202:10|111130001:::1202:10|111130900::::10
match,91,111172,　大関ワンカップジャンボ３００ｍｌ,YC0000,YC0000,YC0000,1,4,4,111172000:YC0000:0:1021:12
match,91,111177,　白鹿　黒松白鹿　上撰超辛本醸　プリント瓶１８０ｍｌ（串カツ田中様）,D06203,D06203,D06203,1,12,12,111177000:D06203:0:1021:12
match,91,111194,　松竹梅上撰　豪快１．８Ｌ,F02210,F02210,F02210,1,6,6,111194000:F02210:0:1202:0
match,91,111239,　富久娘上撰１．８Ｌ,Z01102,Z01102,Z01102,1,107,107,111239000:Z01102:0:1330:47|111239100::::47|111239200::::47|111239300::::47|111239900::::47
match,91,111248,　松竹梅佳撰　豪快１．８Ｌ,W08101,W08101,W08101,1,167,167,111248000:W08101:0:1202:195
match,91,111299,　白鶴　輝　黒ラベル　淡麗辛口１．８Ｌ,G06105,G06105,G06105,1,5,5,111299000:G06105:0:1021:5
match,91,111338,　松竹梅　「昴」　生貯蔵酒３００ｍｌ,E09208,E09208,E09208,1,11,11,111338000:E09208:0:1202:16
match,91,111340,　松竹梅　澪ＣＬＥＡＲ　スパークリング３００ｍｌ,E10216,E10216,E10216,1,5,5,111340000:E10216:0:1202:7
match,91,111341,　松竹梅　澪ＣＬＥＡＲ　スパークリング１５０ｍｌ,E06208,E06208,E06208,1,20,20,111341000:E06208:0:1202:20
match,91,111354,　月桂冠エコカップ　つき２１０ｍｌ,YC0000,YC0000,YC0000,1,23,23,111354000:YC0000:0:1330:25
match,91,111396,　月桂冠生酒１８０ｍｌ,L18306,L18306,L18306,1,30,30,111396000:L18306:0:1330:30
match,91,111421,　松竹梅豪快　上撰　プリント瓶１８０ｍｌ,W05205,W05205,W05205,1,180,180,111421000:W05205:0:1202:180
match,91,111422,　白雪丹波伝承仕込１．８Ｌ,E06207,E06207,E06207,2,10,10,111422000:E06207:0:1202:1
match,91,111469,　大関　辛丹波　にごり７２０ｍｌ,E09310,E09310,E09310,1,2,2,111469000:E09310:0:1021:9
match,91,111470,　大関　上撰　辛丹波　生貯蔵７２０ｍｌ,E08107,E08107,E08107,1,15,15,111470000:E08107:0:1021:17
match,91,111471,　白鶴　ハクツルブラン７２０ｍｌ,F01317,F01317,F01317,1,2,2,111471000:F01317:0:1021:2
match,91,111477,　京舞妓　生貯蔵酒３００ｍｌ,R02206,R02206,R02206,1,48,48,111477000:R02206:0:1202:48
match,91,112001,　花垣特撰　大吟醸１．８Ｌ,E06206,E06206,E06206,1,5,5,112001000:E06206:0:1370:5
match,91,112018,　越前岬　蔵出し本醸造１．８Ｌ,F07105,F07105,F07105,1,2,2,112018000:F07105:0:1460:9
match,91,112020,　越前岬　純米吟醸　雪舟７２０ｍｌ（カートン入）,G06303,G06303,G06303,1,6,6,112020000:G06303:0:1460:12
match,91,112029,　福千歳ＲＩＣＥ　ＷＩＮＥ（らいすわいん）７２０ｍｌ,G05302,G05302,G05302,1,36,36,112029000:G05302:0:1512:0
match,91,112030,　永平寺白龍　純米生貯造酒３００ｍｌ,G07402,G07402,G07402,1,16,8,112030000:G07402:0:1263:12
match,91,112047,　雲乃井　純米吟醸　東雲１．８Ｌ,W06110,W06110,W06110,1,1,1,112047000:W06110:0:1021:1
match,91,112056,　梵　吟撰７２０ｍｌ　（箱有）,W02201,W02201,W02201,2,91,91,112056000:W02201:0:1514:103
match,91,112059,　福千歳山廃純米　ひと肌恋し１．８Ｌ,W06105,W06105,W06105,1,2,2,112059000:W06105:0:1512:2
match,91,112063,　梵吉平　純米大吟醸７２０ｍｌ,W02303,W02303,W02303,1,4,4,112063000:W02303:0:1514:2
match,91,112080,　越の磯　純米酒　寒仕込み１．８Ｌ,E09106,E09106,E09106,1,3,3,112080000:E09106:0:1825:4
match,91,112098,　花垣純米　超辛口１．８Ｌ,F07106,F07106,F07106,1,1,0,112098000:F07106:0:1370:16
match,91,112103,　黒龍　吟醸　いっちょらい３００ｍｌ,AW0000,AW0000,AW0000,2,24,0,112103000:AW0000:0:2018:146
match,91,112110,　花垣特撰大吟醸３００ｍｌ,F06103,F06103,F06103,1,6,6,112110000:F06103:0:1370:33
match,91,112125,○花垣純米大吟醸１．８Ｌ,G06103,G06103,G06103,1,1,1,112125000:G06103:0:1370:7
match,91,112126,　わかさの酒　鯖専用純米酒１．８Ｌ,W06401,W06401,W06401,1,1,1,112126000:W06401:0:1694:0
match,91,112148,　真名鶴美雨　ｒｏｓｅ３００ｍｌ,E10309,E10309,E10309,1,4,4,112148000:E10309:0:1679:7
match,91,112151,　越の磯　春夏秋雪越前　純米吟醸３００ｍｌ,G06201,G06201,G06201,1,39,39,112151000:G06201:0:1825:43
match,91,112177,　花垣　純米吟醸１．８Ｌ,E05105,E05105,E05105,1,14,14,112177000:E05105:0:1370:14
match,91,112182,　舞美人純米酒７２０ｍｌ,Q00000,Q00000,Q00000,2,3,3,112182000:Q00000:0:1536:2
match,91,112194,　一本義　山田錦１．８Ｌ,C06102,C06102,C06102,2,14,14,112194000:C06102:0:1202:9
match,91,112197,　富久駒一筆啓上　純米吟醸７２０ｍｌ（箱入）,G05301,G05301,G05301,1,2,2,112197000:G05301:0:1166:5
match,91,112199,　梵ＧＯＬＤ（ゴールド）　無濾過純米大吟醸７２０ｍｌ,W01203,W01203,W01203,1,12,0,112199000:W01203:0:1514:49
match,91,112203,　一本義　辛爽系（からさわけい）純米吟醸７２０ｍｌ,C01201,C01201,C01201,2,105,81,112203000:C01201:0:1202:98
match,91,112216,　越前岬　大吟醸１．８Ｌ,I08107,I08107,I08107,1,3,3,112216000:I08107:0:1460:3
match,91,112217,　越前岬　大吟醸７２０ｍｌ,I08103,I08103,I08103,2,7,7,112217000:I08103:0:1460:1
