status,warehouse_code,item_code,item_name,wms_shelf,expected_oracle_shelf,oracle_shelves,lot_count,total_lot_current,total_lot_available,oracle_products
match,91,143244,　サントリー　プレミアムモルツ３５０ｍｌ,AH30SP,AH30SP,AH30SP,2,2024,2024,143244000:AH30SP:0:1021:1848|143244100:AH30SP:::1848|143244101:AH30SP:::1848|143244110:AH30SP:::1848|143244120:AH30SP:::1848|143244130:AH30SP:::1848|143244140:AH30SP:::1848|143244200:AH30SP:::1848|143244201:AH30SP:::1848|143244210:AH30SP:::1848|143244900:AH30SP:::1848|143244901:AH30SP:::1848|143244910:AH30SP:::1848|143244920:AH30SP:::1848
match,91,143265,　サントリー　生ビール　樽１０Ｌ,AH10SN,AH10SN,AH10SN,2,29,28,143265000:AH10SN:0:1021:23
match,91,143266,　サントリー　生ビール　樽１５Ｌ,AH15SN,AH15SN,AH15SN,1,21,22,143266000:AH15SN:0:1021:45
match,91,143267,　サントリー　生ビール　樽２０Ｌ,AG30SN,AG30SN,AG30SN,2,4,3,143267000:AG30SN:0:1021:3
match,91,143277,　キリン　一番搾り　生樽１５Ｌ,AF102K,AF102K,AF102K,3,150,139,143277000:AF102K:0:1330:107
match,91,143307,　キリン　晴れ風３ＬＰＥＴ,AB105H,AB105H,AB105H,3,48,48,143307000:AB105H:0:1330:24|143307900:AB105H:::24
match,91,144010,　ドラフトギネス樽詰１５Ｌ,AG30DG,AG30DG,AG30DG,1,2,2,144010000:AG30DG:0:1330:2
match,91,144060,　カールスバーグ　ドラフト樽１０Ｌ,AG20KB,AG20KB,AG20KB,2,4,4,144060000:AG20KB:0:1021:5
match,91,145001,　アサヒプレミアム生＜熟撰＞１０Ｌ樽,AF203A,AF203A,AF203A,2,27,26,145001000:AF203A:0:1021:16
match,91,145005,　サントリー　プレミアムモルツ１０Ｌ,AH10PM,AH10PM,AH10PM,2,34,33,145005000:AH10PM:0:1021:38
match,91,145006,　キリンハートランド　樽７Ｌ,AG20HT,AG20HT,AG20HT,1,10,10,145006000:AG20HT:0:1330:11
match,91,145008,　サッポロ北海道生搾り生樽２０Ｌ,AH20HN,AH20HN,AH20HN,3,10,10,145008000:AH20HN:0:1202:4
match,91,145011,　アサヒ　プレミアム生　熟撰５Ｌ,AG105J,AG105J,AG105J,1,23,23,145011000:AG105J:0:1021:28
