warehouse_code,warehouse_name,location_id,location_name_hex,location_name,code1,code2,code3,floor_name,item_id,item_code,item_name,lot_count,lot_current_quantity,lot_reserved_quantity,real_stock_current_quantity
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,251040,251040,　アサヒ　ウィルキンソン　タグソバー　レモンジンジャー３５０ｍｌ,1,24,0,24
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,722035,722035,　空容器ビール樽５Ｌ,14,24,0,1162
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,722003,722003,　空容器　ビ－ルケ－ス（大中）,19,23,0,3135
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,155253,155253,　ラシャス　ポワレフレッシュ　７５０ｍｌ,1,21,0,21
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,156631,156631,×カリテラ　レゼルヴァ　シャルドネ　７５０ｍｌ,1,20,0,20
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,156763,156763,×カリテラ　レセルヴァ　シャルドネ　３７５ｍｌ,1,20,0,20
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,112759,112759,　福千歳円　山廃純米７２０ｍｌ,1,19,6,19
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,157751,157751,　カステルカンブラス　白　７５０ｍｌ,1,19,0,19
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,151115,151115,　ＪＡ三方五湖　梅ワイン（ロゼ）　５００ｍｌ,1,18,0,18
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,151165,151165,　白山　霧晴　７５０ｍｌ,1,18,0,18
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,151382,151382,　白山ワイン　ｄａｎｄａｎ　ロゼ　３６０ｍｌ,1,18,0,18
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,152670,152670,　ベンド　シャルドネ　７５０ｍｌ,1,18,0,18
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,155406,155406,　アンジュエール　白　７５０ｍｌ,1,18,0,18
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,157659,157659,　カステルカンブラス　赤　７５０ｍｌ,1,18,0,18
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,171751,171751,　富久駒一筆啓上　柚子の酒５００ｍｌ（ケース無し）,1,18,0,18
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,122895,122895,　２５°本格芋焼酎　伊七郎　１．８Ｌ,1,17,0,17
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,155166,155166,　サントリー　ポンパドール　ライチ　７５０ｍｌ,1,17,0,17
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,123569,123569,　２５°いいちこ　深薫１．８Ｌ（麦）,1,16,0,16
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,151258,151258,　メルシャン　ビストロ　ボックス　赤パック　１．８Ｌ,1,16,0,16
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,152380,152380,×カルベ　メドック　赤　３７５ｍｌ,1,16,0,16
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,111897,111897,　大関ワンカップミニ１００ｍｌ,1,15,0,15
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,122264,122264,　２０°わんこペット２．７Ｌ（麦）,1,15,0,15
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,153595,153595,×サンタヘレナ　シグロ　カベルネソービニヨン　３７５ｍｌ,1,15,0,15
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,158973,158973,　ベンド　カベルネソービニヨン　７５０ｍｌ,1,15,0,15
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,112539,112539,　永平寺白龍　純米酒７２０ｍｌ,1,14,0,14
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,154749,154749,　ドメーヌ　フランソワ　ヴィラール　ヴィオニエ　７５０ｍｌ,1,14,0,14
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,171237,171237,　梅乃宿　甘くておいしいキャロット＆オレンジ１．８Ｌ,1,14,0,14
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,171764,171764,　富久駒　一筆啓上　梅の酒５００ｍｌ（ケース無し）,1,14,0,14
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,119168,119168,　雲乃井　純米吟醸生貯　東雲３００ｍｌ,1,13,0,13
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,123488,123488,×２５°金黒９００ｍｌ（芋）,1,13,0,13
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,151350,151350,　白山ワイナリー　Ｄｓｔｙｌｅ　７２０ｍｌ,1,13,0,13
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,155411,155411,　アンジュエール　ロゼ　７５０ｍｌ,1,13,0,13
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,112411,112411,　小浜酒造純米わかさ７２０ｍｌ,1,12,0,12
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,123429,123429,　２５°黒丸　黒７２０ｍｌ（芋）,1,12,0,12
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,131530,131530,　御岳蒸留所　日置　Ｈｉｏｋｉ　１．８Ｌ瓶,1,12,0,12
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,151268,151268,　白山ワイン　梅スパークリング　７５０ｍｌ,1,12,0,12
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,152512,152512,　レニャー　シャブリ　サンピエール　７５０ｍｌ,1,12,0,12
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,153744,153744,　デロー　レゼルヴ　赤　７５０ｍｌ,1,12,0,12
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,155346,155346,　サントリー　ポンパドール　ストロベリー　７５０ｍｌ,1,12,0,12
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,155455,155455,×ネブリナ　スパークリング　７５０ｍｌ,1,12,0,12
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,155569,155569,　ニコラ　フィアット　ロゼ　ファースト　ブルーム　オブ　サクラ　７５０ｍｌ,1,12,0,12
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,156889,156889,　アルベールビショー　ブルゴーニュシャルドネ　ＶＶ　７５０ｍｌ,1,12,0,12
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,159131,159131,　ドメーヌ　ラ　ガルレ　フェランダ　７５０ｍｌ,1,12,0,12
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,159137,159137,　シャトー　ダイギルケール　７５０ｍｌ,1,12,0,12
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,231511,231511,　直源　丸庄印　醤油１．８Ｌペット,1,12,0,12
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,112785,112785,　游　芳醇超辛口　番外山田錦７２０ｍｌ（白龍）,1,11,0,11
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,152876,152876,　ウィリアムフェーブル　シャブリ　３７５ｍｌ,1,11,0,11
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,155586,155586,　ベルエポック　’１６　７５０ｍｌ,1,11,0,11
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,159013,159013,　プレミオ　モンテプルチアーノ　ダブルッツォ　７５０ｍｌ,1,11,0,11
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,111218,111218,　菊正宗上撰生貯蔵酒３００ｍｌ（段ボ－ル）,1,10,0,10
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,123390,123390,　２５°田苑　金ラベル９００ｍｌ（麦）,1,10,0,10
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,155110,155110,　マルティーニ　アスティ　７５０ｍｌ,1,10,0,10
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,155434,155434,　マム　グラン　コルドン　ロゼ７５０ｍｌ,1,10,0,10
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,155621,155621,　ランソン　ホワイトラベル　セック　７５０ｍｌ,1,10,0,10
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,155650,155650,　ボッテガ　ゴールド７５０ｍｌ,1,10,0,10
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,156663,156663,　ＬＬ　シャブリ　ラ　シャンフルーフ　３７５ｍｌ,1,10,0,10
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,157557,157557,　コートデュローヌルージュ　ルプティアンデソン　７５０ｍｌ,1,10,0,10
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,159132,159132,　シャトー　ブリュンデスパーニュ　エリタージュ　７５０ｍｌ,1,10,0,10
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,171757,171757,　富久駒　一筆啓上　梅の酒５００ｍｌ（クリアケース入）,1,10,0,10
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,723006,723006,　空容器　ジュースケース,10,10,0,1770
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,122898,122898,×２５°長期調和熟成麦焼酎　千年華７２０ｍｌ,1,9,0,9
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,132022,132022,　メーカーズマーク　１Ｌ,1,9,0,9
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,155271,155271,　サントリーポンパドール　マスカット３７５ｍｌ,1,9,0,9
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,155499,155499,　ニコラフィアット　ヴィンテージ　ブランドブラン　７５０ｍｌ,1,9,0,9
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,157956,157956,　パラ　ヒメネス　カベルネソーヴィニヨン　オーガニック,1,9,0,9
91,華むすびの蔵センター,11,E38080,　,　,　,　,華むすびの蔵センター2F,161027,161027,　サントリー　ドライジンエクストラ　７２０ｍｌ,1,9,0,9
