lot_id,real_stock_id,item_id,item_code,item_name,status,current_quantity,reserved_quantity,purchase_id,trade_item_id,old_floor_id,old_location_id,old_shelf,oracle_status,expected_oracle_shelf,oracle_products,patch_status,patch_message,new_location_id,created_location,replacement_reduced_qty,replacement_lot_ids,reservation_updates,picking_result_updates,shortage_updates
27388,27517,210586,210586,　ミツウロコ　四季の恵み　天然水２Ｌ,ACTIVE,4498,2,,,10,252,AN104M,single_oracle_shelf,AN104M,210586000:AN104M:0:1929:5083|210586900:AN104M:::5083,skipped,already_matches,,,0,,0,0,0
21758,21784,185012,185012,　アサヒ　クリアアサヒ　３５０ｍｌ,ACTIVE,4283,1,,,10,437,AI101A,single_oracle_shelf,AI101A,185012000:AI101A:0:1021:6288|185012100:AI101A:::6288|185012200:AI101A:::6288|185012300:AI101A:::6288|185012900:AI101A:::6288|185012901:AI101A:::6288|185012902:AI101A::1021:6288,skipped,already_matches,,,0,,0,0,0
37240,37493,215438,215438,　エクシードＮＥＯ　緑茶５００ｍｌ,ACTIVE,4270,0,,,10,357,AD101R,single_oracle_shelf,AD101R,215438000:AD101R:0:1290:4415|215438900:AD101R:::4415,skipped,already_matches,,,0,,0,0,0
40292,40582,147198,147198,　アサヒ　クリアアサヒ　贅沢ゼロ３５０ｍｌ,ACTIVE,4152,0,,,10,436,AH30ZZ,single_oracle_shelf,AH30ZZ,147198000:AH30ZZ:0:1021:4632|147198100:AH30ZZ:::4632|147198900:AH30ZZ:::4632,skipped,already_matches,,,0,,0,0,0
52457,50501,287777,287777,　カイリューのやさしいうすしおポテト５０ｇ,ACTIVE,4280,336,376,12722,10,2671,YX0000,single_oracle_shelf,YX0000,287777000:YX0000:0:9012:303,skipped,already_matches,,,0,,0,0,0
38700,38963,145060,145060,　アサヒ　スタイルフリー　トリプルゼロ３５０ｍｌ,ACTIVE,3504,0,,,10,435,AH30TZ,single_oracle_shelf,AH30TZ,145060000:AH30TZ:0:1021:4944|145060100:AH30TZ:::4944|145060900:AH30TZ:::4944,skipped,already_matches,,,0,,0,0,0
52341,37407,143059,143059,◎キリン　一番搾り３５０ｍｌ,ACTIVE,3456,0,354,12340,10,459,AL101K,single_oracle_shelf,AL101K,143059000:AL101K:0:1330:7590|143059100:AL101K:::7590|143059101:AL101K:::7590|143059200:AL101K:::7590|143059900:AL101K:::7590|143059901:AL101K:::7590|143059902:AL101K:::7590,skipped,already_matches,,,0,,0,0,0
52344,38970,147017,147017,　キリン　本麒麟３５０ｍｌ,ACTIVE,3456,0,354,12343,10,461,AL103K,single_oracle_shelf,AL103K,147017000:AL103K:0:1330:13752|147017100:AL103K:::13752|147017800:AL103K:::13752|147017900:AL103K:::13752,skipped,already_matches,,,0,,0,0,0
51273,50465,184144,184144,　サントリー　金麦３５０ｍｌ,ACTIVE,3456,0,78,1991,10,201,AN102U,single_oracle_shelf,AN102U,184144000:AN102U:0:1021:12936|184144100:AN102U:::12936|184144300:AN102U:::12936|184144900:AN102U:::12936|184144901:AN102U:::12936|184144902:AN102U:::12936,skipped,already_matches,,,0,,0,0,0
51269,40580,147084,147084,　サントリー　金麦　糖質ｏｆｆ３５０ｍｌ,ACTIVE,3432,0,78,1987,10,427,AH30KO,single_oracle_shelf,AH30KO,147084000:AH30KO:0:1021:5952|147084100:AH30KO:::5952|147084300:AH30KO:::5952|147084900:AH30KO:::5952,skipped,already_matches,,,0,,0,0,0
33456,33624,141019,141019,◎アサヒ　スーパードライ　大瓶６３３ｍｌ,ACTIVE,3272,5,,,10,334,AA102A,single_oracle_shelf,AA102A,141019000:AA102A:0:1021:5170|141019100:AA102A:::5170|141019200:AA102A:::5170|141019300:AA102A:::5170|141019900:AA102A:::5170|141019901:AA102A::1021:5170,skipped,already_matches,,,0,,0,0,0
37144,37389,142908,142908,　アサヒ　新・スーパードライ　生ジョッキ缶３４０ｍｌ,ACTIVE,3192,0,,,10,429,AH30NJ,single_oracle_shelf,AH30NJ,142908000:AH30NJ:0:1021:4368|142908100:AH30NJ:::4368|142908900:AH30NJ:::4368,skipped,already_matches,,,0,,0,0,0
51036,37407,143059,143059,◎キリン　一番搾り３５０ｍｌ,ACTIVE,3108,0,4,567,10,459,AL101K,single_oracle_shelf,AL101K,143059000:AL101K:0:1330:7590|143059100:AL101K:::7590|143059101:AL101K:::7590|143059200:AL101K:::7590|143059900:AL101K:::7590|143059901:AL101K:::7590|143059902:AL101K:::7590,skipped,already_matches,,,0,,0,0,0
51278,35629,142404,142404,　サントリー　パーフェクトサントリービール３５０ｍｌ,ACTIVE,3000,0,78,1996,10,431,AH30PS,single_oracle_shelf,AH30PS,142404000:AH30PS:0:1021:1416|142404100:AH30PS:::1416|142404200:AH30PS:::1416|142404900:AH30PS:::1416,skipped,already_matches,,,0,,0,0,0
51308,51570,142933,142933,　アサヒ　スーパードライ　冷涼辛口５００ｍｌ,ACTIVE,2976,0,88,2078,10,2866,A99999,single_oracle_shelf,A99999,142933000:A99999:0:1021:0|142933100::::0|142933900::::0,skipped,already_matches,,,0,,0,0,0
52239,37491,215435,215435,　エクシードＮＥＯ　烏龍茶２Ｌ,ACTIVE,2977,24,324,12148,10,454,AK103U,single_oracle_shelf,AK103U,215435000:AK103U:0:1290:522|215435900:AK103U:::522,skipped,already_matches,,,0,,0,0,0
37156,37403,143025,143025,◎アサヒ　スーパードライ５００ｍｌ,ACTIVE,2964,24,,,10,464,AL106A,single_oracle_shelf,AL106A,143025000:AL106A:0:1021:5154|143025100:AL106A:::5154|143025200:AL106A:::5154|143025900:AL106A:::5154|143025901:AL106A::1021:5154,skipped,already_matches,,,0,,0,0,0
38693,38956,145014,145014,　サッポロ　極ＺＥＲＯ３５０ｍｌ,ACTIVE,2928,0,,,10,465,AM101S,single_oracle_shelf,AM101S,145014000:AM101S:0:1202:3720|145014100:AM101S:::3720|145014900:AM101S:::3720,skipped,already_matches,,,0,,0,0,0
33463,33631,141037,141037,○キリン　一番搾り　中瓶５００ｍｌ,ACTIVE,2730,24,,,10,349,AB305K,single_oracle_shelf,AB305K,141037000:AB305K:0:1330:2968|141037900:AB305K:::2968|141037901:AB305K::1330:2968,skipped,already_matches,,,0,,0,0,0
52241,37493,215438,215438,　エクシードＮＥＯ　緑茶５００ｍｌ,ACTIVE,2566,0,324,12150,10,357,AD101R,single_oracle_shelf,AD101R,215438000:AD101R:0:1290:4415|215438900:AD101R:::4415,skipped,already_matches,,,0,,0,0,0
37161,37408,143060,143060,◎キリン　一番搾り５００ｍｌ,ACTIVE,2542,0,,,10,448,AJ104K,single_oracle_shelf,AJ104K,143060000:AJ104K:0:1330:3192|143060100:AJ104K:::3192|143060900:AJ104K:::3192|143060901:AJ104K::1330:3192,skipped,already_matches,,,0,,0,0,0
31511,31673,211827,211827,　キリン　グリーンズフリー　小瓶３３４ｍｌ,ACTIVE,2549,12,,,10,363,AD203K,single_oracle_shelf,AD203K,211827000:AD203K:0:1330:2710|211827900:AD203K:::2710,skipped,already_matches,,,0,,0,0,0
38704,38969,147004,147004,　キリン　麒麟淡麗グリーンラベル５００ｍｌ,ACTIVE,2496,0,,,10,447,AJ103K,single_oracle_shelf,AJ103K,147004000:AJ103K:0:1330:3432|147004100:AJ103K:::3432|147004900:AJ103K:::3432,skipped,already_matches,,,0,,0,0,0
