lot_id,real_stock_id,item_id,item_code,item_name,status,current_quantity,reserved_quantity,purchase_id,trade_item_id,old_floor_id,old_location_id,old_shelf,oracle_status,expected_oracle_shelf,oracle_products,patch_status,patch_message,new_location_id,created_location,replacement_reduced_qty,replacement_lot_ids,reservation_updates,picking_result_updates,shortage_updates
55938,23803,471099,471099,　一本義一本用箱,ACTIVE,39,0,,,10,327,Z00,oracle_no_shelf,,471099000::0:1202:39,skipped,oracle_no_shelf,,,0,,0,0,0
55943,23802,471046,471046,　黒龍　ギフトボックス７２０ｍｌ　１枚,ACTIVE,35,0,,,10,327,Z00,oracle_no_shelf,,471046000::0:2018:35,skipped,oracle_no_shelf,,,0,,0,0,0
55945,46256,260000,260000,部システム ２６０ ,ACTIVE,34,0,,,10,327,Z00,oracle_item_not_found,,,skipped,oracle_item_not_found,,,0,,0,0,0
56578,51634,10001,10001,　仕入経費（仕入送料）　外税,ACTIVE,30,0,827,53290,10,327,Z00,oracle_item_not_found,,,skipped,oracle_item_not_found,,,0,,0,0,0
55950,48328,173008,173008,　日の出　本みりん　醇良１．８Ｌペット,ACTIVE,30,0,,,10,327,Z00,oracle_no_shelf,,173008000::0:1021:30|173008900::::30,skipped,oracle_no_shelf,,,0,,0,0,0
52187,51812,119776,119776,　永平寺白龍　薫風　生原酒７２０ｍｌ,ACTIVE,24,0,304,12078,,327,Z00,single_oracle_shelf,AW0000,119776000:AW0000:0:1263:0,planned,,471,,0,,0,0,0
55958,38976,159008,159008,×プレザンス　カベルネソーヴィニヨン　７５０ｍｌ,ACTIVE,24,0,,,10,327,Z00,oracle_no_shelf,,159008000::0:9999:24,skipped,oracle_no_shelf,,,0,,0,0,0
52030,51774,181269,181269,　サッポロ　サッポロサワー　氷彩１９８４　３５０ｍｌ,ACTIVE,24,0,266,11675,,327,Z00,oracle_no_shelf,,181269000::0:1202:0|181269100::::0|181269900::::0,skipped,oracle_no_shelf,,,0,,0,0,0
54352,51774,181269,181269,　サッポロ　サッポロサワー　氷彩１９８４　３５０ｍｌ,ACTIVE,24,0,570,49078,10,327,Z00,oracle_no_shelf,,181269000::0:1202:0|181269100::::0|181269900::::0,skipped,oracle_no_shelf,,,0,,0,0,0
55962,50425,181372,181372,　サントリー　ほろよい　青いサワー３５０ｍｌ,ACTIVE,24,0,,,10,327,Z00,oracle_no_shelf,,181372000::0:1021:24|181372900::::24,skipped,oracle_no_shelf,,,0,,0,0,0
53267,51778,185138,185138,　ジーマ　缶　３３０ｍｌ,ACTIVE,24,0,459,26397,,327,Z00,single_oracle_shelf,Q00000,185138000:Q00000:0:1021:0|185138100::::0|185138900::::0,planned,,2495,,0,,0,0,0
55955,27576,211075,211075,　サントリー　ペプシ生　ＢＩＧ　ＣＯＬＡ６００ｍｌペット,ACTIVE,24,0,,,10,327,Z00,oracle_no_shelf,,211075000::0:1106:24|211075900::::24,skipped,oracle_no_shelf,,,0,,0,0,0
54363,52130,211798,211798,　博水社ホームハイサワースンチー杏仁檸檬３６０ｍｌ,ACTIVE,24,0,573,49089,10,327,Z00,oracle_no_shelf,,211798000::0:1202:0,skipped,oracle_no_shelf,,,0,,0,0,0
56645,52217,212002,212002,　エビアン５００ｍｌペット,ACTIVE,24,0,848,53374,10,327,Z00,single_oracle_shelf,M04303,212002000::0:1085:0|212002900:M04303:::0,planned,,,yes,0,,0,0,0
54336,51835,213211,213211,　キリン　世界のキッチンから　ソルティライチ５００ｍｌ,ACTIVE,24,0,569,49062,10,327,Z00,single_oracle_shelf,YX0000,213211000:YX0000:0:1330:0|213211900::::0,planned,,2671,,0,,0,0,0
56556,52808,213228,213228,　コカコーラ　Ｑｏｏ　りんご２８０ｍｌＰＥＴ,ACTIVE,24,0,815,53265,10,327,Z00,single_oracle_shelf,Q00000,213228000:Q00000:0:1017:0|213228900::::0,planned,,2495,,0,,0,0,0
56653,52814,222001,222001,　久慈食品ビーフジャーキー　４Ｐ,ACTIVE,24,0,853,53416,10,327,Z00,single_oracle_shelf,YX0000,222001000:YX0000:0:1640:0,planned,,2671,,0,,0,0,0
55064,52276,244444,244444,　朝日のり　酒屋さんが選んでくれました８０枚箱なし,ACTIVE,24,0,652,50666,10,327,Z00,single_oracle_shelf,YX0000,244444000:YX0000:0:1042:0,planned,,2671,,0,,0,0,0
55966,50428,182012,182012,　チョーヤ　梅酒　プラＱ　１６０ｍｌ,ACTIVE,20,0,,,10,327,Z00,oracle_no_shelf,,182012000::0:1021:20,skipped,oracle_no_shelf,,,0,,0,0,0
