status,message,real_stock_id,item_id,item_code,item_name,current_quantity,reserved_quantity,parent_available,pickable_available,missing_pickable_qty,patch_lot_id,patch_lot_location_id,pickable_current,missing_current_qty,patch_lot_current_before,patch_lot_reserved_before,patch_qty
updated,,2534,184067,184067,　キリン　のどごし＜生＞　３５０ｍｌ,1704,0,1704,1343,361,2534,17,1343,361,1343,0,361
updated,,2474,143074,143074,◎サッポロ　黒ラベル　３５０ｍｌ,657,0,657,435,222,2474,17,435,222,435,0,222
updated,,3389,147124,147124,　サッポロ　麦とホップ３５０ｍｌ,316,0,316,150,166,3389,17,150,166,150,0,166
updated,,2458,143005,143005,◎キリンラガー３５０ｍｌ,517,0,517,431,86,2458,17,431,86,239,0,86
updated,,5054,185021,185021,　アサヒ　Ｏｆｆ（オフ）３５０ｍｌ缶,631,0,631,546,85,5054,17,546,85,354,0,85
updated,,3387,147084,147084,　サントリー　金麦　糖質ｏｆｆ３５０ｍｌ,785,0,785,704,81,3387,17,704,81,320,0,81
updated,,2467,143037,143037,◎キリンラガー５００ｍｌ,144,0,144,97,47,2467,17,97,47,97,0,47
updated,,2477,143085,143085,　サッポロ　エビス３５０ｍｌ,262,0,262,222,40,2477,17,222,40,222,0,40
updated,,1571,142368,142368,　キリン　一番搾り　糖質ゼロ３５０ｍｌ,370,0,370,349,21,1571,17,349,21,157,0,21
updated,,744,141026,141026,○キリン　クラシックラガー　大瓶６３３ｍｌ,140,0,140,120,20,744,17,120,20,60,0,20
updated,,9868,215438,215438,　エクシードＮＥＯ　緑茶５００ｍｌ,247,0,247,229,18,9868,17,229,18,157,0,18
updated,,4205,184658,184658,　キリン　氷結　レモン３５０ｍｌ,286,0,286,268,18,4205,17,268,18,196,0,18
updated,,3397,184233,184233,　タカラ　焼酎ハイボール　レモン３５０ｍｌ,483,0,483,467,16,3397,17,467,16,323,0,16
updated,,3350,143244,143244,　サントリー　プレミアムモルツ３５０ｍｌ,198,0,198,182,16,3350,17,182,16,110,0,16
skipped,"no active NULL/NULL pickable lot",51515,221797,221797,　早崎商店　オーロラ印の味付たら　№３００４０ｇ,10,0,10,0,10,,,0,10,,,10
updated,,5972,450034,450034,　ＬＩＮＥ１００円クーポン,10,0,10,3,7,5972,17,3,7,3,0,7
updated,,6656,246647,246647,　大阪ふくちぁん　餃子　３６個８２８ｇ,8,0,8,1,7,6656,17,1,7,1,0,7
skipped,"no active NULL/NULL pickable lot",52079,117010,117010,○合成酒旗揚げパック１．８Ｌ,7,0,7,0,7,,,0,7,,,7
updated,,1619,181053,181053,　宝　料理のための清酒パック　１．８Ｌ,16,0,16,10,6,1619,17,10,6,10,0,6
updated,,6668,246754,246754,　大阪ふくちぁん　スタミナ餃子　３６個６４８ｇ,8,0,8,2,6,6668,17,2,6,2,0,6
updated,,1618,181040,181040,○宝　本みりん　カジュアルボトル１．８Ｌ,16,0,16,11,5,1618,17,11,5,11,0,5
updated,,762,141238,141238,　越の磯　越前そばエール３３０ｍｌ,10,0,10,5,5,762,17,5,5,5,0,5
skipped,"no active NULL/NULL pickable lot",52080,222289,222289,　東洋ナッツ　ミックスナッツ缶３５５ｇ,5,0,5,0,5,,,0,5,,,5
skipped,"no active NULL/NULL pickable lot",52149,223172,223172,　小川珈琲　小川プレミアムブレンドドリップコーヒー７杯７０ｇ,5,0,5,0,5,,,0,5,,,5
skipped,"no active NULL/NULL pickable lot",51559,249118,249118,　吉村甘露堂　山うにあられ８５ｇ,4,0,4,0,4,,,0,4,,,4
skipped,"no active NULL/NULL pickable lot",51616,122098,122098,　２５°鳥飼（米）７２０ｍｌ,3,0,3,1,2,,,1,2,,,2
updated,,3282,114127,114127,　松竹梅天（てん）パック３Ｌ,14,0,14,13,1,3282,17,13,1,9,0,1
updated,,2386,113827,113827,　北鹿　華匠　生もと仕込１．８Ｌ,12,0,12,11,1,2386,17,11,1,5,0,1
updated,,11951,112037,112037,　関西　佳撰１．８Ｌ,5,0,5,4,1,11951,17,4,1,2,0,1
skipped,"no active NULL/NULL pickable lot",51615,112130,112130,　花垣特撰　大吟醸７２０ｍｌ,2,0,2,1,1,,,1,1,,,1
skipped,"no active NULL/NULL pickable lot",52081,171193,171193,　アサヒ　樽ハイ倶楽部　プレーン　１０Ｌ,1,0,1,0,1,,,0,1,,,1
