"得意先コード","伝票日付","伝票Ｎｏ","伝票区分","行Ｎｏ","データ区分","商品コード","商品名１","商品名２","商品区分","単位","入数１","入数２","ケース数","ボール数","数量","特売区分","原価単価","原価金額","売価単価","売価金額","相手単価","相手金額","粗利金額","行備考区分","行備考","分類コード","部門コード","仕入先コード","ＪＡＮコード","相手商品コード","表示相手商品コード","請求日付","請求先コード","単価コード","担当者コード","集計コード","チェーンストアコード","取引先コード","社店コード","相手分類コード","相手伝票区分","相手伝票Ｎｏ","伝票備考区分","伝票備考","Ｆ欄","チェーンストア本店区分","伝票種区分","和暦印字区分","ＥＯＳ区分","得意先課税区分","商品課税区分","伝票発行済フラグ","納品データ作成区分","区分２","区分３","単価書換区分","発注仕入先コード","発注日付","発注伝票Ｎｏ","発注行Ｎｏ","仕入完了区分","作成日時","更新日時","違算日付","マスタ単価","リベート"
"00000934","2026/02/18",9994244,17,1,1,"4902688320295","業務用 生つぶマスタード","２８０ｇ",0,"",12,1,1,0,12,0,0,0,395,4740,498,5976,0,0,"","03","31","22122","4902688320295","","","2026/02/18","00000934","61000001","32","9999","99999999","","","","","0",0,"2/18(水)納品","",0,1,0,0,1,1,1,0,0,0,0,"22122","1900/01/01",0,0,1,"2026/02/16","2026/02/16","",395,0
"00000934","2026/02/18",9340951,17,1,1,"4901787080024","うまさ薫る麦茶(佐賀県産）","１０ｇ×４０Ｐ",0,"",20,1,2,0,40,0,0,0,155,6200,198,7920,0,0," ","03","32","60920","4901787080024","","","2026/02/18","00000934","61000001","9999","9999","99999999","","","","","0",0,"","",0,1,0,0,1,1,0,0,0,0,0,"60920","2026/02/12",9340951,1,1,"2026/02/12","2026/02/12","",0,0
"00000934","2026/02/18",9994244,17,2,1,"9999999999996","その他（仕入用）課税","",0,"",1,1,1,0,1,0,0,0,1200,1200,0,0,0,0,"","08","81","22122","9999999999996","","","2026/02/18","00000934","61000001","32","9999","99999999","","","","","0",0,"2/18(水)納品","",0,1,0,0,1,1,1,0,0,0,0,"22122","1900/01/01",0,0,1,"2026/02/16","2026/02/16","",0,0
