real_stock_id	warehouse_id	item_id	item_code	item_name	current_quantity	reserved_quantity	parent_available_qty	lot_pickable_qty	missing_qty	reason	default_location_status	default_location_code	z00_code	z00_flags	z00_floor_id
23800	91	471028	471028	　梵　７２０ｍｌ　共通カートン１枚	334	0	334	0	334	NO_PICKABLE_LOT	HAS_DEFAULT_LOCATION	ZZ-1	Z-0-0	8	NULL
3065	2	147124	147124	　サッポロ　麦とホップ３５０ｍｌ	545	0	545	262	283	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	8	NULL
51568	91	141336	141336	　アサヒ　スーパードライ　冷涼辛口　中瓶５００ｍｌ	280	0	280	0	280	NO_PICKABLE_LOT	NO_DEFAULT_LOCATION		Z-0-0	8	NULL
548	2	142330	142330	　アサヒ　スーパードライ　ドライクリスタル３５０ｍｌ	463	0	463	186	277	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	8	NULL
551	2	142368	142368	　キリン　一番搾り　糖質ゼロ３５０ｍｌ	596	0	596	320	276	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	8	NULL
23208	21	184233	184233	　タカラ　焼酎ハイボール　レモン３５０ｍｌ	360	0	360	87	273	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	8	NULL
47647	21	143059	143059	◎キリン　一番搾り３５０ｍｌ	738	0	738	483	255	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	8	NULL
47650	21	143074	143074	◎サッポロ　黒ラベル　３５０ｍｌ	569	0	569	322	247	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	8	NULL
432	4	147084	147084	　サントリー　金麦　糖質ｏｆｆ３５０ｍｌ	684	0	684	455	229	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	8	NULL
2474	3	143074	143074	◎サッポロ　黒ラベル　３５０ｍｌ	657	0	657	435	222	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	8	NULL
24827	11	147124	147124	　サッポロ　麦とホップ３５０ｍｌ	630	0	630	438	192	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	8	NULL
48109	71	142543	142543	　サントリー　生ビール３５０ｍｌ	712	0	712	520	192	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	8	NULL
47640	21	143025	143025	◎アサヒ　スーパードライ５００ｍｌ	365	0	365	176	189	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	8	NULL
29146	21	185524	185524	　キリン　氷結　無糖レモン　Ａｌｃ．４％　３５０ｍｌ	480	0	480	292	188	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	8	NULL
16356	7	141036	141036	◎キリン　一番搾り　大瓶６３３ｍｌ	248	0	248	61	187	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	8	NULL
16659	1	142368	142368	　キリン　一番搾り　糖質ゼロ３５０ｍｌ	473	0	473	287	186	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	8	NULL
17866	1	143025	143025	◎アサヒ　スーパードライ５００ｍｌ	440	0	440	256	184	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	8	NULL
