status,warehouse_code,warehouse_id,item_code,item_name,real_stock_id,real_current_quantity,real_available_quantity,lot_id,lot_current_quantity,lot_reserved_quantity,lot_available_quantity,purchase_id,trade_item_id,location_id,wms_shelf,expected_oracle_shelf,oracle_shelves,oracle_products
oracle_item_not_found,22,22,470000,　部システム４７０（化粧箱）,44157,-3225,-3225,43824,-3235,0,-3235,,,3,ZZ1100,,,
oracle_item_not_found,22,22,700000,部システム ７００   分類打,48055,-1,-1,47649,-1,0,-1,,,3,ZZ1100,,,
oracle_item_not_found,23,23,130000,部システム １３０ ,48094,-446,-446,47688,-446,0,-446,,,12,ZZ1100,,,
oracle_item_not_found,23,23,230000,部システム ２３０ ,25432,1,1,25353,1,0,1,,,12,ZZ1100,,,
oracle_item_not_found,23,23,260000,部システム ２６０ ,27352,-323,-323,27236,-323,0,-323,,,12,ZZ1100,,,
oracle_item_not_found,23,23,470000,　部システム４７０（化粧箱）,33520,1430,1430,33355,1430,0,1430,,,12,ZZ1100,,,
oracle_item_not_found,71,71,280000,部システム ２８０ ,27369,7200,7200,27253,7200,0,7200,,,7,ZZ1100,,,
oracle_item_not_found,71,71,470000,　部システム４７０（化粧箱）,29453,65417,65417,29318,65417,0,65417,,,7,ZZ1100,,,
oracle_item_not_found,71,71,950000,部部システム９５０（カフェ）,29458,-2413,-2413,29323,-2413,0,-2413,,,7,ZZ1100,,,
oracle_item_not_found,89,89,131121,　サントリーウイスキー　知多７００ｍｌ,33559,4,4,33394,4,0,4,,,312,ZZ1100,,,
oracle_item_not_found,89,89,159008,×プレザンス　カベルネソーヴィニヨン　７５０ｍｌ,33560,-24,-24,33395,-24,0,-24,,,312,ZZ1100,,,
oracle_item_not_found,89,89,159011,　プレミオ　キャンティ　７５０ｍｌ,33561,960,960,33396,972,0,972,,,312,ZZ1100,,,
oracle_item_not_found,89,89,159013,　プレミオ　モンテプルチアーノ　ダブルッツォ　７５０ｍｌ,33562,1644,1644,33397,1644,0,1644,,,312,ZZ1100,,,
oracle_item_not_found,89,89,159014,　プレミオ　ネロダーヴォラ　７５０ｍｌ,33563,1560,1560,33398,1560,0,1560,,,312,ZZ1100,,,
oracle_item_not_found,89,89,159016,　プレミオ　サンジョベーゼ　７５０ｍｌ,33564,912,912,33399,912,0,912,,,312,ZZ1100,,,
oracle_item_not_found,89,89,159017,　プレミオ　トレッビアーノ　ダブルッツォ　７５０ｍｌ,33565,1212,1212,33400,1224,0,1224,,,312,ZZ1100,,,
oracle_item_not_found,89,89,159019,　フィンカ　デル　レホネオ　グランレゼルヴァ　’１５　７５０ｍｌ　,33566,1524,1524,33401,1524,0,1524,,,312,ZZ1100,,,
oracle_item_not_found,89,89,159047,　うさぎのモスカートスプマンテ　ＳＷＥＥＴ　ＫＩＳＳ　７５０ｍｌ,33567,7140,7140,33402,7140,0,7140,,,312,ZZ1100,,,
oracle_item_not_found,89,89,159066,　シャトージェルマン　７５０ｍｌ,33568,60,60,33403,60,0,60,,,312,ZZ1100,,,
oracle_item_not_found,89,89,159088,　プレミオ　キャンティ　クラッシコ　７５０ｍｌ,33569,180,180,33404,180,0,180,,,312,ZZ1100,,,
oracle_item_not_found,89,89,159089,　プレミオ　キャンティクラッシコ　リゼルヴァ　７５０ｍｌ,33570,264,264,33405,264,0,264,,,312,ZZ1100,,,
oracle_item_not_found,89,89,159092,　ディエチオチョチョ　オリーヴォ　グランレゼルヴァ　’１６　７５０ｍｌ,33571,1596,1596,33406,1596,0,1596,,,312,ZZ1100,,,
oracle_item_not_found,89,89,159093,　カンタラス　カベルネソーヴィニヨン　７５０ｍｌ,33572,2256,2256,33407,2376,0,2376,,,312,ZZ1100,,,
oracle_item_not_found,89,89,159094,　カンタラス　テンプラニーリョ　７５０ｍｌ,33573,1584,1584,33408,1584,0,1584,,,312,ZZ1100,,,
