location_source,item_id,item_code,mysql_item_name,real_stock_id,source_id,lot_status,lot_current_quantity,lot_reserved_quantity,location_id,location_floor_id,mysql_shelf,mysql_shelf_norm,location_name
default,111047,111047,　白鶴上撰淡麗純米グリーン１８０ｍｌ,,58129,,,,2495,11,Q-00-000,Q00000,Q00000
default,111048,111048,　月桂冠上撰　瓶１．８Ｌ,,2063,,,,890,11,E-06-109,E06109,E06109
lot,111048,111048,　月桂冠上撰　瓶１．８Ｌ,35559,35384,ACTIVE,6,0,890,11,E-06-109,E06109,E06109
default,111055,111055,　松竹梅澪　スパークリング３００ｍｌ,,22272,,,,1718,11,H-05-318,H05318,H05318
lot,111055,111055,　松竹梅澪　スパークリング３００ｍｌ,35560,35385,ACTIVE,4,0,1718,11,H-05-318,H05318,H05318
lot,111055,111055,　松竹梅澪　スパークリング３００ｍｌ,35560,56563,ACTIVE,12,0,1718,11,H-05-318,H05318,H05318
default,111056,111056,○月桂冠上撰　キャップエース１８０ｍｌ,,24465,,,,327,11,Z-0-0,Z00,デフォルト
lot,111056,111056,○月桂冠上撰　キャップエース１８０ｍｌ,35561,55928,ACTIVE,52,0,327,11,Z-0-0,Z00,デフォルト
default,111061,111061,　白鶴大吟醸１８０ｍｌ,,58130,,,,2495,11,Q-00-000,Q00000,Q00000
default,111078,111078,　大関生貯蔵酒１８０ｍｌ,,43445,,,,471,10,AW-0-000,AW0000,AW0000
lot,111078,111078,　大関生貯蔵酒１８０ｍｌ,35562,35386,ACTIVE,17,0,471,10,AW-0-000,AW0000,AW0000
default,111081,111081,　月桂冠生酒２８０ｍｌ,,58131,,,,2495,11,Q-00-000,Q00000,Q00000
default,111099,111099,○白鶴上撰　瓶１．８Ｌ,,493,,,,2713,11,D-07-101,D07101,D07101
lot,111099,111099,○白鶴上撰　瓶１．８Ｌ,35563,35387,ACTIVE,31,6,2713,11,D-07-101,D07101,D07101
default,111106,111106,○日本盛上撰１．８Ｌ,,494,,,,1130,11,F-01-105,F01105,F01105
lot,111106,111106,○日本盛上撰１．８Ｌ,35564,35388,ACTIVE,4,0,1130,11,F-01-105,F01105,F01105
default,111116,111116,　松竹梅　上撰１．８Ｌ,,108,,,,2473,11,P-11-102,P11102,P11102
lot,111116,111116,　松竹梅　上撰１．８Ｌ,35565,35389,ACTIVE,125,6,2473,11,P-11-102,P11102,P11102
default,111118,111118,○松竹梅上撰　３００ｍｌ,,58132,,,,2495,11,Q-00-000,Q00000,Q00000
lot,111118,111118,○松竹梅上撰　３００ｍｌ,52131,53237,ACTIVE,40,0,2495,11,Q-00-000,Q00000,Q00000
lot,111118,111118,○松竹梅上撰　３００ｍｌ,52131,54367,ACTIVE,40,0,2495,11,Q-00-000,Q00000,Q00000
default,111119,111119,　白鶴サケカップ　米だけのまる　純米酒２００ｍｌ,,14755,,,,327,11,Z-0-0,Z00,デフォルト
default,111120,111120,　松竹梅澪　スパークリング１５０ｍｌ,,37566,,,,550,11,B-08-104,B08104,B08104
lot,111120,111120,　松竹梅澪　スパークリング１５０ｍｌ,35566,35390,ACTIVE,331,0,550,11,B-08-104,B08104,B08104
lot,111120,111120,　松竹梅澪　スパークリング１５０ｍｌ,35566,52132,ACTIVE,300,0,550,11,B-08-104,B08104,B08104
default,111121,111121,　松竹梅澪　スパークリング７５０ｍｌ,,19694,,,,1040,11,E-09-316,E09316,E09316
lot,111121,111121,　松竹梅澪　スパークリング７５０ｍｌ,35567,35391,ACTIVE,5,2,1040,11,E-09-316,E09316,E09316
default,111130,111130,○菊正宗上撰　瓶１．８Ｌ,,757,,,,1045,11,E-10-103,E10103,E10103
lot,111130,111130,○菊正宗上撰　瓶１．８Ｌ,35568,35392,ACTIVE,10,0,1045,11,E-10-103,E10103,E10103
default,111172,111172,　大関ワンカップジャンボ３００ｍｌ,,49473,,,,2669,10,YC-0-000,YC0000,YC0000
lot,111172,111172,　大関ワンカップジャンボ３００ｍｌ,35569,35393,ACTIVE,4,0,2669,10,YC-0-000,YC0000,YC0000
default,111177,111177,　白鹿　黒松白鹿　上撰超辛本醸　プリント瓶１８０ｍｌ（串カツ田中様）,,24252,,,,715,11,D-06-203,D06203,D06203
lot,111177,111177,　白鹿　黒松白鹿　上撰超辛本醸　プリント瓶１８０ｍｌ（串カツ田中様）,35570,35394,ACTIVE,12,0,715,11,D-06-203,D06203,D06203
default,111194,111194,　松竹梅上撰　豪快１．８Ｌ,,43812,,,,2813,11,F-02-210,F02210,F02210
lot,111194,111194,　松竹梅上撰　豪快１．８Ｌ,52120,56573,ACTIVE,6,0,2813,11,F-02-210,F02210,F02210
default,111209,111209,　白鶴まる辛口カップ２００ｍｌ,,34476,,,,327,11,Z-0-0,Z00,デフォルト
lot,111209,111209,　白鶴まる辛口カップ２００ｍｌ,35571,55948,ACTIVE,30,0,327,11,Z-0-0,Z00,デフォルト
default,111218,111218,　菊正宗上撰生貯蔵酒３００ｍｌ（段ボ－ル）,,1076,,,,327,11,Z-0-0,Z00,デフォルト
lot,111218,111218,　菊正宗上撰生貯蔵酒３００ｍｌ（段ボ－ル）,35572,56034,ACTIVE,10,0,327,11,Z-0-0,Z00,デフォルト
default,111239,111239,　富久娘上撰１．８Ｌ,,36911,,,,2674,11,Z-01-102,Z01102,Z01102
lot,111239,111239,　富久娘上撰１．８Ｌ,35573,35395,DEPLETED,0,0,2674,11,Z-01-102,Z01102,Z01102
lot,111239,111239,　富久娘上撰１．８Ｌ,35573,52238,ACTIVE,107,0,2674,11,Z-01-102,Z01102,Z01102
default,111248,111248,　松竹梅佳撰　豪快１．８Ｌ,,19088,,,,2651,11,W-08-101,W08101,W08101
lot,111248,111248,　松竹梅佳撰　豪快１．８Ｌ,35574,35396,ACTIVE,163,0,2651,11,W-08-101,W08101,W08101
lot,111248,111248,　松竹梅佳撰　豪快１．８Ｌ,35574,51142,DEPLETED,0,0,2651,11,W-08-101,W08101,W08101
lot,111248,111248,　松竹梅佳撰　豪快１．８Ｌ,35574,53081,DEPLETED,0,0,2651,11,W-08-101,W08101,W08101
lot,111248,111248,　松竹梅佳撰　豪快１．８Ｌ,35574,53132,DEPLETED,0,0,2651,11,W-08-101,W08101,W08101
default,111271,111271,　松竹梅祝彩　純金箔入１．８Ｌ,,58133,,,,2671,10,YX-0-000,YX0000,YX0000
default,111289,111289,　松竹梅　豪快　佳撰　燗徳利辛口　瓶２００ｍｌ,,58134,,,,2635,11,W-07-201,W07201,W07201
default,111299,111299,　白鶴　輝　黒ラベル　淡麗辛口１．８Ｌ,,22661,,,,1489,11,G-06-105,G06105,G06105
lot,111299,111299,　白鶴　輝　黒ラベル　淡麗辛口１．８Ｌ,35575,35397,ACTIVE,5,0,1489,11,G-06-105,G06105,G06105
default,111338,111338,　松竹梅　「昴」　生貯蔵酒３００ｍｌ,,35972,,,,1022,11,E-09-208,E09208,E09208
