item_code,parent_current_quantity,oracle_shelves,oracle_stock_shelves,mysql_default_shelves,mysql_nonzero_lot_shelves,issue
119057,-1,,,Z00,Z00,mysql_location_but_oracle_no_shelf
119060,1,,,Z00,Z00,mysql_location_but_oracle_no_shelf
119098,,,,Z00,,mysql_location_but_oracle_no_shelf
119116,4,,,,Z00,mysql_location_but_oracle_no_shelf
119123,3,,,Z00,Z00,mysql_location_but_oracle_no_shelf
119157,,,,Z00,,mysql_location_but_oracle_no_shelf
119168,13,,,Z00,Z00,mysql_location_but_oracle_no_shelf
119171,1,,,,Z00,mysql_location_but_oracle_no_shelf
119173,,,,Z00,,mysql_location_but_oracle_no_shelf
119176,6,,,Z00,Z00,mysql_location_but_oracle_no_shelf
119177,,,,Z00,,mysql_location_but_oracle_no_shelf
119199,12,,,,G06307,mysql_location_but_oracle_no_shelf
119231,,,,Z00,,mysql_location_but_oracle_no_shelf
119235,-2,,,Z00,,mysql_location_but_oracle_no_shelf
119325,1,,,,Z00,mysql_location_but_oracle_no_shelf
119326,0,,,Z00,,mysql_location_but_oracle_no_shelf
119345,24,,,Z00,Z00,mysql_location_but_oracle_no_shelf
119349,8,,,Z00,Z00,mysql_location_but_oracle_no_shelf
119403,36,,,Z00,Z00,mysql_location_but_oracle_no_shelf
119404,-46,,,Z00,,mysql_location_but_oracle_no_shelf
119411,133,,,Z00,Z00,mysql_location_but_oracle_no_shelf
119417,2,,,Z00,Z00,mysql_location_but_oracle_no_shelf
119418,7,,,Z00,Z00,mysql_location_but_oracle_no_shelf
119519,6,,,Z00,Z00,mysql_location_but_oracle_no_shelf
119529,2,,,Z00,Z00,mysql_location_but_oracle_no_shelf
119530,0,,,Z00,,mysql_location_but_oracle_no_shelf
119576,2,,,,Z00,mysql_location_but_oracle_no_shelf
119622,6,,,,Z00,mysql_location_but_oracle_no_shelf
119623,6,,,,Z00,mysql_location_but_oracle_no_shelf
119624,6,,,,Z00,mysql_location_but_oracle_no_shelf
119625,6,,,Z00,Z00,mysql_location_but_oracle_no_shelf
119672,12,,,Z00,Z00,mysql_location_but_oracle_no_shelf
119681,1,,,,Z00,mysql_location_but_oracle_no_shelf
119682,1,,,,Z00,mysql_location_but_oracle_no_shelf
119683,1,,,,Z00,mysql_location_but_oracle_no_shelf
119686,12,,,,Z00,mysql_location_but_oracle_no_shelf
119695,2,,,,Z00,mysql_location_but_oracle_no_shelf
119718,6,,,Z00,Z00,mysql_location_but_oracle_no_shelf
119726,207,,,Z00,Z00,mysql_location_but_oracle_no_shelf
119729,120,,,,Z00,mysql_location_but_oracle_no_shelf
119731,12,,,,Z00,mysql_location_but_oracle_no_shelf
119735,2,,,Z00,Z00,mysql_location_but_oracle_no_shelf
119738,8,,,Z00,Z00,mysql_location_but_oracle_no_shelf
119739,6,,,,Z00,mysql_location_but_oracle_no_shelf
119740,24,,,,Z00,mysql_location_but_oracle_no_shelf
119752,,,,Z00,,mysql_location_but_oracle_no_shelf
119758,12,,,,Z00,mysql_location_but_oracle_no_shelf
