store_code,item_code,product_code,oracle_shelf,oracle_shelf_norm,sales_flag,vendor_cd,oracle_current_stock
91,111095,111095200,,,,,0
91,111095,111095900,,,,,0
91,111096,111096000,,,0,1202,0
91,111097,111097000,,,0,1021,0
91,111098,111098000,,,0,1021,0
91,111099,111099000,D07101,D07101,0,1021,51
91,111099,111099001,YC0000,YC0000,,1021,51
91,111099,111099100,YC0000,YC0000,,,51
91,111099,111099200,YC0000,YC0000,,,51
91,111099,111099900,YC0000,YC0000,,,51
91,111099,111099901,YC0000,YC0000,0,1021,51
91,111100,111100000,,,0,1021,0
91,111101,111101000,,,0,0000,0
91,111102,111102000,,,0,0000,0
91,111103,111103000,,,0,1021,0
91,111104,111104000,,,0,1330,0
91,111104,111104001,,,,,0
91,111105,111105000,,,0,1021,0
91,111106,111106000,F01105,F01105,0,1202,4
91,111106,111106001,F01105,F01105,0,1202,4
91,111107,111107000,,,0,9999,0
91,111108,111108000,,,0,1330,0
91,111109,111109000,,,0,1021,0
91,111110,111110000,,,0,0000,0
91,111111,111111000,,,0,1021,0
91,111112,111112000,,,0,1330,0
91,111113,111113000,,,0,1202,0
91,111113,111113010,,,,1202,0
91,111113,111113100,,,,,0
91,111113,111113200,,,,,0
91,111113,111113900,,,,,0
91,111114,111114000,,,0,0000,0
91,111115,111115000,,,0,1330,0
91,111116,111116000,P11102,P11102,0,1202,195
91,111116,111116001,P11102,P11102,,1202,195
91,111116,111116002,P11102,P11102,,1202,195
91,111116,111116100,P11102,P11102,,,195
91,111116,111116101,P11102,P11102,,1202,195
91,111116,111116102,,,,1202,195
91,111116,111116200,P11102,P11102,,,195
91,111116,111116201,P11102,P11102,,1202,195
91,111116,111116900,P11102,P11102,,,195
91,111116,111116901,P11102,P11102,,1202,195
91,111117,111117000,,,0,1021,0
91,111118,111118000,Q00000,Q00000,0,1202,0
91,111119,111119000,,,0,1021,0
91,111120,111120000,B08104,B08104,0,1202,332
91,111120,111120900,,,,,332
91,111121,111121000,E09316,E09316,0,1202,5
91,111121,111121900,E09316,E09316,,,5
91,111122,111122000,,,0,1202,0
91,111123,111123000,,,0,1021,0
91,111123,111123100,,,,1021,0
91,111124,111124000,,,0,1202,0
91,111125,111125000,,,0,1202,0
91,111126,111126000,,,0,1021,0
91,111127,111127000,,,0,1021,0
91,111129,111129000,,,0,1761,0
91,111130,111130000,E10103,E10103,0,1202,10
91,111130,111130001,,,,1202,10
91,111130,111130900,,,,,10
91,111131,111131000,,,0,0000,0
91,111132,111132000,,,0,0000,0
91,111134,111134000,,,0,1202,0
91,111135,111135000,,,0,1330,0
91,111136,111136000,,,0,1330,0
91,111137,111137000,,,0,1021,0
91,111138,111138000,,,0,1202,0
91,111139,111139000,,,0,0000,0
91,111140,111140000,,,0,1330,0
91,111141,111141000,,,0,1330,0
91,111142,111142000,,,0,0000,0
91,111143,111143000,,,0,1202,0
91,111144,111144000,,,0,1202,0
91,111145,111145000,,,0,1761,0
91,111146,111146000,,,0,1202,0
91,111147,111147000,,,0,1202,0
91,111148,111148000,,,0,1330,0
91,111149,111149000,,,0,1021,0
91,111150,111150000,,,0,1330,0
91,111151,111151000,,,0,1021,0
91,111152,111152000,,,0,9999,0
91,111153,111153000,,,0,1330,0
91,111154,111154000,,,0,1202,0
91,111155,111155000,,,0,1021,0
91,111156,111156000,,,0,0000,0
91,111157,111157000,,,0,1330,0
91,111158,111158000,,,0,1330,0
91,111159,111159000,,,0,1202,0
91,111160,111160000,,,0,1021,0
91,111161,111161000,,,0,1330,0
91,111162,111162000,,,0,1290,0
91,111163,111163000,,,0,1330,0
91,111164,111164000,,,0,1021,0
91,111165,111165000,,,0,1021,0
91,111167,111167000,,,0,1330,0
91,111168,111168000,,,0,1202,0
91,111169,111169000,,,0,1021,0
91,111170,111170000,,,0,1330,0
91,111171,111171000,,,0,0000,0
91,111172,111172000,YC0000,YC0000,0,1021,12
91,111173,111173000,,,0,1202,0
91,111174,111174000,,,0,1021,0
91,111175,111175000,,,0,1202,0
91,111176,111176000,,,0,1021,0
91,111177,111177000,D06203,D06203,0,1021,12
91,111178,111178000,,,0,1021,0
91,111179,111179000,,,0,1290,0
91,111180,111180000,,,0,1330,0
91,111181,111181000,,,0,0000,0
91,111182,111182000,,,0,0000,0
91,111183,111183000,,,0,1290,0
91,111184,111184000,,,0,1761,0
91,111185,111185000,,,0,1290,0
91,111186,111186000,,,0,1202,0
91,111187,111187000,,,0,0000,0
91,111188,111188000,,,0,1330,0
91,111189,111189000,,,0,1202,0
91,111190,111190000,,,0,1330,0
91,111191,111191000,,,0,0000,0
91,111192,111192000,,,0,0000,0
91,111193,111193000,,,0,1330,0
91,111194,111194000,F02210,F02210,0,1202,0
91,111195,111195000,,,0,1002,0
91,111196,111196000,,,0,1330,0
91,111197,111197000,,,0,1330,0
91,111198,111198000,,,0,1021,0
91,111199,111199000,,,0,1330,0
91,111200,111200000,,,0,9999,0
91,111203,111203000,,,0,1202,0
91,111203,111203900,,,,,0
91,111205,111205000,,,0,1202,0
91,111205,111205900,,,,,0
91,111206,111206000,,,0,1202,0
91,111207,111207000,,,0,1330,0
91,111209,111209000,,,0,1021,30
91,111209,111209900,,,,,30
91,111210,111210000,,,0,1021,0
91,111211,111211000,,,0,1330,0
91,111212,111212000,,,0,1202,0
91,111213,111213000,,,0,1002,0
91,111214,111214000,,,0,1021,0
91,111215,111215000,,,0,0000,0
91,111216,111216000,,,0,9999,0
91,111217,111217000,,,0,1002,0
91,111218,111218000,,,0,1202,10
91,111218,111218200,,,,,10
91,111218,111218900,,,,,10
91,111219,111219000,,,0,1202,0
91,111220,111220000,,,0,1202,0
91,111222,111222000,,,0,1002,0
91,111223,111223000,,,0,1761,0
91,111224,111224000,,,0,1202,0
91,111225,111225000,,,0,1202,0
91,111227,111227000,,,0,1202,0
91,111228,111228000,,,0,1002,0
91,111229,111229000,,,0,1761,0
91,111230,111230000,,,0,1002,0
