warehouse_code,warehouse_name,item_code,item_name,old_shelf,new_shelf,reason,mysql_sources,old_location_ids,old_location_names,old_location_code_paths,active_lot_rows,active_lot_qty,default_location_rows,oracle_candidate_count,oracle_candidate_shelves,oracle_product_codes,oracle_chosen_product_code,oracle_sales_flag,oracle_main_vendor_cd
91,華むすびの蔵センター,214194,アサヒワンダ 特製カフェオレ185g缶,Z-0-0,Q00000,different,active_lot,327,デフォルト,Z-0-0,1,30,0,2,"H08202,Q00000","214194000,214194100,214194900",214194000,0,1106
91,華むすびの蔵センター,215031,キリン 生茶 525mlペット,Z-0-0,Q00000,different,active_lot,327,デフォルト,Z-0-0,1,16,0,1,Q00000,215031000,215031000,0,1330
91,華むすびの蔵センター,221715,森永 白銀北海道牛乳1L,Z-0-0,AY0000,different,active_lot,327,デフォルト,Z-0-0,1,5,0,1,AY0000,221715000,221715000,0,1171
91,華むすびの蔵センター,221859,協同インターナショナル モモマイルド生ハム切り落とし120g,Z-0-0,AY0000,different,active_lot,327,デフォルト,Z-0-0,1,3,0,1,AY0000,221859000,221859000,0,1626
91,華むすびの蔵センター,241040,MY グレナデン シロップ300ml,Z-0-0,Q00000,different,active_lot,327,デフォルト,Z-0-0,1,1,0,1,Q00000,241040000,241040000,0,1330
91,華むすびの蔵センター,244062,森永 フレッシュC38%1L,Z-0-0,AY0000,different,active_lot,327,デフォルト,Z-0-0,2,10,0,1,AY0000,244062000,244062000,0,1171
91,華むすびの蔵センター,244095,ナビスコ チップスターS うすしお,Z-0-0,YX0000,different,active_lot,327,デフォルト,Z-0-0,1,8,0,1,YX0000,244095000,244095000,0,1127
91,華むすびの蔵センター,244147,ナビスコ チップスターS コンソメ45g,Z-0-0,YX0000,different,active_lot,327,デフォルト,Z-0-0,1,8,0,1,YX0000,244147000,244147000,0,1127
91,華むすびの蔵センター,244158,ブルボンプチうす焼き36g,Z-0-0,Q00000,different,active_lot,327,デフォルト,Z-0-0,1,10,0,1,Q00000,244158000,244158000,0,1127
91,華むすびの蔵センター,244187,ブルボンプチチョコチップ60g,Z-0-0,I00000,different,active_lot,327,デフォルト,Z-0-0,1,10,0,1,I00000,244187000,244187000,0,1127
91,華むすびの蔵センター,244328,ナビスコ チップスターS のりしお,Z-0-0,YX0000,different,active_lot,327,デフォルト,Z-0-0,1,8,0,1,YX0000,244328000,244328000,0,1127
91,華むすびの蔵センター,244444,朝日のり 酒屋さんが選んでくれました80枚箱なし,Z-0-0,YX0000,different,active_lot,327,デフォルト,Z-0-0,1,24,0,1,YX0000,244444000,244444000,0,1042
91,華むすびの蔵センター,244464,天狗 横綱あられ175g,Z-0-0,I16309,different,active_lot,327,デフォルト,Z-0-0,1,10,0,1,I16309,244464000,244464000,0,1127
91,華むすびの蔵センター,247096,明治 果汁グミ ぶどう54g,Z-0-0,I00000,different,active_lot,327,デフォルト,Z-0-0,1,10,0,1,I00000,247096000,247096000,0,1127
91,華むすびの蔵センター,247264,ロッテ のど飴11粒,Z-0-0,I00000,different,active_lot,327,デフォルト,Z-0-0,1,10,0,1,I00000,247264000,247264000,0,1127
91,華むすびの蔵センター,261137,キャステロ ダナブルー91g,Z-0-0,AY0000,different,active_lot,327,デフォルト,Z-0-0,1,1,0,1,AY0000,261137000,261137000,0,1542
91,華むすびの蔵センター,261194,ジェラールセレクション ブルーチーズ125g,Z-0-0,AY0000,different,active_lot,327,デフォルト,Z-0-0,1,3,0,1,AY0000,261194000,261194000,0,1542
91,華むすびの蔵センター,261382,森永 無塩バター 発酵450g,Z-0-0,YB8000,different,active_lot,327,デフォルト,Z-0-0,2,7,0,1,YB8000,261382000,261382000,0,1171
91,華むすびの蔵センター,262270,月島 ラブール500g,Z-0-0,AY0000,different,active_lot,327,デフォルト,Z-0-0,1,2,0,1,AY0000,262270000,262270000,0,1171
