status,message,real_stock_id,item_id,item_code,item_name,current_quantity,reserved_quantity,parent_available,pickable_available,missing_pickable_qty,patch_lot_id,patch_lot_location_id,pickable_current,missing_current_qty,patch_lot_current_before,patch_lot_reserved_before,patch_qty
skipped,"no active NULL/NULL pickable lot",52681,118645,118645,　稲穂の舞　大吟醸　濃醇１７度７２０ｍｌ,144,0,144,0,144,,,0,144,,,144
updated,,48021,211235,211235,　ＩＢ　強炭酸水５００ｍｌＰＥＴ,866,0,866,786,80,47615,3,786,80,786,0,80
skipped,"no active NULL/NULL pickable lot",51764,112103,112103,　黒龍　吟醸　いっちょらい３００ｍｌ,72,0,72,0,72,,,0,72,,,72
skipped,"no active NULL/NULL pickable lot",52682,118660,118660,　稲穂の舞　大吟醸　濃醇１７度１．８Ｌ,72,0,72,0,72,,,0,72,,,72
updated,,21396,116013,116013,　無冠盃辛口パック３Ｌ,82,0,82,21,61,21396,3,21,61,21,0,61
skipped,"no active NULL/NULL pickable lot",51765,112506,112506,　黒龍　九頭龍　逸品１．８Ｌ,41,0,41,0,41,,,0,41,,,41
updated,,48036,211351,211351,　ＩＢ　強炭酸水１Ｌ,413,15,398,359,39,47630,3,374,39,374,15,39
skipped,"no active NULL/NULL pickable lot",52753,122563,122563,　２５°浪漫の大地（こめ）１．８Ｌパック,36,0,36,0,36,,,0,36,,,36
skipped,"no active NULL/NULL pickable lot",52735,146216,146216,　ミッケラー　スペースレース　缶　３３０ｍｌ,24,0,24,0,24,,,0,24,,,24
updated,,23380,119404,119404,　福千歳　鯖純米７２０ｍｌ,48,0,48,24,24,23339,3,24,24,24,0,24
skipped,"no active NULL/NULL pickable lot",52732,146212,146212,　ブリュードッグ　ベビーヘイジーＩＰＡ　３３０ｍｌ,24,0,24,0,24,,,0,24,,,24
skipped,"no active NULL/NULL pickable lot",52733,146214,146214,　ツァラ　ケルンスタイルビール　缶　３３０ｍｌ,24,0,24,0,24,,,0,24,,,24
updated,,45762,112029,112029,　福千歳ＲＩＣＥ　ＷＩＮＥ（らいすわいん）７２０ｍｌ,37,0,37,13,24,45393,3,13,24,13,0,24
updated,,45748,111239,111239,　富久娘上撰１．８Ｌ,48,0,48,25,23,45379,3,25,23,25,0,23
updated,,47838,112417,112417,　花垣純米大吟醸７２０ｍｌ,27,0,27,9,18,47432,3,9,18,9,0,18
skipped,"no active NULL/NULL pickable lot",51758,112779,112779,　黒龍　大吟醸１．８Ｌ,12,0,12,0,12,,,0,12,,,12
skipped,"no active NULL/NULL pickable lot",51761,112597,112597,　黒龍　純吟　いっちょらい７２０ｍｌ,11,0,11,0,11,,,0,11,,,11
skipped,"no active NULL/NULL pickable lot",51762,112645,112645,　黒龍　吟醸　いっちょらい１．８Ｌ,10,0,10,0,10,,,0,10,,,10
skipped,"no active NULL/NULL pickable lot",51763,112619,112619,　黒龍　吟醸　いっちょらい７２０ｍｌ,8,0,8,0,8,,,0,8,,,8
updated,,45773,112125,112125,○花垣純米大吟醸１．８Ｌ,7,0,7,1,6,45404,3,1,6,1,0,6
skipped,"no active NULL/NULL pickable lot",52752,112001,112001,　花垣特撰　大吟醸１．８Ｌ,6,0,6,0,6,,,0,6,,,6
updated,,47887,112838,112838,　花垣純米　超辛口７２０ｍｌ,18,0,18,12,6,47481,3,12,6,12,0,6
updated,,37249,181034,181034,　福徳長　国産米１００％使用の料理清酒１．８Ｌ,9,0,9,3,6,37013,3,3,6,3,0,6
skipped,"no active NULL/NULL pickable lot",51756,112525,112525,　黒龍　大吟醸　龍１．８Ｌ,6,0,6,0,6,,,0,6,,,6
skipped,"no active NULL/NULL pickable lot",52734,146215,146215,　オーラ　ドゥ１２　インペリアルスタウト　３３０ｍｌ,6,0,6,0,6,,,0,6,,,6
skipped,"no active NULL/NULL pickable lot",51759,112888,112888,　黒龍　大吟醸７２０ｍｌ,6,0,6,0,6,,,0,6,,,6
skipped,"no active NULL/NULL pickable lot",52744,119640,119640,　福千歳　ＴＨＥ　ＢＲＥＷ　ＳＡＫＥ　７２０ｍｌ,6,0,6,0,6,,,0,6,,,6
updated,,31317,123399,123399,　２５°克　前村貞夫杜氏１．８Ｌ（芋）,7,0,7,1,6,31165,3,1,6,1,0,6
updated,,27204,157338,157338,　コノスル　ピノノワール　２０バレル　７５０ｍｌ,6,0,6,1,5,27088,3,1,5,1,0,5
updated,,45769,112098,112098,　花垣純米　超辛口１．８Ｌ,7,0,7,2,5,45400,3,2,5,2,0,5
updated,,37078,132259,132259,　タリスカー　ストーム　７００ｍｌ,6,0,6,1,5,36842,3,1,5,1,0,5
skipped,"no active NULL/NULL pickable lot",51760,112229,112229,　黒龍　純吟　いっちょらい１．８Ｌ,5,0,5,0,5,,,0,5,,,5
updated,,21395,116005,116005,　清酒正宗鬼ころしパック３Ｌ,10,1,9,5,4,21395,3,6,4,6,1,4
updated,,31343,123623,123623,　２０°限定　赤兎馬ブルー１．８Ｌ（芋）,6,0,6,2,4,31191,3,2,4,2,0,4
updated,,31280,123249,123249,　２５°薩摩魂１．８Ｌ（芋）,11,0,11,7,4,31128,3,7,4,7,0,4
skipped,"no active NULL/NULL pickable lot",51757,112272,112272,　黒龍　大吟醸　龍７２０ｍｌ,3,0,3,0,3,,,0,3,,,3
skipped,"no active NULL/NULL pickable lot",51696,118504,118504,　神蔵　ＫＡＧＵＲＡ　純米無濾過生原酒　ルリ７２０ｍｌ,3,0,3,0,3,,,0,3,,,3
updated,,33472,171534,171534,　神蔵「蜜號」　かぼす山椒　日本酒仕込み７２０ｍｌ,4,0,4,1,3,33307,3,1,3,1,0,3
updated,,21398,116019,116019,　旬三昧　旨口の酒パック３Ｌ,9,0,9,6,3,21398,3,6,3,6,0,3
skipped,"no active NULL/NULL pickable lot",51697,113062,113062,　八海山特別本醸造１．８Ｌ,2,0,2,0,2,,,0,2,,,2
updated,,33495,246754,246754,　大阪ふくちぁん　スタミナ餃子　３６個６４８ｇ,5,0,5,3,2,33330,3,3,2,3,0,2
skipped,"no active NULL/NULL pickable lot",52244,210517,210517,　サントリー　ホワイトウォーター　２．５ガロン９．４６Ｌ,1,0,1,0,1,,,0,1,,,1
skipped,"no active NULL/NULL pickable lot",52046,999006,0,部部システム０００,1,0,1,0,1,,,0,1,,,1
skipped,"no active NULL/NULL pickable lot",52759,155132,155132,　ローランペリエ　ウルトラブリュット　７５０ｍｌ,1,0,1,0,1,,,0,1,,,1
skipped,"no active NULL/NULL pickable lot",52760,631400,631400,　ギャバン　糸切り唐辛子１００ｇ,1,0,1,0,1,,,0,1,,,1
