status,message,real_stock_id,item_id,item_code,item_name,current_quantity,reserved_quantity,parent_available,pickable_available,missing_pickable_qty,patch_lot_id,patch_lot_location_id,pickable_current,missing_current_qty,patch_lot_current_before,patch_lot_reserved_before,patch_qty
updated,,50810,184409,184409,　キリン　氷結ＺＥＲＯ　レモン　３５０ｍｌ,879,0,879,693,186,50365,5,693,186,693,0,186
updated,,48735,184099,184099,　タカラ　カンチューハイ　レモン　２５０ｍｌ,325,0,325,139,186,48310,5,139,186,139,0,186
updated,,26128,185522,185522,　キリン　氷結　無糖レモン　Ａｌｃ．７％　３５０ｍｌ,652,0,652,468,184,26012,5,468,184,468,0,184
updated,,40925,142368,142368,　キリン　一番搾り　糖質ゼロ３５０ｍｌ,706,0,706,523,183,40619,5,523,183,523,0,183
skipped,"no active NULL/NULL pickable lot",52672,118645,118645,　稲穂の舞　大吟醸　濃醇１７度７２０ｍｌ,180,0,180,0,180,,,0,180,,,180
updated,,44611,147198,147198,　アサヒ　クリアアサヒ　贅沢ゼロ３５０ｍｌ,816,0,816,636,180,44242,5,636,180,636,0,180
updated,,42804,143074,143074,◎サッポロ　黒ラベル　３５０ｍｌ,737,0,737,557,180,42471,5,557,180,557,0,180
updated,,40935,142543,142543,　サントリー　生ビール３５０ｍｌ,788,0,788,609,179,40629,5,609,179,609,0,179
updated,,48739,184144,184144,　サントリー　金麦３５０ｍｌ,862,0,862,684,178,48314,5,684,178,684,0,178
updated,,50788,184256,184256,　タカラ　焼酎ハイボール　ドライ３５０ｍｌ,877,0,877,701,176,50343,5,701,176,701,0,176
updated,,31962,211235,211235,　ＩＢ　強炭酸水５００ｍｌＰＥＴ,501,0,501,325,176,31797,5,325,176,325,0,176
updated,,44596,147017,147017,　キリン　本麒麟３５０ｍｌ,1314,0,1314,1155,159,44227,5,1155,159,1155,0,159
updated,,42787,143005,143005,◎キリンラガー３５０ｍｌ,421,0,421,273,148,42454,5,273,148,273,0,148
updated,,44615,147213,147213,　キリン　のどごし　ＺＥＲＯ３５０ｍｌ,646,0,646,509,137,44246,5,509,137,509,0,137
skipped,"no active NULL/NULL pickable lot",52673,118660,118660,　稲穂の舞　大吟醸　濃醇１７度１．８Ｌ,108,0,108,0,108,,,0,108,,,108
updated,,31977,211351,211351,　ＩＢ　強炭酸水１Ｌ,384,0,384,296,88,31812,5,296,88,296,0,88
skipped,"no active NULL/NULL pickable lot",52593,146216,146216,　ミッケラー　スペースレース　缶　３３０ｍｌ,48,0,48,0,48,,,0,48,,,48
skipped,"no active NULL/NULL pickable lot",52590,146212,146212,　ブリュードッグ　ベビーヘイジーＩＰＡ　３３０ｍｌ,48,0,48,0,48,,,0,48,,,48
updated,,50807,184391,184391,　タカラ　カンチューハイ　レモン３５０ｍｌ,166,0,166,124,42,50362,5,124,42,124,0,42
skipped,"no active NULL/NULL pickable lot",52591,146214,146214,　ツァラ　ケルンスタイルビール　缶　３３０ｍｌ,36,0,36,0,36,,,0,36,,,36
updated,,42745,116013,116013,　無冠盃辛口パック３Ｌ,55,0,55,24,31,42412,5,24,31,24,0,31
updated,,42788,143007,143007,◎キリン麒麟淡麗＜生＞５００ｍｌ,190,0,190,165,25,42455,5,165,25,165,0,25
skipped,"no active NULL/NULL pickable lot",51516,221797,221797,　早崎商店　オーロラ印の味付たら　№３００４０ｇ,20,0,20,0,20,,,0,20,,,20
updated,,35936,141026,141026,○キリン　クラシックラガー　大瓶６３３ｍｌ,40,0,40,20,20,35700,5,20,20,20,0,20
updated,,23993,123247,123247,　２５°なごみ香１．８Ｌ（麦）,15,0,15,2,13,23914,5,2,13,2,0,13
updated,,40911,114018,114018,◎白鶴まる　パック２Ｌ,40,0,40,28,12,40605,5,28,12,28,0,12
skipped,"no active NULL/NULL pickable lot",52592,146215,146215,　オーラ　ドゥ１２　インペリアルスタウト　３３０ｍｌ,12,0,12,0,12,,,0,12,,,12
updated,,26181,244444,244444,　朝日のり　酒屋さんが選んでくれました８０枚箱なし,20,0,20,8,12,26065,5,8,12,8,0,12
updated,,40955,142792,142792,　ＯＵＲ　ＢＲＥＷＩＮＧ　うちうらレモンエール　缶３６５ｍｌ,14,0,14,3,11,40649,5,3,11,3,0,11
skipped,"no active NULL/NULL pickable lot",52594,119640,119640,　福千歳　ＴＨＥ　ＢＲＥＷ　ＳＡＫＥ　７２０ｍｌ,10,0,10,0,10,,,0,10,,,10
skipped,"no active NULL/NULL pickable lot",52272,132786,132786,　アランモルト　１０年　ミニセレクション　１００ｍｌ,7,0,7,0,7,,,0,7,,,7
skipped,"no active NULL/NULL pickable lot",52271,132926,132926,　アードベッグ　１０年　ミニセレクション　１００ｍｌ,7,0,7,0,7,,,0,7,,,7
skipped,"no active NULL/NULL pickable lot",52269,132939,132939,　ボウモア１２年　ミニセレクション　１００ｍｌ,7,0,7,0,7,,,0,7,,,7
skipped,"no active NULL/NULL pickable lot",52268,131390,131390,　ニッカ　竹鶴ピュアモルト　１００ｍｌ,7,0,7,0,7,,,0,7,,,7
updated,,36062,450034,450034,　ＬＩＮＥ１００円クーポン,11,0,11,6,5,35826,5,6,5,6,0,5
updated,,39303,221507,221507,　早崎商店　鯖のへしこ　お刺身用,7,0,7,3,4,39024,5,3,4,3,0,4
skipped,"no active NULL/NULL pickable lot",52078,1004012,100008,"OUR BREWING　キックオフ  缶",4,0,4,0,4,,,0,4,,,4
updated,,42959,222289,222289,　東洋ナッツ　ミックスナッツ缶３５５ｇ,16,0,16,12,4,42626,5,12,4,12,0,4
updated,,37750,215435,215435,　エクシードＮＥＯ　烏龍茶２Ｌ,27,0,27,23,4,37495,5,23,4,23,0,4
updated,,39231,159106,159106,　バーズオブパラダイス　オーガニック　カベルネソービニヨンリゼルヴァ　７５０ｍｌ,7,0,7,3,4,38952,5,3,4,3,0,4
skipped,"no active NULL/NULL pickable lot",52076,142691,142691,　ＯＵＲ　ＢＲＥＷＩＮＧ　ディノ・キング３６５ｍｌ缶,3,0,3,0,3,,,0,3,,,3
skipped,"no active NULL/NULL pickable lot",52077,142677,142677,　ＯＵＲ　ＢＲＥＷＩＮＧ　ホッピー・アワー３６５ｍｌ缶,3,0,3,0,3,,,0,3,,,3
skipped,"no active NULL/NULL pickable lot",52267,131384,131384,　サントリー響　ブレンダーズチョイス　ミニセレクション　１００ｍｌ,3,0,3,0,3,,,0,3,,,3
updated,,50721,122523,122523,　２５°浪漫の大地（麦）パック１．８Ｌ,11,0,11,8,3,50276,5,8,3,8,0,3
skipped,"no active NULL/NULL pickable lot",52270,132941,132941,　マッカラン　ダブルカスク　１２年　ミニセレクション　１００ｍｌ,3,0,3,0,3,,,0,3,,,3
skipped,"no active NULL/NULL pickable lot",52273,135005,135005,　マッカラン　１８年　ミニセレクション　１００ｍｌ,3,0,3,0,3,,,0,3,,,3
updated,,42750,116036,116036,　清酒正宗純米酒パック２Ｌ,9,0,9,6,3,42417,5,6,3,6,0,3
updated,,29967,210586,210586,　ミツウロコ　四季の恵み　天然水２Ｌ,200,0,200,198,2,29815,5,198,2,198,0,2
updated,,33952,132767,132767,　ウッドフォードリザーヴ　ミニセレクション　１００ｍｌ,7,0,7,5,2,33778,5,5,2,5,0,2
