status,message,real_stock_id,item_id,item_code,item_name,current_quantity,reserved_quantity,parent_available,pickable_available,missing_pickable_qty,patch_lot_id,patch_lot_location_id,pickable_current,missing_current_qty,patch_lot_current_before,patch_lot_reserved_before,patch_qty
updated,,36133,184067,184067,　キリン　のどごし＜生＞　３５０ｍｌ,1093,0,1093,723,370,35897,13,723,370,715,0,370
updated,,36142,184144,184144,　サントリー　金麦３５０ｍｌ,726,0,726,549,177,35906,13,549,177,549,0,177
skipped,"no active NULL/NULL pickable lot",52674,118645,118645,　稲穂の舞　大吟醸　濃醇１７度７２０ｍｌ,144,0,144,0,144,,,0,144,,,144
updated,,36151,184233,184233,　タカラ　焼酎ハイボール　レモン３５０ｍｌ,379,0,379,258,121,35915,13,258,121,258,0,121
updated,,36134,184068,184068,　キリン　のどごし＜生＞　５００ｍｌ,158,0,158,62,96,35898,13,62,96,62,0,96
updated,,41268,147124,147124,　サッポロ　麦とホップ３５０ｍｌ,286,0,286,192,94,40962,13,192,94,192,0,94
updated,,41259,147004,147004,　キリン　麒麟淡麗グリーンラベル５００ｍｌ,225,0,225,133,92,40953,13,133,92,133,0,92
updated,,37853,184409,184409,　キリン　氷結ＺＥＲＯ　レモン　３５０ｍｌ,465,0,465,384,81,37598,13,384,81,384,0,81
skipped,"no active NULL/NULL pickable lot",52675,118660,118660,　稲穂の舞　大吟醸　濃醇１７度１．８Ｌ,72,0,72,0,72,,,0,72,,,72
skipped,"no active NULL/NULL pickable lot",52676,116013,116013,　無冠盃辛口パック３Ｌ,64,0,64,0,64,,,0,64,,,64
updated,,37850,184391,184391,　タカラ　カンチューハイ　レモン３５０ｍｌ,117,0,117,69,48,37595,13,69,48,69,0,48
updated,,36110,141037,141037,○キリン　一番搾り　中瓶５００ｍｌ,81,0,81,41,40,35874,13,41,40,41,0,40
updated,,44938,210923,210923,　但馬の天然水５５０ｍｌ,495,0,495,456,39,44569,13,456,39,456,0,39
updated,,24253,122280,122280,○２０°いいちこ（麦）パック１．８Ｌ,51,0,51,14,37,24174,13,14,37,14,0,37
updated,,46886,211351,211351,　ＩＢ　強炭酸水１Ｌ,267,0,267,238,29,46480,13,238,29,238,0,29
skipped,"no active NULL/NULL pickable lot",52719,146216,146216,　ミッケラー　スペースレース　缶　３３０ｍｌ,24,0,24,0,24,,,0,24,,,24
skipped,"no active NULL/NULL pickable lot",52717,146214,146214,　ツァラ　ケルンスタイルビール　缶　３３０ｍｌ,24,0,24,0,24,,,0,24,,,24
skipped,"no active NULL/NULL pickable lot",52716,146212,146212,　ブリュードッグ　ベビーヘイジーＩＰＡ　３３０ｍｌ,24,0,24,0,24,,,0,24,,,24
updated,,44927,210586,210586,　ミツウロコ　四季の恵み　天然水２Ｌ,77,0,77,54,23,44558,13,54,23,54,0,23
updated,,39440,143037,143037,◎キリンラガー５００ｍｌ,122,0,122,100,22,39161,13,100,22,100,0,22
skipped,"no active NULL/NULL pickable lot",52740,119640,119640,　福千歳　ＴＨＥ　ＢＲＥＷ　ＳＡＫＥ　７２０ｍｌ,6,0,6,0,6,,,0,6,,,6
skipped,"no active NULL/NULL pickable lot",52718,146215,146215,　オーラ　ドゥ１２　インペリアルスタウト　３３０ｍｌ,6,0,6,0,6,,,0,6,,,6
skipped,"no active NULL/NULL pickable lot",52747,520008,520008,　地酒コレクションチケット　第１部,5,0,5,0,5,,,0,5,,,5
skipped,"no active NULL/NULL pickable lot",52748,520009,520009,　地酒コレクションチケット　第２部,5,0,5,0,5,,,0,5,,,5
updated,,24252,122279,122279,○２５°いいちこ（麦）パック１．８Ｌ,76,0,76,72,4,24173,13,72,4,72,0,4
skipped,"no active NULL/NULL pickable lot",52236,132026,132026,　トマーティン　レガシー　７００ｍｌ,3,0,3,0,3,,,0,3,,,3
updated,,30061,123874,123874,　２５°本格芋焼酎　さつま響ペット５Ｌ（芋）,4,0,4,1,3,29909,13,1,3,1,0,3
skipped,"no active NULL/NULL pickable lot",52238,123939,123939,　２５°樽熟成つるつるいっぱい７２０ｍｌ（麦）,2,0,2,0,2,,,0,2,,,2
skipped,"no active NULL/NULL pickable lot",52237,132506,132506,　グレンスタッグ　７００ｍｌ,2,0,2,0,2,,,0,2,,,2
skipped,"no active NULL/NULL pickable lot",52235,132589,132589,　アードベッグ　ウィービースティ　５年　７００ｍｌ,2,0,2,0,2,,,0,2,,,2
skipped,"no active NULL/NULL pickable lot",52240,132023,132023,　オールドパー　１８年　７５０ｍｌ,1,0,1,0,1,,,0,1,,,1
updated,,39454,143141,143141,　アサヒ　スーパードライ　生樽１０Ｌ,11,0,11,10,1,39175,13,10,1,10,0,1
updated,,30083,131047,131047,　ウィスキー　耀（かがやき）４Ｌ,2,0,2,1,1,29931,13,1,1,1,0,1
updated,,28013,123307,123307,　２５°黒壱　紫芋造り１．８Ｌ（芋）,2,0,2,1,1,27878,13,1,1,1,0,1
updated,,24336,157336,157336,　コノスル　カベルネソーヴィニヨン　２０バレル　７５０ｍｌ,2,0,2,1,1,24257,13,1,1,1,0,1
skipped,"no active NULL/NULL pickable lot",52758,131124,131124,　サントリーシングルモルト山崎７００ｍｌ,1,0,1,0,1,,,0,1,,,1
