status,message,real_stock_id,item_id,item_code,item_name,current_quantity,reserved_quantity,parent_available,pickable_available,missing_pickable_qty,patch_lot_id,patch_lot_location_id,pickable_current,missing_current_qty,patch_lot_current_before,patch_lot_reserved_before,patch_qty
updated,,26760,184067,184067,　キリン　のどごし＜生＞　３５０ｍｌ,1612,0,1612,1236,376,26644,6,1236,376,836,0,376
updated,,24817,147017,147017,　キリン　本麒麟３５０ｍｌ,1315,0,1315,963,352,24738,6,963,352,963,0,352
skipped,"no active NULL/NULL pickable lot",52679,118645,118645,　稲穂の舞　大吟醸　濃醇１７度７２０ｍｌ,216,0,216,0,216,,,0,216,,,216
updated,,24827,147124,147124,　サッポロ　麦とホップ３５０ｍｌ,628,0,628,438,190,24748,6,438,190,246,0,190
updated,,36689,210923,210923,　但馬の天然水５５０ｍｌ,512,0,512,337,175,36453,6,337,175,337,0,175
updated,,24785,145017,145017,　キリン　淡麗プラチナダブル３５０ｍｌ,1066,0,1066,893,173,24706,6,893,173,893,0,173
updated,,24815,147003,147003,　キリン　麒麟淡麗グリーンラベル３５０ｍｌ,1209,0,1209,1046,163,24736,6,1046,163,1030,0,163
updated,,49603,141080,141080,　サッポロ　ラガー　大瓶６３３ｍｌ,222,0,222,85,137,49178,6,85,137,65,0,137
updated,,38338,211645,211645,　神戸居留地　ソーダ１９０ｍｌ,273,0,273,156,117,38083,6,156,117,156,0,117
skipped,"no active NULL/NULL pickable lot",52680,118660,118660,　稲穂の舞　大吟醸　濃醇１７度１．８Ｌ,108,0,108,0,108,,,0,108,,,108
updated,,49588,141019,141019,◎アサヒ　スーパードライ　大瓶６３３ｍｌ,842,0,842,740,102,49163,6,740,102,620,0,102
updated,,24816,147004,147004,　キリン　麒麟淡麗グリーンラベル５００ｍｌ,333,0,333,240,93,24737,6,240,93,144,0,93
updated,,24786,145018,145018,　キリン　淡麗プラチナダブル５００ｍｌ,328,0,328,237,91,24707,6,237,91,141,0,91
updated,,22782,142859,142859,　キリン　グッドエール３５０ｍｌ,441,0,441,350,91,22741,6,350,91,350,0,91
updated,,24782,143244,143244,　サントリー　プレミアムモルツ３５０ｍｌ,463,0,463,373,90,24703,6,373,90,277,0,90
updated,,20830,142404,142404,　サントリー　パーフェクトサントリービール３５０ｍｌ,396,0,396,306,90,20830,6,306,90,210,0,90
updated,,26789,184256,184256,　タカラ　焼酎ハイボール　ドライ３５０ｍｌ,358,0,358,269,89,26673,6,269,89,173,0,89
updated,,24824,147081,147081,　キリン　本麒麟５００ｍｌ,317,0,317,228,89,24745,6,228,89,132,0,89
updated,,22762,142627,142627,　キリン　晴れ風３５０ｍｌ,605,0,605,528,77,22721,6,528,77,416,0,77
skipped,"no active NULL/NULL pickable lot",52724,146212,146212,　ブリュードッグ　ベビーヘイジーＩＰＡ　３３０ｍｌ,48,0,48,0,48,,,0,48,,,48
skipped,"no active NULL/NULL pickable lot",52727,146216,146216,　ミッケラー　スペースレース　缶　３３０ｍｌ,48,0,48,0,48,,,0,48,,,48
updated,,49602,141078,141078,　サントリープレミアムモルツ　中瓶５００ｍｌ,54,0,54,14,40,49177,6,14,40,14,0,40
updated,,49591,141027,141027,◎キリン　ラガー　大瓶６３３ｍｌ,455,0,455,415,40,49166,6,415,40,375,0,40
skipped,"no active NULL/NULL pickable lot",52725,146214,146214,　ツァラ　ケルンスタイルビール　缶　３３０ｍｌ,36,0,36,0,36,,,0,36,,,36
skipped,"no active NULL/NULL pickable lot",51518,221507,221507,　早崎商店　鯖のへしこ　お刺身用,20,0,20,0,20,,,0,20,,,20
updated,,49600,141060,141060,　キリン　クラシックラガー　中瓶５００ｍｌ,78,0,78,59,19,49175,6,59,19,39,0,19
updated,,26649,116013,116013,　無冠盃辛口パック３Ｌ,53,0,53,37,16,26533,6,37,16,37,0,16
skipped,"no active NULL/NULL pickable lot",52742,119640,119640,　福千歳　ＴＨＥ　ＢＲＥＷ　ＳＡＫＥ　７２０ｍｌ,12,0,12,0,12,,,0,12,,,12
updated,,43628,215436,215436,　エクシードＮＥＯ　緑茶２Ｌ,43,0,43,31,12,43295,6,31,12,31,0,12
skipped,"no active NULL/NULL pickable lot",52726,146215,146215,　オーラ　ドゥ１２　インペリアルスタウト　３３０ｍｌ,12,0,12,0,12,,,0,12,,,12
updated,,38226,155355,155355,　カビッキオーリ　ランブルスコ　ロッソ　ドルチェ　７５０ｍｌ,27,0,27,15,12,37971,6,15,12,15,0,12
skipped,"no active NULL/NULL pickable lot",52121,117010,117010,○合成酒旗揚げパック１．８Ｌ,12,0,12,0,12,,,0,12,,,12
updated,,22912,181040,181040,○宝　本みりん　カジュアルボトル１．８Ｌ,41,0,41,30,11,22871,6,30,11,30,0,11
updated,,43627,215435,215435,　エクシードＮＥＯ　烏龍茶２Ｌ,32,0,32,22,10,43294,6,22,10,22,0,10
updated,,22831,143142,143142,　アサヒスーパードライ　生樽１９Ｌ,21,0,21,12,9,22790,6,12,9,2,0,9
updated,,36597,155011,155011,　カビッキオーリ　ランブルスコ　ビアンコ　７５０ｍｌ,11,0,11,2,9,36361,6,2,9,2,0,9
skipped,"no active NULL/NULL pickable lot",52533,132926,132926,　アードベッグ　１０年　ミニセレクション　１００ｍｌ,7,0,7,0,7,,,0,7,,,7
updated,,47325,132786,132786,　アランモルト　１０年　ミニセレクション　１００ｍｌ,9,0,9,2,7,46919,6,2,7,2,0,7
skipped,"no active NULL/NULL pickable lot",52531,132939,132939,　ボウモア１２年　ミニセレクション　１００ｍｌ,7,0,7,0,7,,,0,7,,,7
skipped,"no active NULL/NULL pickable lot",52530,131390,131390,　ニッカ　竹鶴ピュアモルト　１００ｍｌ,7,0,7,0,7,,,0,7,,,7
updated,,24766,114018,114018,◎白鶴まる　パック２Ｌ,44,0,44,38,6,24687,6,38,6,26,0,6
skipped,"no active NULL/NULL pickable lot",52695,142677,142677,　ＯＵＲ　ＢＲＥＷＩＮＧ　ホッピー・アワー３６５ｍｌ缶,6,0,6,0,6,,,0,6,,,6
skipped,"no active NULL/NULL pickable lot",52127,184229,184229,　ハイリキ　プレーン　３００ｍｌ,6,0,6,0,6,,,0,6,,,6
updated,,39878,123571,123571,　２０°つるつるいっぱい（麦）パック２Ｌ,19,0,19,14,5,39599,6,14,5,8,0,5
