status,message,real_stock_id,item_id,item_code,item_name,current_quantity,reserved_quantity,parent_available,pickable_available,missing_pickable_qty,patch_lot_id,patch_lot_location_id,pickable_current,missing_current_qty,patch_lot_current_before,patch_lot_reserved_before,patch_qty
updated,,23195,184144,184144,　サントリー　金麦３５０ｍｌ,1018,0,1018,551,467,23154,4,551,467,551,0,467
updated,,21237,184067,184067,　キリン　のどごし＜生＞　３５０ｍｌ,1142,0,1142,751,391,21237,4,751,391,735,0,391
updated,,27044,185012,185012,　アサヒ　クリアアサヒ　３５０ｍｌ,928,0,928,556,372,26928,4,556,372,556,0,372
updated,,33149,210923,210923,　但馬の天然水５５０ｍｌ,786,0,786,497,289,32984,4,497,289,497,0,289
updated,,23208,184233,184233,　タカラ　焼酎ハイボール　レモン３５０ｍｌ,359,0,359,87,272,23167,4,87,272,87,0,272
updated,,25150,184391,184391,　タカラ　カンチューハイ　レモン３５０ｍｌ,383,0,383,134,249,25071,4,134,249,134,0,249
updated,,47647,143059,143059,◎キリン　一番搾り３５０ｍｌ,745,0,745,499,246,47241,4,499,246,483,0,246
updated,,47650,143074,143074,◎サッポロ　黒ラベル　３５０ｍｌ,564,0,564,322,242,47244,4,322,242,322,0,242
updated,,47661,143244,143244,　サントリー　プレミアムモルツ３５０ｍｌ,385,0,385,196,189,47255,4,196,189,196,0,189
updated,,45597,142404,142404,　サントリー　パーフェクトサントリービール３５０ｍｌ,464,0,464,277,187,45228,4,277,187,277,0,187
updated,,49873,147213,147213,　キリン　のどごし　ＺＥＲＯ３５０ｍｌ,647,0,647,460,187,49448,4,460,187,460,0,187
updated,,47652,143085,143085,　サッポロ　エビス３５０ｍｌ,368,0,368,181,187,47246,4,181,187,181,0,187
updated,,47619,142859,142859,　キリン　グッドエール３５０ｍｌ,257,0,257,71,186,47213,4,71,186,71,0,186
updated,,47640,143025,143025,◎アサヒ　スーパードライ５００ｍｌ,361,0,361,176,185,47234,4,176,185,176,0,185
updated,,27046,185021,185021,　アサヒ　Ｏｆｆ（オフ）３５０ｍｌ缶,563,0,563,378,185,26930,4,378,185,378,0,185
updated,,29146,185524,185524,　キリン　氷結　無糖レモン　Ａｌｃ．４％　３５０ｍｌ,477,0,477,292,185,29011,4,292,185,292,0,185
updated,,49858,147043,147043,　アサヒ　スタイルフリー３５０ｍｌ,779,0,779,595,184,49433,4,595,184,595,0,184
updated,,47680,147003,147003,　キリン　麒麟淡麗グリーンラベル３５０ｍｌ,801,0,801,618,183,47274,4,618,183,610,0,183
updated,,45590,142330,142330,　アサヒ　スーパードライ　ドライクリスタル３５０ｍｌ,245,0,245,67,178,45221,4,67,178,67,0,178
updated,,47633,143004,143004,◎キリン麒麟淡麗＜生＞３５０ｍｌ,848,0,848,673,175,47227,4,673,175,673,0,175
updated,,29144,185522,185522,　キリン　氷結　無糖レモン　Ａｌｃ．７％　３５０ｍｌ,520,0,520,346,174,29009,4,346,174,346,0,174
updated,,23213,184256,184256,　タカラ　焼酎ハイボール　ドライ３５０ｍｌ,294,0,294,131,163,23172,4,131,163,131,0,163
updated,,35187,211235,211235,　ＩＢ　強炭酸水５００ｍｌＰＥＴ,766,0,766,612,154,35013,4,612,154,612,0,154
skipped,"no active NULL/NULL pickable lot",51795,118645,118645,　稲穂の舞　大吟醸　濃醇１７度７２０ｍｌ,144,0,144,0,144,,,0,144,,,144
updated,,47635,143007,143007,◎キリン麒麟淡麗＜生＞５００ｍｌ,272,0,272,130,142,47229,4,130,142,130,0,142
updated,,47634,143005,143005,◎キリンラガー３５０ｍｌ,376,0,376,263,113,47228,4,263,113,263,0,113
updated,,49864,147124,147124,　サッポロ　麦とホップ３５０ｍｌ,257,0,257,162,95,49439,4,162,95,162,0,95
updated,,49862,147084,147084,　サントリー　金麦　糖質ｏｆｆ３５０ｍｌ,374,0,374,282,92,49437,4,282,92,282,0,92
skipped,"no active NULL/NULL pickable lot",51796,118660,118660,　稲穂の舞　大吟醸　濃醇１７度１．８Ｌ,72,0,72,0,72,,,0,72,,,72
updated,,33138,210586,210586,　ミツウロコ　四季の恵み　天然水２Ｌ,200,0,200,132,68,32973,4,132,68,132,0,68
updated,,23109,116013,116013,　無冠盃辛口パック３Ｌ,89,0,89,26,63,23068,4,26,63,26,0,63
updated,,42126,141027,141027,◎キリン　ラガー　大瓶６３３ｍｌ,97,0,97,39,58,41820,4,39,58,39,0,58
skipped,"no active NULL/NULL pickable lot",52731,146216,146216,　ミッケラー　スペースレース　缶　３３０ｍｌ,48,0,48,0,48,,,0,48,,,48
updated,,47681,147004,147004,　キリン　麒麟淡麗グリーンラベル５００ｍｌ,176,0,176,139,37,47275,4,139,37,139,0,37
updated,,42123,141019,141019,◎アサヒ　スーパードライ　大瓶６３３ｍｌ,108,0,108,71,37,41817,4,71,37,71,0,37
updated,,42125,141026,141026,○キリン　クラシックラガー　大瓶６３３ｍｌ,71,0,71,38,33,41819,4,38,33,38,0,33
