status,message,real_stock_id,item_id,item_code,item_name,current_quantity,reserved_quantity,parent_available,pickable_available,missing_pickable_qty,patch_lot_id,patch_lot_location_id,pickable_current,missing_current_qty,patch_lot_current_before,patch_lot_reserved_before,patch_qty
updated,,41500,143024,143024,◎アサヒ　スーパードライ３５０ｍｌ,5405,168,5237,3406,1831,41194,15,3574,1831,3574,168,1831
updated,,36297,141019,141019,◎アサヒ　スーパードライ　大瓶６３３ｍｌ,1504,185,1319,729,590,36061,15,914,590,914,185,590
updated,,39561,142543,142543,　サントリー　生ビール３５０ｍｌ,1203,24,1179,665,514,39282,15,689,514,593,24,514
updated,,43335,147017,147017,　キリン　本麒麟３５０ｍｌ,1644,24,1620,1256,364,43002,15,1280,364,704,0,364
updated,,41483,142908,142908,　アサヒ　新・スーパードライ　生ジョッキ缶３４０ｍｌ,582,0,582,222,360,41177,15,222,360,222,0,360
updated,,43336,147043,147043,　アサヒ　スタイルフリー３５０ｍｌ,1515,0,1515,1162,353,43003,15,1162,353,1162,0,353
updated,,34607,210923,210923,　但馬の天然水５５０ｍｌ,1076,0,1076,782,294,34433,15,782,294,782,0,294
skipped,"no active NULL/NULL pickable lot",52677,118645,118645,　稲穂の舞　大吟醸　濃醇１７度７２０ｍｌ,288,0,288,0,288,,,0,288,,,288
updated,,41501,143025,143025,◎アサヒ　スーパードライ５００ｍｌ,859,144,715,442,273,41195,15,586,273,394,0,273
updated,,45103,147081,147081,　キリン　本麒麟５００ｍｌ,446,0,446,262,184,44734,15,262,184,262,0,184
updated,,41456,142627,142627,　キリン　晴れ風３５０ｍｌ,805,0,805,628,177,41150,15,628,177,420,0,177
updated,,43316,145060,145060,　アサヒ　スタイルフリー　トリプルゼロ３５０ｍｌ,729,0,729,556,173,42983,15,556,173,556,0,173
updated,,36403,211235,211235,　ＩＢ　強炭酸水５００ｍｌＰＥＴ,701,0,701,529,172,36167,15,529,172,529,0,172
updated,,28386,185012,185012,　アサヒ　クリアアサヒ　３５０ｍｌ,1378,24,1354,1182,172,28251,15,1206,172,1206,24,172
updated,,45104,147084,147084,　サントリー　金麦　糖質ｏｆｆ３５０ｍｌ,1009,0,1009,837,172,44735,15,837,172,645,0,172
updated,,51296,184144,184144,　サントリー　金麦３５０ｍｌ,1369,0,1369,1198,171,50851,15,1198,171,814,0,171
updated,,39552,142351,142351,　アサヒ　アサヒゴールド３５０ｍｌ,410,0,410,239,171,39273,15,239,171,239,0,171
updated,,43333,147003,147003,　キリン　麒麟淡麗グリーンラベル３５０ｍｌ,1434,0,1434,1263,171,43000,15,1263,171,1239,0,171
updated,,22571,184256,184256,　タカラ　焼酎ハイボール　ドライ３５０ｍｌ,581,0,581,416,165,22530,15,416,165,416,0,165
updated,,43313,145017,145017,　キリン　淡麗プラチナダブル３５０ｍｌ,1587,0,1587,1431,156,42980,15,1431,156,855,0,156
updated,,41508,143059,143059,◎キリン　一番搾り３５０ｍｌ,1301,0,1301,1151,150,41202,15,1151,150,527,0,150
updated,,32312,112103,112103,　黒龍　吟醸　いっちょらい３００ｍｌ,118,0,118,0,118,32147,15,-2,120,-2,0,120
updated,,36303,141036,141036,◎キリン　一番搾り　大瓶６３３ｍｌ,376,0,376,260,116,36067,15,260,116,260,0,116
skipped,"no active NULL/NULL pickable lot",52678,118660,118660,　稲穂の舞　大吟醸　濃醇１７度１．８Ｌ,108,0,108,0,108,,,0,108,,,108
updated,,38032,211351,211351,　ＩＢ　強炭酸水１Ｌ,317,15,302,196,106,37777,15,211,106,211,15,106
updated,,51287,184068,184068,　キリン　のどごし＜生＞　５００ｍｌ,390,1,389,298,91,50842,15,299,91,275,1,91
updated,,30420,185524,185524,　キリン　氷結　無糖レモン　Ａｌｃ．４％　３５０ｍｌ,364,0,364,278,86,30268,15,278,86,134,0,86
updated,,47233,215436,215436,　エクシードＮＥＯ　緑茶２Ｌ,117,7,110,60,50,46827,15,67,50,67,7,50
skipped,"no active NULL/NULL pickable lot",52723,146216,146216,　ミッケラー　スペースレース　缶　３３０ｍｌ,48,0,48,0,48,,,0,48,,,48
skipped,"no active NULL/NULL pickable lot",52720,146212,146212,　ブリュードッグ　ベビーヘイジーＩＰＡ　３３０ｍｌ,48,0,48,0,48,,,0,48,,,48
updated,,41509,143060,143060,◎キリン　一番搾り５００ｍｌ,231,0,231,193,38,41203,15,193,38,97,0,38
skipped,"no active NULL/NULL pickable lot",52750,210933,210933,　ピュアの森２Ｌ,36,0,36,0,36,,,0,36,,,36
skipped,"no active NULL/NULL pickable lot",52721,146214,146214,　ツァラ　ケルンスタイルビール　缶　３３０ｍｌ,36,0,36,0,36,,,0,36,,,36
updated,,22589,184391,184391,　タカラ　カンチューハイ　レモン３５０ｍｌ,184,0,184,150,34,22548,15,150,34,150,0,34
updated,,47038,122050,122050,○２５°いいちこ（麦）瓶９００ｍｌ,51,10,41,17,24,46632,15,27,24,27,10,24
skipped,"no active NULL/NULL pickable lot",51517,221797,221797,　早崎商店　オーロラ印の味付たら　№３００４０ｇ,20,0,20,0,20,,,0,20,,,20
updated,,43296,143141,143141,　アサヒ　スーパードライ　生樽１０Ｌ,60,3,57,42,15,42963,15,45,15,25,0,15
skipped,"no active NULL/NULL pickable lot",52741,119640,119640,　福千歳　ＴＨＥ　ＢＲＥＷ　ＳＡＫＥ　７２０ｍｌ,12,0,12,0,12,,,0,12,,,12
skipped,"no active NULL/NULL pickable lot",52722,146215,146215,　オーラ　ドゥ１２　インペリアルスタウト　３３０ｍｌ,12,0,12,0,12,,,0,12,,,12
skipped,"no active NULL/NULL pickable lot",52751,222414,222414,　東洋ナッツＩＢＪ　ミックスナッツ缶３５５ｇ,12,0,12,0,12,,,0,12,,,12
updated,,34431,112597,112597,　黒龍　純吟　いっちょらい７２０ｍｌ,10,0,10,1,9,34257,15,1,9,1,0,9
updated,,36309,141048,141048,◎サッポロ　黒ラベル　大瓶６３３ｍｌ,123,10,113,104,9,36073,15,114,9,114,10,9
skipped,"no active NULL/NULL pickable lot",52761,520009,520009,　地酒コレクションチケット　第２部,8,0,8,0,8,,,0,8,,,8
skipped,"no active NULL/NULL pickable lot",51767,112888,112888,　黒龍　大吟醸７２０ｍｌ,8,0,8,0,8,,,0,8,,,8
skipped,"no active NULL/NULL pickable lot",52657,132939,132939,　ボウモア１２年　ミニセレクション　１００ｍｌ,7,0,7,0,7,,,0,7,,,7
updated,,34509,132926,132926,　アードベッグ　１０年　ミニセレクション　１００ｍｌ,8,0,8,1,7,34335,15,1,7,1,0,7
skipped,"no active NULL/NULL pickable lot",51768,112619,112619,　黒龍　吟醸　いっちょらい７２０ｍｌ,7,0,7,0,7,,,0,7,,,7
skipped,"no active NULL/NULL pickable lot",52659,132786,132786,　アランモルト　１０年　ミニセレクション　１００ｍｌ,7,0,7,0,7,,,0,7,,,7
skipped,"no active NULL/NULL pickable lot",52656,131390,131390,　ニッカ　竹鶴ピュアモルト　１００ｍｌ,7,0,7,0,7,,,0,7,,,7
updated,,51218,122578,122578,　２５°黒壱（芋）７２０ｍｌ,20,1,19,13,6,50773,15,14,6,14,1,6
updated,,51203,122523,122523,　２５°浪漫の大地（麦）パック１．８Ｌ,13,1,12,6,6,50758,15,7,6,1,1,6
skipped,"no active NULL/NULL pickable lot",52692,142677,142677,　ＯＵＲ　ＢＲＥＷＩＮＧ　ホッピー・アワー３６５ｍｌ缶,6,0,6,0,6,,,0,6,,,6
skipped,"no active NULL/NULL pickable lot",51766,112779,112779,　黒龍　大吟醸１．８Ｌ,6,0,6,0,6,,,0,6,,,6
updated,,34432,112601,112601,　一本義　辛口クラシック７２０ｍｌ（旧金印）,12,0,12,6,6,34258,15,6,6,6,0,6
updated,,41386,114078,114078,○白鶴まる　パック３Ｌ,39,10,29,24,5,41080,15,34,5,34,10,5
skipped,"no active NULL/NULL pickable lot",52691,142691,142691,　ＯＵＲ　ＢＲＥＷＩＮＧ　ディノ・キング３６５ｍｌ缶,4,0,4,0,4,,,0,4,,,4
skipped,"no active NULL/NULL pickable lot",52693,1004012,100008,"OUR BREWING　キックオフ  缶",4,0,4,0,4,,,0,4,,,4
