real_stock_id,lot_id,item_code,local_location_id,prod_location_id
51831,52256,112788,2867,2866
51831,56660,112788,2867,2866
51569,51307,142932,2866,2865
51570,51308,142933,2866,2865
51464,56571,145024,2871,2870
52108,56245,149365,2870,2869
52217,56645,212002,2868,2867
52150,53418,244464,2869,2868
