status,source,item_code,item_name,warehouse_id,ref_id,current_quantity,reserved_quantity,location_id,wms_shelf,expected_oracle_shelf,oracle_shelves,oracle_products
match,lot,122662,　２５°安心院蔵９００ｍｌ,91,21631,3,0,1020,E09205,E09205,E09205,122662000:E09205:0:1202
match,lot,122667,　２５°天使のささやきパック１．８Ｌ,91,21632,3,0,1021,E09206,E09206,E09206,122667000:E09206:0:1021
match,lot,122678,　２５°村正１．８Ｌ（麦）,91,21633,19,0,1001,E08310,E08310,E08310,122678000:E08310:0:1283
match,lot,122686,　銀座のすずめ　ガスライト　珈琲７２０ｍｌ,91,21634,3,0,1790,H06415,H06415,H06415,122686000:H06415:0:1021
match,lot,122687,　２５°？ないな９００ｍｌ（芋）,91,21635,15,0,1753,H06203,H06203,H06203,122687000:H06203:0:1571
match,lot,122688,　２５°？ないな１．８Ｌ（芋）,91,21636,13,0,599,B16302,B16302,B16302,122688000:B16302:0:1571
match,lot,122691,　２５°一粒の麦７２０ｍｌ,91,21637,20,0,2490,P16203,P16203,P16203,122691000:P16203:0:1784
match,lot,122695,　２５°スパイス焼酎　カルダモンＴＡＫＥ７　１．８Ｌ,91,21638,2,0,2586,W06104,W06104,W06104,122695000:W06104:0:1021
match,lot,122705,　２５°薩摩宝山　古々雫１．８Ｌ（芋）,91,21639,5,0,1486,G06101,G06101,G06101,122705000:G06101:0:1784
match,lot,122706,　２５°薩摩宝山　古々雫７２０ｍｌ（芋）,91,21640,19,0,1706,H05303,H05303,H05303,122706000:H05303:0:1784
match,lot,122723,　２５°薩摩魂９００ｍｌ（芋）,91,21641,20,0,623,C03202,C03202,C03202,122723000:C03202:0:1290
match,lot,122728,　２０°若紫の君（しそ）７２０ｍｌ,91,21642,4,0,1079,E10313,E10313,E10313,122728000:E10313:0:1202
match,lot,122730,　２５°銀座のすずめ琥珀１．８Ｌ,91,21643,3,0,2612,W06402,W06402,W06402,122730000:W06402:0:1021
match,lot,122740,　２５°いいちこ　深薫７２０ｍｌ（麦）,91,21644,12,0,1760,H06210,H06210,H06210,122740000:H06210:0:1330
match,lot,122741,　２５°俺の焼酎１．８Ｌ,91,21645,6,0,938,E07112,E07112,E07112,122741000:E07112:0:1202
match,lot,122746,　２５°篠崎　熟成麦焼酎キュービ「赤」１８Ｌ（粋様）,91,21646,2,1,559,B10104,B10104,B10104,122746000:B10104:0:1507
match,lot,122775,　２５°焼きいも焼酎　鬼火９００ｍｌ,91,21647,25,0,2566,W03302,W03302,W03302,122775000:W03302:0:1202
match,lot,122776,　２５°黒麹仕込み　虎徹１．８Ｌ,91,21648,37,0,2685,Z02102,Z02102,Z02102,122776000:Z02102:0:1843
match,lot,122777,　２５°黒麹仕込み　虎徹７２０ｍｌ,91,21649,24,0,2489,P16202,P16202,P16202,122777000:P16202:0:1843
match,lot,122784,　２５°さつま白波　黒麹仕込み・瓶（芋）９００ｍｌ,91,21650,5,0,911,E06303,E06303,E06303,122784000:E06303:0:1202
match,lot,122806,　２５°銀座のすずめ黒麹（麦）７２０ｍｌ,91,21651,1,0,2669,YC0000,YC0000,YC0000,122806000:YC0000:0:1021
match,lot,122809,　２５°本格麦焼酎　越前屋玄衛門７２０ｍｌ（イエローラベル）,91,21652,16,9,2424,L10203,L10203,L10203,122809000:L10203:0:1934
match,lot,122810,　２５°楽っこ（麦）ペット５Ｌ,91,21653,57,1,2655,W09101,W09101,W09101,122810000:W09101:0:1334
match,lot,122813,　２５°本格麦焼酎　越前屋玄衛門３００ｍｌ（イエローラベル）,91,21654,25,0,753,E01305,E01305,E01305,122813000:E01305:0:1934
match,lot,122823,×２５°二階堂　吉四六（麦）瓶７２０ｍｌ営業部専用,91,21655,41,0,2574,W05101,W05101,W05101,122823000:W05101:0:1761
match,lot,122824,　２５°喜六（芋）７２０ｍｌ,91,21656,3,0,837,E04314,E04314,E04314,122824000:E04314:0:1326
match,lot,122826,　２５°薩摩茶屋１．８Ｌ（芋）,91,21657,3,0,2627,W07108,W07108,W07108,122826000:W07108:0:1326
match,lot,122846,　２５°兼八（麦）７２０ｍｌ,91,21658,1,0,1709,H05308,H05308,H05308,122846000:H05308:0:1326
match,lot,122853,　２５°つくし　黒（麦）７２０ｍｌ,91,21660,1,0,2495,Q00000,Q00000,Q00000,122853000:Q00000:0:1326
match,lot,122857,　２５°茜霧島９００ｍｌ（芋）,91,21661,3,0,1070,E10303,E10303,E10303,122857000:E10303:0:1021
match,lot,122858,　２５°あまみ朝日７２０ｍｌ（黒糖）,91,21662,17,0,482,B01303,B01303,B01303,122858000:B01303:0:1761
match,lot,122867,　２０°黒霧島９００ｍｌ（芋）,91,21663,8,0,949,E07212,E07212,E07212,122867000:E07212:0:1021
match,lot,122871,　２５°べにくろ７２０ｍｌ（芋）,91,21664,19,0,908,E06215,E06215,E06215,122871000:E06215:0:1021
match,lot,122874,　２５°佐藤　黒７２０ｍｌ（芋）,91,21665,18,1,1578,G08414,G08414,G08414,122874000:G08414:0:1326
match,lot,153880,　パブロクラロ　ソービニヨンブラン　７５０ｍｌ,91,21666,4,0,1911,I03412,I03412,I03412,153880000:I03412:0:1138
oracle_no_shelf,lot,153883,　ミシオネス　カベルネソービニヨン　７５０ｍｌ,91,56058,7,0,11,zz1,,,153883000::0:1021
oracle_no_shelf,lot,153893,　アリウェン　レセルヴァ　ピノノワール　７５０ｍｌ,91,56199,2,0,327,Z00,,,153893000::0:1004
oracle_no_shelf,lot,153894,　アリウェン　レセルヴァ　シャルドネ　７５０ｍｌ,91,56200,2,0,327,Z00,,,153894000::0:1004
oracle_no_shelf,lot,153954,　シャプティエ　リュベロン　ラシボワーズ　ルージュ　７５０ｍｌ,91,56080,6,0,327,Z00,,,153954000::0:1004
match,lot,153962,　コンチャイトロ　サンライズ　スパークリング　３７５ｍｌ,91,21667,1,0,1490,G06106,G06106,G06106,153962000:G06106:0:1330
match,lot,153963,　コンチャイトロ　サンライズ　スパークリング　ロゼ　３７５ｍｌ,91,21668,3,0,2028,I05501,I05501,I05501,153963000:I05501:0:1330
oracle_no_shelf,lot,153967,　ミラヴァル　ロゼ　７５０ｍｌ,91,56108,5,0,11,zz1,,,153967000::0:1456
match,lot,154005,　ノイリープラット　ドライ　白　１Ｌ,91,21669,6,3,1759,H06209,H06209,H06209,154005000:H06209:0:1021
oracle_no_shelf,lot,154009,　チンザノ　ロッソ　７５０ｍｌ,91,56201,2,0,11,zz1,,,154009000::0:1021
oracle_no_shelf,lot,154010,　チンザノ　ドライ　７５０ｍｌ,91,56081,6,0,11,zz1,,,154010000::0:1021
match,lot,154014,　ゴンザレス　ティオペペ　７５０ｍｌ,91,21670,6,0,829,E04303,E04303,E04303,154014000:E04303:0:1330
oracle_no_shelf,lot,154016,　チンザノ　ロッソ　１Ｌ,91,56127,4,0,11,zz1,,,154016000::0:1021
match,lot,154024,　サンデマン　ルビーポート　７５０ｍｌ,91,21671,3,0,831,E04308,E04308,E04308,154024000:E04308:0:1021|154024900:E04308::1021
oracle_no_shelf,lot,154037,×チンザノ　ドライ　１Ｌ,91,56059,7,0,11,zz1,,,154037000::0:1021
match,lot,154065,　赤玉パンチ　コンクタイプ　１．８Ｌ,91,21672,5,0,973,E08106,E08106,E08106,154065000:E08106:0:1021
oracle_no_shelf,lot,154145,　モンメイラック　白　７５０ｍｌ,91,56128,4,0,11,zz1,,,154145000::0:1006
oracle_no_shelf,lot,154146,　ムラダル　ブランコ　７５０ｍｌ,91,56247,1,0,327,Z00,,,154146000::0:1563
oracle_no_shelf,lot,154150,　エゴット　トレッビアーノ　シャルドネ　３Ｌ,91,56248,1,0,327,Z00,,,154150000::0:1226
oracle_no_shelf,lot,154154,　エゴット　メルロサンジョベーゼ　３Ｌ,91,56129,4,0,327,Z00,,,154154000::0:1226
match,lot,154219,　ベルトラン　ナチュラリス　シャルドネ　７５０ｍｌ,91,21673,8,0,1954,I04309,I04309,I04309,154219000:I04309:0:1313|154219001:::
match,lot,154276,　カーニヴォー　ジンファンデル　７５０ｍｌ,91,21674,1,0,2063,I06416,I06416,I06416,154276000:I06416:0:1021
match,lot,154285,　Ｙ　ｂｙ　ＹＯＳＨＩＫＩ　カベルネソービニヨン　カリフォルニア　７５０ｍｌ,91,21675,9,0,2164,I09303,I09303,I09303,154285000:I09303:0:1002
match,lot,154308,　シャトー　ラグランジュ　７５０ｍｌ,91,21676,6,0,2292,I14411,I14411,I14411,154308000:I14411:0:1313
match,lot,154340,　ブレッド＆バター　シャルドネ　７５０ｍｌ,91,21677,8,0,1963,I04319,I04319,I04319,154340000:I04319:0:1004
match,lot,154357,　アイムリースリング　フロムドイツ　７５０ｍｌ,91,21678,4,0,1962,I04318,I04318,I04318,154357000:I04318:0:1642
match,lot,154372,　レ　ザルム　ド　ラグランジュ　’２０　７５０ｍｌ,91,21679,6,0,2288,I14406,I14406,I14406,154372000:I14406:0:1313
match,lot,154410,　オーパスワン　オーヴァーチャー　７５０ｍｌ,91,21680,16,0,1937,I04202,I04202,I04202,154410000:I04202:0:1405
oracle_no_shelf,lot,154413,　プリュレロック　ニュイサンジョルジュ　クロデコルヴェ　７５０ｍｌ,91,56130,4,0,11,zz1,,,154413000::0:1313
match,lot,154427,　フォンタナカンディダ　ローマロッソ　７５０ｍｌ,91,21681,9,0,1878,I03201,I03201,I03201,154427000:I03201:0:1226
match,lot,154428,　フォンタナカンディダ　ローマビアンコ　７５０ｍｌ,91,21682,7,0,1873,I03106,I03106,I03106,154428000:I03106:0:1226
match,lot,154429,　サルパルータ　カラニカ　シラー　７５０ｍｌ,91,21683,8,0,2283,I14313,I14313,I14313,154429000:I14313:0:1226
match,lot,154430,　メリーニ　グラナイオ　キャンティクラッシコ　７５０ｍｌ,91,21684,2,0,1986,I05109,I05109,I05109,154430000:I05109:0:1226
match,lot,154430,　メリーニ　グラナイオ　キャンティクラッシコ　７５０ｍｌ,91,51284,6,0,1986,I05109,I05109,I05109,154430000:I05109:0:1226
match,lot,154431,　ポデーリダルネスポリ　オレンジワイン　７５０ｍｌ,91,21685,6,0,1989,I05112,I05112,I05112,154431000:I05112:0:1226
match,lot,154443,　デコイ　リミテッド　ピノノワール　７５０ｍｌ,91,21686,8,0,2260,I13415,I13415,I13415,154443000:I13415:0:1470
match,lot,154444,　デコイ　リミテッド　メルロ　７５０ｍｌ,91,21687,6,0,2286,I14402,I14402,I14402,154444000:I14402:0:1470
match,lot,154446,　ナパ　ハイランズ　シャルドネ　７５０ｍｌ,91,21688,10,0,1979,I04419,I04419,I04419,154446000:I04419:0:1470
match,lot,154477,　ベルトラン　プリマ　ナチュール　シャルドネ　７５０ｍｌ,91,21689,1,0,1913,I03414,I03414,I03414,154477000:I03414:0:1313
match,lot,154481,　コルテ　アダミ　ソアーヴェ　７５０ｍｌ,91,21690,6,0,1902,I03318,I03318,I03318,154481000:I03318:0:1313
oracle_no_shelf,lot,154495,　ＬＬ　ボーヌ　ヴィーニュフランシュ　７５０ｍｌ,91,56109,5,0,11,zz1,,,154495000::0:1002
oracle_no_shelf,lot,154524,　ＬＬ　ピュリニーモンラッシェ　ルフェール　７５０ｍｌ,91,56131,4,0,11,zz1,,,154524000::0:1021
match,lot,154530,　ヴィラマリア　ＰＢ　ピノノワール　７５０ｍｌ,91,21691,6,0,1938,I04203,I04203,I04203,154530000:I04203:0:1004
match,lot,154531,　ヴィラマリア　ＰＢ　ソービニヨンブラン　７５０ｍｌ,91,21692,12,0,2115,I08202,I08202,I08202,154531000:I08202:0:1004
match,lot,154531,　ヴィラマリア　ＰＢ　ソービニヨンブラン　７５０ｍｌ,91,53300,10,0,2115,I08202,I08202,I08202,154531000:I08202:0:1004
match,lot,154532,　ヴィラマリア　ＰＢ　リースリング　７５０ｍｌ,91,21693,4,0,1919,I03506,I03506,I03506,154532000:I03506:0:1004
match,lot,154533,　ヴィラマリア　ＰＢ　メルロ　カベルネ　マルベック　７５０ｍｌ,91,21694,5,0,1923,I03515,I03515,I03515,154533000:I03515:0:1004
oracle_no_shelf,lot,154599,　テール　デトワール　キュヴェ　ギョタク　７５０ｍｌ,91,56060,7,0,11,zz1,,,154599000::0:1472
oracle_no_shelf,lot,154611,　ブシャール　ペール　エ　フィス　シャンベルタン　クロ　ド　ベーズ　７５０ｍｌ,91,56164,3,0,11,zz1,,,154611000::0:1313
match,lot,154707,　ＬＬ　ヴォーヌロマネ　７５０ｍｌ,91,21695,7,0,2135,I08406,I08406,I08406,154707000:I08406:0:1002
oracle_no_shelf,lot,154749,　ドメーヌ　フランソワ　ヴィラール　ヴィオニエ　７５０ｍｌ,91,55991,14,0,11,zz1,,,154749000::0:1138
