status,source,item_code,item_name,wms_shelf,expected_oracle_shelf,oracle_shelves,ref_count,total_current,total_available,oracle_products
match,default,112039,　越前岬　大吟醸　吟の雫７２０ｍｌ,Q00000,Q00000,Q00000,1,0,0,112039000:Q00000:0:1460
match,default,112047,　雲乃井　純米吟醸　東雲１．８Ｌ,W06110,W06110,W06110,1,0,0,112047000:W06110:0:1021
match,default,112056,　梵　吟撰７２０ｍｌ　（箱有）,W02201,W02201,W02201,1,0,0,112056000:W02201:0:1514
match,default,112059,　福千歳山廃純米　ひと肌恋し１．８Ｌ,W06105,W06105,W06105,1,0,0,112059000:W06105:0:1512
match,default,112061,　早瀬浦特別純米酒３００ｍｌ（営業部専用）,AW0000,AW0000,AW0000,1,0,0,112061000:AW0000:0:9999
match,default,112063,　梵吉平　純米大吟醸７２０ｍｌ,W02303,W02303,W02303,1,0,0,112063000:W02303:0:1514
match,default,112073,×常山参の升　純米　辛口１．８Ｌ,YX0000,YX0000,YX0000,1,0,0,112073000:YX0000:0:1511
match,default,112080,　越の磯　純米酒　寒仕込み１．８Ｌ,E09106,E09106,E09106,1,0,0,112080000:E09106:0:1825
match,default,112098,　花垣純米　超辛口１．８Ｌ,F07106,F07106,F07106,1,0,0,112098000:F07106:0:1370
match,default,112103,　黒龍　吟醸　いっちょらい３００ｍｌ,AW0000,AW0000,AW0000,1,0,0,112103000:AW0000:0:2018
match,default,112110,　花垣特撰大吟醸３００ｍｌ,F06103,F06103,F06103,1,0,0,112110000:F06103:0:1370
match,default,112125,○花垣純米大吟醸１．８Ｌ,G06103,G06103,G06103,1,0,0,112125000:G06103:0:1370
match,default,112126,　わかさの酒　鯖専用純米酒１．８Ｌ,W06401,W06401,W06401,1,0,0,112126000:W06401:0:1694
match,default,112130,　花垣特撰　大吟醸７２０ｍｌ,E07207,E07207,E07207,1,0,0,112130000:E07207:0:1370
match,default,112148,　真名鶴美雨　ｒｏｓｅ３００ｍｌ,E10309,E10309,E10309,1,0,0,112148000:E10309:0:1679
match,default,112151,　越の磯　春夏秋雪越前　純米吟醸３００ｍｌ,G06201,G06201,G06201,1,0,0,112151000:G06201:0:1825
match,default,112177,　花垣　純米吟醸１．８Ｌ,E05105,E05105,E05105,1,0,0,112177000:E05105:0:1370
