status,source,item_code,item_name,warehouse_id,ref_id,current_quantity,reserved_quantity,location_id,wms_shelf,expected_oracle_shelf,oracle_shelves,oracle_products
oracle_no_shelf,lot,153883,　ミシオネス　カベルネソービニヨン　７５０ｍｌ,91,56058,7,0,11,zz1,,,153883000::0:1021
oracle_no_shelf,lot,153893,　アリウェン　レセルヴァ　ピノノワール　７５０ｍｌ,91,56199,2,0,327,Z00,,,153893000::0:1004
oracle_no_shelf,lot,153894,　アリウェン　レセルヴァ　シャルドネ　７５０ｍｌ,91,56200,2,0,327,Z00,,,153894000::0:1004
oracle_no_shelf,lot,153954,　シャプティエ　リュベロン　ラシボワーズ　ルージュ　７５０ｍｌ,91,56080,6,0,327,Z00,,,153954000::0:1004
oracle_no_shelf,lot,153967,　ミラヴァル　ロゼ　７５０ｍｌ,91,56108,5,0,11,zz1,,,153967000::0:1456
oracle_no_shelf,lot,154009,　チンザノ　ロッソ　７５０ｍｌ,91,56201,2,0,11,zz1,,,154009000::0:1021
oracle_no_shelf,lot,154010,　チンザノ　ドライ　７５０ｍｌ,91,56081,6,0,11,zz1,,,154010000::0:1021
oracle_no_shelf,lot,154016,　チンザノ　ロッソ　１Ｌ,91,56127,4,0,11,zz1,,,154016000::0:1021
oracle_no_shelf,lot,154037,×チンザノ　ドライ　１Ｌ,91,56059,7,0,11,zz1,,,154037000::0:1021
oracle_no_shelf,lot,154145,　モンメイラック　白　７５０ｍｌ,91,56128,4,0,11,zz1,,,154145000::0:1006
oracle_no_shelf,lot,154146,　ムラダル　ブランコ　７５０ｍｌ,91,56247,1,0,327,Z00,,,154146000::0:1563
oracle_no_shelf,lot,154150,　エゴット　トレッビアーノ　シャルドネ　３Ｌ,91,56248,1,0,327,Z00,,,154150000::0:1226
oracle_no_shelf,lot,154154,　エゴット　メルロサンジョベーゼ　３Ｌ,91,56129,4,0,327,Z00,,,154154000::0:1226
oracle_no_shelf,lot,154413,　プリュレロック　ニュイサンジョルジュ　クロデコルヴェ　７５０ｍｌ,91,56130,4,0,11,zz1,,,154413000::0:1313
oracle_no_shelf,lot,154495,　ＬＬ　ボーヌ　ヴィーニュフランシュ　７５０ｍｌ,91,56109,5,0,11,zz1,,,154495000::0:1002
oracle_no_shelf,lot,154524,　ＬＬ　ピュリニーモンラッシェ　ルフェール　７５０ｍｌ,91,56131,4,0,11,zz1,,,154524000::0:1021
oracle_no_shelf,lot,154599,　テール　デトワール　キュヴェ　ギョタク　７５０ｍｌ,91,56060,7,0,11,zz1,,,154599000::0:1472
oracle_no_shelf,lot,154611,　ブシャール　ペール　エ　フィス　シャンベルタン　クロ　ド　ベーズ　７５０ｍｌ,91,56164,3,0,11,zz1,,,154611000::0:1313
oracle_no_shelf,lot,154749,　ドメーヌ　フランソワ　ヴィラール　ヴィオニエ　７５０ｍｌ,91,55991,14,0,11,zz1,,,154749000::0:1138
oracle_no_shelf,lot,154895,　フィリップ　ル　アルディ　サン　トーバン　ブラン　７５０ｍｌ,91,56082,6,0,11,zz1,,,154895000::0:1423
oracle_no_shelf,lot,155005,　ロジャーグラート　カヴァ　グランキュヴェ　７５０ｍｌ,91,56202,2,0,327,Z00,,,155005000::0:1004
oracle_no_shelf,lot,184421,　チョーヤ　さらりとした梅酒　パック１Ｌ,91,56203,2,0,11,zz1,,,184421000::0:1021
oracle_no_shelf,lot,184587,　キリン　氷結　ウメ　５００ｍｌ,91,55954,24,0,11,zz1,,,184587000::0:1330|184587900:::
oracle_no_shelf,lot,322501,　はぐるま会　ゴルフコンペ景品,91,52661,1,0,11,zz1,,,322501000::0:9999
oracle_no_shelf,lot,322501,　はぐるま会　ゴルフコンペ景品,91,52663,1,0,11,zz1,,,322501000::0:9999
oracle_no_shelf,lot,322501,　はぐるま会　ゴルフコンペ景品,91,56249,1,0,11,zz1,,,322501000::0:9999
oracle_no_shelf,lot,340000,　ハリカ金額管理ギフト（仕入用）,91,55921,71,0,11,zz1,,,340000000::0:1266
oracle_no_shelf,lot,410049,　箱入りポリ絞り袋　５５ｃｍ　青色,91,56204,2,0,11,zz1,,,410049000::0:1171
oracle_no_shelf,lot,410066,　福重　ＣＦ－６０　無地７０巾　ケーキフィル,91,56205,2,0,11,zz1,,,410066000::0:1171
oracle_no_shelf,lot,410102,　バキュフレッシュ　替え栓　２個入　１個,91,56206,2,0,11,zz1,,,410102000::0:1228
oracle_no_shelf,lot,410109,　クタール　ソムリエナイフ　１個,91,56165,3,0,11,zz1,,,410109000::0:1228
oracle_no_shelf,lot,410225,　まほろば　デコシート　５寸　１０００枚,91,56250,1,0,11,zz1,,,410225000::0:1171
oracle_no_shelf,lot,410226,　まほろば　デコサイドシート　１０００枚,91,56251,1,0,11,zz1,,,410226000::0:1171
oracle_no_shelf,lot,122887,　２５°本格芋焼酎　伊七郎７２０ｍｌ,91,55929,45,0,11,zz1,,,122887000::0:1006
oracle_no_shelf,lot,122895,　２５°本格芋焼酎　伊七郎　１．８Ｌ,91,55980,17,0,11,zz1,,,122895000::0:1006
oracle_no_shelf,lot,122898,×２５°長期調和熟成麦焼酎　千年華７２０ｍｌ,91,56038,9,0,11,zz1,,,122898000::0:1006
oracle_no_shelf,lot,122957,　２５°橙華１．８Ｌ（芋）,91,56132,4,0,11,zz1,,,122957000::0:1021
oracle_no_shelf,lot,123013,×２５°黒丸１．８Ｌ（芋）,91,56166,3,0,11,zz1,,,123013000::0:1021
oracle_no_shelf,lot,155030,　ロジャーグラート　カヴァ　ドゥミセック　７５０ｍｌ,91,56110,5,0,11,zz1,,,155030000::0:1004
oracle_no_shelf,lot,155083,　ニコラ　フィアット　パルムドール　ブリュット　７５０ｍｌ,91,56133,4,0,11,zz1,,,155083000::0:1048
oracle_no_shelf,lot,155110,　マルティーニ　アスティ　７５０ｍｌ,91,56026,10,0,11,zz1,,,155110000::0:1202
oracle_no_shelf,lot,155142,　ペリエジュエ　ベルエポック　ブランドブラン　７５０ｍｌ,91,56167,3,0,11,zz1,,,155142000::0:1021
oracle_no_shelf,lot,155166,　サントリー　ポンパドール　ライチ　７５０ｍｌ,91,55981,17,0,11,zz1,,,155166000::0:1021
oracle_no_shelf,lot,155187,　エンジェルシャンパン　ブリュットロゼ　ホワイト　,91,56168,3,0,11,zz1,,,155187000::0:1871
oracle_no_shelf,lot,155209,　バーロワイヤル　グリーンアップル　７５０ｍｌ,91,56252,1,0,11,zz1,,,155209000::0:1782
oracle_no_shelf,lot,155253,　ラシャス　ポワレフレッシュ　７５０ｍｌ,91,55963,21,0,11,zz1,,,155253000::0:1330
oracle_no_shelf,lot,155254,　ローランペリエ　グランシエクル　７５０ｍｌ,91,56169,3,0,11,zz1,,,155254000::0:1313
oracle_no_shelf,lot,155271,　サントリーポンパドール　マスカット３７５ｍｌ,91,56039,9,0,11,zz1,,,155271000::0:1021
oracle_no_shelf,lot,471010,　一本義　７２０ｍｌ　共通カートン１枚,91,55911,645,0,11,zz1,,,471010000::0:1202
oracle_no_shelf,lot,471012,　越の鷹　７２０ｍｌ　共通カートン１枚,91,55999,12,0,327,Z00,,,471012000::0:1181
oracle_no_shelf,lot,471014,　永平寺白龍　７２０ｍｌ共通カートン１枚,91,55912,454,0,11,zz1,,,471014000::0:1263
oracle_no_shelf,lot,471015,　永平寺白龍　１．８Ｌ　１本　共通カートン１枚,91,55936,40,0,327,Z00,,,471015000::0:1263
oracle_no_shelf,lot,471017,　福千歳　７２０ｍｌ　共通カートン１枚,91,55933,42,0,11,zz1,,,471017000::0:1512
oracle_no_shelf,lot,471028,　梵　７２０ｍｌ　共通カートン１枚,91,55913,334,0,11,zz1,,,471028000::0:1514
oracle_no_shelf,lot,471042,　真名鶴　７２０ｍｌ共通カートン１枚,91,55941,36,0,11,zz1,,,471042000::0:1679
oracle_no_shelf,lot,471046,　黒龍　ギフトボックス７２０ｍｌ　１枚,91,55943,35,0,327,Z00,,,471046000::0:2018
oracle_no_shelf,lot,471099,　一本義一本用箱,91,55938,39,0,327,Z00,,,471099000::0:1202
oracle_no_shelf,lot,471100,　一本義二本用箱,91,55937,40,0,11,zz1,,,471100000::0:1202
oracle_no_shelf,lot,123261,×２５°西郷が里５Ｌ（芋）,91,56134,4,0,11,zz1,,,123261000::0:1428|123261900:::
oracle_no_shelf,lot,123342,　３０°ニコニコ太郎１．８Ｌ（泡盛）,91,56135,4,0,11,zz1,,,123342000::0:1330
oracle_no_shelf,lot,123390,　２５°田苑　金ラベル９００ｍｌ（麦）,91,56027,10,0,11,zz1,,,123390000::0:1202
oracle_no_shelf,lot,123429,　２５°黒丸　黒７２０ｍｌ（芋）,91,56000,12,0,11,zz1,,,123429000::0:1021
oracle_no_shelf,lot,123478,　２５°薩摩一７２０ｍｌ（芋）,91,55947,30,0,11,zz1,,,123478000::0:1202
oracle_no_shelf,lot,123485,　２５°白鶴　本格麦焼酎　千夜一酔７２０ｍｌ,91,56063,7,0,11,zz1,,,123485000::0:1021
oracle_no_shelf,lot,123486,　２５°女帝　麦１．８Ｌ,91,56083,6,0,327,Z00,,,123486000::0:1021
oracle_no_shelf,lot,123488,×２５°金黒９００ｍｌ（芋）,91,55995,13,0,11,zz1,,,123488000::0:1021
oracle_no_shelf,lot,123569,　２５°いいちこ　深薫１．８Ｌ（麦）,91,55983,16,0,11,zz1,,,123569000::0:1330
oracle_no_shelf,lot,155343,×ヴーヴクリコ　ポンサルダン　ホワイトラベル　ドゥミセック７５０ｍｌ,91,56253,1,0,11,zz1,,,155343000::0:1202
oracle_no_shelf,lot,155346,　サントリー　ポンパドール　ストロベリー　７５０ｍｌ,91,56001,12,0,11,zz1,,,155346000::0:1021
oracle_no_shelf,lot,155348,×マム　グランコルドン　７５０ｍｌ,91,56136,4,0,11,zz1,,,155348000::0:1021
oracle_no_shelf,lot,155359,　パルムドール　ゴールドＥＤ　７５０ｍｌ,91,56207,2,0,11,zz1,,,155359000::0:1006
oracle_no_shelf,lot,155400,　ロータリ　タレン　ブリュット　ロゼ　７５０ｍｌ,91,56170,3,0,327,Z00,,,155400000::0:1138
oracle_no_shelf,lot,155406,　アンジュエール　白　７５０ｍｌ,91,55970,18,0,11,zz1,,,155406000::0:1006
oracle_no_shelf,lot,155408,　アルマンド　ブリニャック　ロゼ　７５０ｍｌ,91,56254,1,0,11,zz1,,,155408000::0:9012
oracle_no_shelf,lot,155411,　アンジュエール　ロゼ　７５０ｍｌ,91,55996,13,0,11,zz1,,,155411000::0:1006
oracle_no_shelf,lot,155434,　マム　グラン　コルドン　ロゼ７５０ｍｌ,91,56028,10,0,11,zz1,,,155434000::0:1021
