status,message,direction,mode,real_stock_id,warehouse_id,warehouse_code,item_id,item_code,item_name,real_current,real_reserved,real_available,pickable_available,delta,applied_qty,lot_ids,location_id,location_code,location_source
updated,,decrease,decrease,12639,4,4,221157,221157,　明宝　トンコ９０ｇ,34,0,34,38,-4,4,12639,,,
updated,,decrease,decrease,12697,4,4,249591,249591,　天狗　ピリカレー５５ｇ,21,0,21,25,-4,4,12697,,,
updated,,decrease,decrease,12709,4,4,249723,249723,　三河屋製菓　えび満月７５ｇ,14,0,14,18,-4,4,12709,,,
updated,,decrease,decrease,12716,4,4,249928,249928,　エイコウ商事　食塩無添加くるみ３００ｇ,1,0,1,5,-4,4,12716,,,
updated,,decrease,decrease,12720,4,4,251026,251026,　キリン　氷ゼロ　スパークリング　シチリア産レモン３５０ｍｌ,13,0,13,17,-4,4,12720,,,
updated,,decrease,decrease,12731,4,4,251095,251095,　コカ・コーラ　よわない檸檬堂　無糖レモンとシークワーサー３５０ｍｌ,7,0,7,11,-4,4,12731,,,
updated,,decrease,decrease,12738,4,4,251107,251107,　アサヒ　よわない贅沢　ぶどう３５０ｍｌ,30,0,30,34,-4,4,12738,,,
updated,,decrease,decrease,12785,7,7,121006,121006,　２５°鏡月４Ｌペット,4,0,4,8,-4,4,12785,,,
updated,,decrease,decrease,12924,7,7,181346,181346,　キリン　氷結　無糖グレフル＆ソルト３５０ｍｌ,13,0,13,17,-4,4,12924,,,
updated,,decrease,decrease,12927,7,7,181353,181353,　サントリー　ＴＨＥ　ＰＥＥＬ　レモン　ＡＬＣ．７％　３５０ｍｌ,48,0,48,52,-4,4,12927,,,
updated,,decrease,decrease,12931,7,7,181367,181367,　キリン　華よい　爽やかライチスパークリング３５０ｍｌ,38,0,38,42,-4,4,12931,,,
updated,,decrease,decrease,12949,7,7,181386,181386,　サッポロ　濃いめのレモンサワー　もっと濃いめ３５０ｍｌ,43,0,43,47,-4,4,12949,,,
updated,,decrease,decrease,12975,7,7,184099,184099,　タカラ　カンチューハイ　レモン　２５０ｍｌ,24,0,24,28,-4,4,12975,,,
updated,,decrease,decrease,13013,4,4,221405,221405,　プリマハム　あい鴨スモーク１７０ｇ,22,0,22,26,-4,4,13013,,,
updated,,decrease,decrease,13079,4,4,244623,244623,　北海道　名水珈琲ゼリー１１０ｇ,10,0,10,14,-4,4,13079,,,
updated,,decrease,decrease,13090,4,4,261160,261160,　ＱＢＢ　プレミアムベビーチーズ　ゴルゴンゾーラ入り９０ｇ,3,0,3,7,-4,4,13090,,,
updated,,decrease,decrease,13118,4,4,262165,262165,　高見澤　ペッパージャック１０ｇ,15,0,15,19,-4,4,13118,,,
updated,,decrease,decrease,13299,7,7,142908,142908,　アサヒ　新・スーパードライ　生ジョッキ缶３４０ｍｌ,194,0,194,198,-4,4,13299,,,
updated,,decrease,decrease,13315,7,7,143025,143025,◎アサヒ　スーパードライ５００ｍｌ,218,0,218,222,-4,4,13315,,,
