status,message,direction,mode,real_stock_id,warehouse_id,warehouse_code,item_id,item_code,item_name,real_current,real_reserved,real_available,pickable_available,delta,applied_qty,lot_ids,location_id,location_code,location_source
updated,,decrease,decrease,50033,21,21,224227,224227,　山栄食品　炙りいかジャーキー３７ｇ,16,0,16,18,-2,2,49608,,,
updated,,decrease,decrease,50035,21,21,224230,224230,　泉屋製菓　ナッツのお誘いＭＩＸ７袋,2,0,2,4,-2,2,49610,,,
updated,,decrease,decrease,50037,21,21,224259,224259,　小倉秋一商店　小えびの天ぷら　黒胡椒４８ｇ,6,0,6,8,-2,2,49612,,,
updated,,decrease,decrease,50038,21,21,224260,224260,　小倉秋一商店　いか天こんがり醤油味４３ｇ,2,0,2,4,-2,2,49613,,,
updated,,decrease,decrease,50044,21,21,224284,224284,　龍屋物産　カシューナッツ＆クラッカー５０ｇ,0,0,0,2,-2,2,49619,,,
updated,,decrease,decrease,50049,21,21,224293,224293,　泉屋製菓　揚げそら豆１００ｇ,7,0,7,9,-2,2,49624,,,
updated,,decrease,decrease,50050,21,21,224297,224297,　丸味食品　燻製ほたて貝ひも　辛口５３ｇ,6,0,6,8,-2,2,49625,,,
updated,,decrease,decrease,50055,21,21,224315,224315,　山栄食品　さくさくのり天　お好みソース味１０５ｇ,4,0,4,6,-2,2,49630,,,
updated,,decrease,decrease,50056,21,21,224316,224316,　小倉秋一商店　小えび天カレー風味４８ｇ,4,0,4,6,-2,2,49631,,,
updated,,decrease,decrease,50060,21,21,224337,224337,　丸味食品　ジャイアントコーン　うま辛味２３０ｇ,7,0,7,9,-2,2,49635,,,
updated,,decrease,decrease,50091,22,22,113200,113200,　北鹿すずらぎ　生貯蔵酒７２０ｍｌ,13,0,13,15,-2,2,49666,,,
updated,,decrease,decrease,50201,22,22,211485,211485,　キリン　零ＩＣＨＩ（ゼロイチ）３５０ｍｌ,25,0,25,27,-2,2,49776,,,
updated,,decrease,decrease,50208,22,22,211643,211643,　キリン　グリーンズフリー３５０ｍｌ,179,0,179,181,-2,2,49783,,,
updated,,decrease,decrease,50221,22,22,211756,211756,　コカ・コーラ　よわない檸檬堂３５０ｍｌ　,6,0,6,8,-2,2,49796,,,
updated,,decrease,decrease,50222,22,22,211768,211768,　ポッカサッポロ　北海道富良野ホップ炭酸水５００ｍｌ,51,0,51,53,-2,2,49797,,,
updated,,decrease,decrease,50344,91,91,122297,122297,　２５°残波（泡盛）７２０ｍｌ,14,0,14,16,-2,2,49917,,,
created,,increase,create,50408,91,91,153656,153656,　レゾルムドカンブラス　カベルネ　７５０ｍｌ,2,0,2,0,2,2,56394,11,ZZ-1,item_default_location
created,,increase,create,50437,91,91,183018,183018,　永昌源　陳年紹興貴酒　５年　３７５ｍｌ,2,0,2,0,2,2,56395,999,E-08-308,item_default_location
updated,,decrease,decrease,50570,7,7,287281,287281,　稲葉ピーナッツ　こだわりピスタチオ１１２ｇ（個包装）,12,0,12,14,-2,2,50125,,,
updated,,decrease,decrease,50647,7,7,287496,287496,　セコマ　山わさび塩ラーメン１個,20,0,20,22,-2,2,50202,,,
updated,,decrease,decrease,50649,7,7,287501,287501,　セコマ　北海道バタークッキー６０ｇ,14,0,14,16,-2,2,50204,,,
updated,,decrease,decrease,50659,8,8,122293,122293,　２５°銀座のすずめ琥珀７２０ｍｌ（樫樽貯蔵麦）,0,0,0,2,-2,2,50214,,,
updated,,decrease,decrease,50698,8,8,122446,122446,　２５°黒霧島（芋）９００ｍｌ,2,0,2,4,-2,2,50253,,,
updated,,decrease,decrease,50705,8,8,122470,122470,　２５°さつま白波（芋）９００ｍｌ瓶,1,0,1,3,-2,2,50260,,,
updated,,decrease,decrease,50727,8,8,122585,122585,　２５°赤霧島９００ｍｌ（芋）,7,0,7,9,-2,2,50282,,,
updated,,decrease,decrease,50757,8,8,152333,152333,　コノスル　ゲヴュルツトラミネール　７５０ｍｌ,1,0,1,3,-2,2,50312,,,
updated,,decrease,decrease,50779,8,8,184183,184183,　キリン　のどごし＜生＞２５０ｍｌ,94,0,94,96,-2,2,50334,,,
updated,,decrease,decrease,50793,8,8,184272,184272,　サントリー　ほろよい　白いサワー　３５０ｍｌ,61,0,61,63,-2,2,50348,,,
updated,,decrease,decrease,50794,8,8,184273,184273,×サントリー　ほろよい　はちみつレモン　３５０ｍｌ,10,0,10,12,-2,2,50349,,,
updated,,decrease,decrease,50802,8,8,184326,184326,　サントリー　ほろよい　グレープ　３５０ｍｌ,36,0,36,38,-2,2,50357,,,
updated,,decrease,decrease,50803,8,8,184335,184335,　サントリー　トリスハイボール　缶３５０ｍｌ,137,0,137,139,-2,2,50358,,,
updated,,decrease,decrease,50808,8,8,184401,184401,　キリン　氷結　シャルドネスパークリング　３５０ｍｌ,83,0,83,85,-2,2,50363,,,
updated,,decrease,decrease,50812,8,8,184416,184416,　アサヒ　贅沢搾り　グレープフルーツ３５０ｍｌ,25,0,25,27,-2,2,50367,,,
updated,,decrease,decrease,50871,8,8,231505,231505,　イチビキ　あわせだしめんつゆ１Ｌ,0,0,0,2,-2,2,50426,,,
