status,message,direction,mode,real_stock_id,warehouse_id,warehouse_code,item_id,item_code,item_name,real_current,real_reserved,real_available,pickable_available,delta,applied_qty,lot_ids,location_id,location_code,location_source
updated,,increase,update,33550,80,80,159133,159133,　シャトー　トゥーレル　７５０ｍｌ,120,0,120,108,12,12,33385,1,ZZ-1-100,existing_initial_lot
updated,,decrease,decrease,32948,11,11,284923,284923,　宮田製菓本舗　ちょこ煎９０ｇ,0,0,0,10,-10,10,32783,,,
created,,increase,create,33676,91,91,157557,157557,　コートデュローヌルージュ　ルプティアンデソン　７５０ｍｌ,10,0,10,0,10,10,56130,11,ZZ-1,item_default_location
updated,,decrease,decrease,34363,9,9,181395,181395,　サントリー　－１９６　沖縄パイナップル３５０ｍｌ,22,0,22,32,-10,10,34189,,,
updated,,decrease,decrease,34592,10,10,210737,210737,　月桂冠スペシャルフリー　ノンアルコール瓶２４５ｍｌ,0,0,0,10,-10,10,34418,,,
updated,,decrease,decrease,31088,21,21,185706,185706,　キリン　氷結　無糖レモン　Ａｌｃ．９％　３５０ｍｌ,114,0,114,124,-10,10,30936,,,
updated,,decrease,decrease,31121,21,21,185972,185972,　キリン　麒麟特製　ジンジャーエールサワー３５０ｍｌ,108,0,108,118,-10,10,30969,,,
updated,,decrease,decrease,31230,21,21,284390,284390,　古泉商店　こわれせん　サラダせん２２０ｇ,40,0,40,50,-10,10,31078,,,
updated,,decrease,decrease,31233,21,21,284397,284397,　古泉商店　こわれせん　カレーソフト２２０ｇ,22,0,22,32,-10,10,31081,,,
updated,,increase,update,31670,91,91,211791,211791,　ＡＢインベブ　バドワイザー　ゼロ３５５ｍｌ,13,0,13,3,10,10,31508,2495,Q-00-000,existing_initial_lot
updated,,decrease,decrease,32280,9,9,242491,242491,　ニッスイ　ＳＡＮＭＡ　さんま煮付１５０ｇ,25,0,25,35,-10,10,32115,,,
updated,,decrease,decrease,32787,11,11,185347,185347,　オリオン　島チューＡｌｃ．７％　無糖シークヮーサー３５０ｍｌ,119,0,119,129,-10,10,32622,,,
created,,increase,create,23676,91,91,155110,155110,　マルティーニ　アスティ　７５０ｍｌ,10,0,10,0,10,10,56131,11,ZZ-1,item_default_location
updated,,decrease,decrease,11478,3,3,284388,284388,　古泉商店　こわれせん　曲がりソフト２２０ｇ,14,0,14,24,-10,10,11478,,,
updated,,decrease,decrease,11480,3,3,284391,284391,　古泉商店　こわれせん　にこやか２２０ｇ,0,0,0,10,-10,10,11480,,,
updated,,decrease,decrease,11569,4,4,142628,142628,　キリン　晴れ風５００ｍｌ,108,0,108,118,-10,10,11569,,,
updated,,decrease,decrease,11822,2,2,185923,185923,　キリン　氷結　九州産ゆず３５０ｍｌ,44,0,44,54,-10,10,11822,,,
updated,,decrease,decrease,12211,3,3,222845,222845,　リカーワールド華　函館朝市　いかくん５６ｇ,16,0,16,26,-10,10,12211,,,
updated,,decrease,decrease,12339,4,4,184299,184299,　キリン　本搾り　レモン　３５０ｍｌ,221,0,221,231,-10,10,12339,,,
