warehouse_code,item_code,item_name,old_shelf,new_shelf,status,reason,item_id,old_location_ids,old_location_names,old_location_code_paths,new_location_id,new_location_create,new_floor_id,real_stock_lots_updates,item_default_location_updates,active_document_reference_count
91,244062,　森永　フレッシュＣ３８％１Ｌ,Z-0-0,AY0000,planned,default_location_fallback,244062,327,デフォルト,Z-0-0,472,no,10,2,0,0
91,244095,　ナビスコ　チップスターＳ　うすしお,Z-0-0,YX0000,planned,default_location_fallback,244095,327,デフォルト,Z-0-0,2671,no,10,1,0,0
91,244147,　ナビスコ　チップスターＳ　コンソメ４５ｇ,Z-0-0,YX0000,planned,default_location_fallback,244147,327,デフォルト,Z-0-0,2671,no,10,1,0,0
91,244158,　ブルボンプチうす焼き３６ｇ,Z-0-0,Q00000,planned,default_location_fallback,244158,327,デフォルト,Z-0-0,2495,no,11,1,0,0
91,244187,　ブルボンプチチョコチップ６０ｇ,Z-0-0,I00000,planned,default_location_fallback,244187,327,デフォルト,Z-0-0,1810,no,11,1,0,0
91,244328,　ナビスコ　チップスターＳ　のりしお,Z-0-0,YX0000,planned,default_location_fallback,244328,327,デフォルト,Z-0-0,2671,no,10,1,0,0
91,244444,　朝日のり　酒屋さんが選んでくれました８０枚箱なし,Z-0-0,YX0000,planned,default_location_fallback,244444,327,デフォルト,Z-0-0,2671,no,10,1,0,0
91,244464,　天狗　横綱あられ１７５ｇ,Z-0-0,I16309,planned,default_location_fallback,244464,327,デフォルト,Z-0-0,,yes,11,1,0,0
91,247096,　明治　果汁グミ　ぶどう５４ｇ,Z-0-0,I00000,planned,default_location_fallback,247096,327,デフォルト,Z-0-0,1810,no,11,1,0,0
91,247264,　ロッテ　のど飴１１粒,Z-0-0,I00000,planned,default_location_fallback,247264,327,デフォルト,Z-0-0,1810,no,11,1,0,0
91,261137,　キャステロ　ダナブルー９１ｇ,Z-0-0,AY0000,planned,default_location_fallback,261137,327,デフォルト,Z-0-0,472,no,10,0,0,0
91,261194,　ジェラールセレクション　ブルーチーズ１２５ｇ,Z-0-0,AY0000,planned,default_location_fallback,261194,327,デフォルト,Z-0-0,472,no,10,0,0,0
91,261382,　森永　無塩バター　発酵４５０ｇ,Z-0-0,YB8000,planned,default_location_fallback,261382,327,デフォルト,Z-0-0,2668,no,10,2,0,0
91,262270,　月島　ラブール５００ｇ,Z-0-0,AY0000,planned,default_location_fallback,262270,327,デフォルト,Z-0-0,472,no,10,1,0,0
