status,message,direction,mode,real_stock_id,warehouse_id,warehouse_code,item_id,item_code,item_name,real_current,real_reserved,real_available,pickable_available,delta,applied_qty,lot_ids,location_id,location_code,location_source
created,,increase,create,35779,91,91,920000,920000,部システム９２０（お肉）,17536,0,17536,0,17536,17536,55908,11,ZZ-1,item_default_location
updated,,decrease,decrease,50457,91,91,184067,184067,　キリン　のどごし＜生＞　３５０ｍｌ,6782,50,6732,15934,-9202,9202,50014,,,
updated,,decrease,decrease,37402,91,91,143024,143024,◎アサヒ　スーパードライ３５０ｍｌ,32302,184,32118,40662,-8544,8544,37155,,,
updated,,decrease,decrease,37407,91,91,143059,143059,◎キリン　一番搾り３５０ｍｌ,6738,50,6688,14173,-7485,7485,37160,,,
updated,,decrease,decrease,35632,91,91,142543,142543,　サントリー　生ビール３５０ｍｌ,-1008,0,0,7008,-7008,7008,35452|51271,,,
updated,,decrease,decrease,38970,91,91,147017,147017,　キリン　本麒麟３５０ｍｌ,11310,0,11310,17208,-5898,5898,38705,,,
updated,,decrease,decrease,37411,91,91,143074,143074,◎サッポロ　黒ラベル　３５０ｍｌ,2130,26,2104,7371,-5267,5267,37164,,,
updated,,decrease,decrease,50465,91,91,184144,184144,　サントリー　金麦３５０ｍｌ,11583,24,11559,16344,-4785,4785,50022,,,
updated,,decrease,decrease,21736,91,91,184409,184409,　キリン　氷結ＺＥＲＯ　レモン　３５０ｍｌ,2953,1,2952,7464,-4512,4512,21712,,,
updated,,decrease,decrease,35633,91,91,142627,142627,　キリン　晴れ風３５０ｍｌ,408,24,384,4632,-4248,4248,35453,,,
updated,,decrease,decrease,40584,91,91,147213,147213,　キリン　のどごし　ＺＥＲＯ３５０ｍｌ,1872,0,1872,5808,-3936,3936,40294,,,
updated,,decrease,decrease,50458,91,91,184068,184068,　キリン　のどごし＜生＞　５００ｍｌ,480,0,480,4344,-3864,3864,50015|52347,,,
updated,,decrease,decrease,40580,91,91,147084,147084,　サントリー　金麦　糖質ｏｆｆ３５０ｍｌ,5564,0,5564,9384,-3820,3820,40290,,,
updated,,decrease,decrease,38958,91,91,145017,145017,　キリン　淡麗プラチナダブル３５０ｍｌ,16872,0,16872,20328,-3456,3456,38695,,,
updated,,decrease,decrease,40581,91,91,147124,147124,　サッポロ　麦とホップ３５０ｍｌ,118,0,118,2976,-2858,2858,40291,,,
updated,,decrease,decrease,21786,91,91,185021,185021,　アサヒ　Ｏｆｆ（オフ）３５０ｍｌ缶,3552,0,3552,6408,-2856,2856,21760,,,
updated,,decrease,decrease,38968,91,91,147003,147003,　キリン　麒麟淡麗グリーンラベル３５０ｍｌ,14760,0,14760,17424,-2664,2664,38703,,,
updated,,decrease,decrease,27563,91,91,210923,210923,　但馬の天然水５５０ｍｌ,32354,1324,31030,33510,-2480,2480,27429,,,
updated,,decrease,decrease,37394,91,91,143005,143005,◎キリンラガー３５０ｍｌ,3748,1,3747,6185,-2438,2438,37147,,,
updated,,decrease,decrease,40579,91,91,147081,147081,　キリン　本麒麟５００ｍｌ,-504,0,0,2184,-2184,2184,40289,,,
updated,,decrease,decrease,50478,91,91,184256,184256,　タカラ　焼酎ハイボール　ドライ３５０ｍｌ,1848,0,1848,3867,-2019,2019,50035,,,
updated,,decrease,decrease,21784,91,91,185012,185012,　アサヒ　クリアアサヒ　３５０ｍｌ,5940,50,5890,7894,-2004,2004,21758,,,
created,,increase,create,21799,91,91,400000,400000,"部システム ４００   分類打",1996,0,1996,0,1996,1996,55909,327,Z-0-0,z00_fallback
updated,,decrease,decrease,37403,91,91,143025,143025,◎アサヒ　スーパードライ５００ｍｌ,3012,72,2940,4932,-1992,1992,37156,,,
updated,,decrease,decrease,33625,91,91,141020,141020,◎アサヒ　スーパードライ　中瓶５００ｍｌ,8333,382,7951,9931,-1980,1980,33457,,,
updated,,decrease,decrease,29627,91,91,211351,211351,　ＩＢ　強炭酸水１Ｌ,2039,0,2039,3970,-1931,1931,29475,,,
updated,,decrease,decrease,50475,91,91,184233,184233,　タカラ　焼酎ハイボール　レモン３５０ｍｌ,964,0,964,2890,-1926,1926,50032,,,
updated,,decrease,decrease,23725,91,91,185524,185524,　キリン　氷結　無糖レモン　Ａｌｃ．４％　３５０ｍｌ,3007,73,2934,4790,-1856,1856,23668,,,
updated,,decrease,decrease,29606,91,91,211235,211235,　ＩＢ　強炭酸水５００ｍｌＰＥＴ,389,24,365,2165,-1800,1800,29454,,,
updated,,decrease,decrease,33624,91,91,141019,141019,◎アサヒ　スーパードライ　大瓶６３３ｍｌ,5785,383,5402,7149,-1747,1747,33456,,,
updated,,decrease,decrease,40586,91,91,147271,147271,　サントリー　金麦　ザ・ラガー３５０ｍｌ,3144,0,3144,4824,-1680,1680,40296,,,
updated,,decrease,decrease,35628,91,91,142368,142368,　キリン　一番搾り　糖質ゼロ３５０ｍｌ,2981,2,2979,4630,-1651,1651,35449,,,
updated,,decrease,decrease,37393,91,91,143004,143004,◎キリン麒麟淡麗＜生＞３５０ｍｌ,9816,1,9815,11399,-1584,1584,37146,,,
updated,,decrease,decrease,38942,91,91,143244,143244,　サントリー　プレミアムモルツ３５０ｍｌ,2048,1,2047,3551,-1504,1504,38680,,,
updated,,decrease,decrease,35629,91,91,142404,142404,　サントリー　パーフェクトサントリービール３５０ｍｌ,5424,0,5424,6864,-1440,1440,35450|51278,,,
updated,,decrease,decrease,38963,91,91,145060,145060,　アサヒ　スタイルフリー　トリプルゼロ３５０ｍｌ,5232,0,5232,6672,-1440,1440,38700,,,
updated,,decrease,decrease,50466,91,91,184145,184145,　サントリー　金麦５００ｍｌ,1863,1,1862,3263,-1401,1401,50023,,,
updated,,decrease,decrease,37386,91,91,142859,142859,　キリン　グッドエール３５０ｍｌ,1584,0,1584,2952,-1368,1368,37141|51032,,,
updated,,decrease,decrease,40578,91,91,147043,147043,　アサヒ　スタイルフリー３５０ｍｌ,6912,1,6911,8255,-1344,1344,40288,,,
updated,,decrease,decrease,23723,91,91,185522,185522,　キリン　氷結　無糖レモン　Ａｌｃ．７％　３５０ｍｌ,3288,13,3275,4547,-1272,1272,23666,,,
updated,,decrease,decrease,37389,91,91,142908,142908,　アサヒ　新・スーパードライ　生ジョッキ缶３４０ｍｌ,3192,0,3192,4320,-1128,1128,37144,,,
updated,,decrease,decrease,38959,91,91,145018,145018,　キリン　淡麗プラチナダブル５００ｍｌ,4464,0,4464,5568,-1104,1104,38696,,,
created,,increase,create,23792,91,91,470000,470000,　部システム４７０（化粧箱）,1048,0,1048,0,1048,1048,55910,327,Z-0-0,z00_fallback
updated,,decrease,decrease,37395,91,91,143007,143007,◎キリン麒麟淡麗＜生＞５００ｍｌ,3090,2,3088,4102,-1014,1014,37148,,,
updated,,decrease,decrease,40585,91,91,147253,147253,　サッポロ　ＧＯＬＤ　ＳＴＡＲ　ゴールドスター３５０ｍｌ,4944,0,4944,5904,-960,960,40295,,,
updated,,decrease,decrease,38969,91,91,147004,147004,　キリン　麒麟淡麗グリーンラベル５００ｍｌ,3840,0,3840,4728,-888,888,38704,,,
updated,,decrease,decrease,38956,91,91,145014,145014,　サッポロ　極ＺＥＲＯ３５０ｍｌ,2928,0,2928,3720,-792,792,38693,,,
updated,,increase,update,48189,91,91,121183,121183,　３５°ホワイトリカー　果実酒用１．８Ｌ　紙パック,780,0,780,12,768,768,47782,360,AD-1-99H,existing_initial_lot
updated,,decrease,decrease,37413,91,91,143085,143085,　サッポロ　エビス３５０ｍｌ,1086,0,1086,1824,-738,738,37166,,,
updated,,decrease,decrease,21765,91,91,184658,184658,　キリン　氷結　レモン３５０ｍｌ,3756,61,3695,4377,-682,682,21739,,,
