status,message,direction,mode,real_stock_id,warehouse_id,warehouse_code,item_id,item_code,item_name,real_current,real_reserved,real_available,pickable_available,delta,applied_qty,lot_ids,location_id,location_code,location_source
updated,,decrease,decrease,50795,8,8,184274,184274,　キリン　本搾り　ピンクグレープフルーツ５００ｍｌ,9,0,9,12,-3,3,50350,,,
updated,,decrease,decrease,50805,8,8,184346,184346,　タカラ　焼酎ハイボール　ライム３５０ｍｌ,106,0,106,109,-3,3,50360,,,
updated,,decrease,decrease,50811,8,8,184410,184410,　サントリー　トリスハイボール　濃いめ３５０ｍｌ,35,0,35,38,-3,3,50366,,,
updated,,decrease,decrease,50905,8,8,286719,286719,　ＰＩＺＺＡＲＥＶＯ　生地を喰らう！！マルゲリータ１枚,4,0,4,7,-3,3,50460,,,
updated,,decrease,decrease,50928,8,8,286851,286851,　わらく堂　わた雪みたいなレアチーズ７０ｇ,9,0,9,12,-3,3,50483,,,
updated,,decrease,decrease,50932,8,8,287040,287040,　日興フーズ　イチジク習慣１５０ｇ,7,0,7,10,-3,3,50487,,,
updated,,decrease,decrease,51040,9,9,119619,119619,　越の鷹　農業好きが集まる社から生まれた純米酒７２０ｍｌ,17,0,17,20,-3,3,50595,,,
updated,,decrease,decrease,51289,10,10,184077,184077,　サントリー　ＴＨＥ　ＰＥＥＬ　レモン　ＡＬＣ．５％　３５０ｍｌ,87,0,87,90,-3,3,50844,,,
updated,,decrease,decrease,51303,10,10,184185,184185,　ニッカ　ブラックニッカ　クリアハイボール３５０ｍｌ,50,0,50,53,-3,3,50858,,,
updated,,decrease,decrease,51306,10,10,184230,184230,　タカラ　焼酎ハイボール　ドライ　５００ｍｌ,85,0,85,88,-3,3,50861,,,
updated,,decrease,decrease,51317,10,10,221737,221737,　オーストリア産　パンチェッタ　スライス５０ｇ,4,0,4,7,-3,3,50872,,,
updated,,decrease,decrease,51318,10,10,221742,221742,　フランス＆スペイン産　アンティパストセレクション１００ｇ,2,0,2,5,-3,3,50873,,,
updated,,decrease,decrease,51328,10,10,222004,222004,　タクマ食品　月の小石チョコレート８０ｇバンドル,5,0,5,8,-3,3,50883,,,
updated,,decrease,decrease,51329,10,10,222009,222009,　華無塩素焼ミックスナッツ１６０ｇ,1,0,1,4,-3,3,50884,,,
updated,,decrease,decrease,46569,8,8,181334,181334,　いいちこスペシャル　ハイボール缶３５０ｍｌ,7,0,7,10,-3,3,46163,,,
updated,,decrease,decrease,46574,8,8,181353,181353,　サントリー　ＴＨＥ　ＰＥＥＬ　レモン　ＡＬＣ．７％　３５０ｍｌ,133,0,133,136,-3,3,46168,,,
updated,,decrease,decrease,46579,8,8,181368,181368,　キリン　華よい　白桃スパークリング３５０ｍｌ,68,0,68,71,-3,3,46173,,,
updated,,decrease,decrease,46581,8,8,181370,181370,　キリン　氷結　マスクメロン５００ｍｌ,11,0,11,14,-3,3,46175,,,
updated,,decrease,decrease,46600,8,8,222938,222938,　秋田オリオン　削り牛タン４０ｇ,7,0,7,10,-3,3,46194,,,
updated,,decrease,decrease,46602,8,8,222947,222947,　久慈食品　三元豚ポークジャーキー１００ｇ,16,0,16,19,-3,3,46196,,,
