item_id,item_code,item_name,real_stock_id,parent_current,parent_available,default_id,default_location_id,default_shelf,oracle_status,oracle_shelf
157835,157835,　フェルナンドラロッシュ　ボージョレヌーヴォー　ＰＥＴ　７５０ｍｌ,,,,,,,single,YBN000
157990,157990,　カゼマッテ　ネロダーヴォラ　７５０ｍｌ,,,,,,,single,I07418
158600,158600,　マリーシェルメット　ボージョレヌーヴォー　グリオット　３７５ｍｌ,,,,,,,single,YBN000
158603,158603,　ラブレロワ　ボージョレ　ヌーヴォー　７５０ｍｌ,,,,,,,single,YBN000
159041,159041,　シャトー　レ　モワンヌ　’０６　７５０ｍｌ,,,,,,,single,D01106
159113,159113,　レザレ　ド　セノザン　シャルドネ　７５０ｍｌ,,,,,,,single,I09213
159126,159126,　フルール　ド　クルティヤック　７５０ｍｌ,,,,,,,single,I03103
171169,171169,　中野ＢＣ　パインアメサワーの素６００ｍｌ,,,,,,,single,G03302
171275,171275,　ニッカ　ザ　バーテンダージントニック　１．８Ｌ,,,,,,,single,H04202
171453,171453,　合同　トーキョーハイボールの素　しそ梅風味７２０ｍｌ,,,,,,,single,H06402
171516,171516,　明利　梅酒　うめ物語　５００ｍｌ,,,,,,,single,H05307
171687,171687,　北岡本店　ヨーグルト　北の牧場から　１．８Ｌ,52105,0,0,,,,single,I08108
171723,171723,　国盛ざくろのお酒　梅酒仕立てパック１Ｌ,,,,,,,single,G03218
171810,171810,　キリン樽詰レモンハイ１５Ｌ,,,,,,,single,AG30TL
173002,173002,　東酒造　黒酒　金ラベル　ペット１．８Ｌ（灰持酒）,52629,0,0,,,,single,H06110
184020,184020,×宝　カンチューハイＤＸ　たっぷりリンゴ　２５０,,,,,,,single,K05102
184059,184059,×アサヒカクテルＰ　マンゴーマイタイ３５０ｍｌ,,,,,,,single,K06204
184071,184071,　アサヒ　カクテルＰ　メロンバニラ３５０ｍｌ,,,,,,,single,M05201
184148,184148,　サントリー　－１９６無糖　クリア７％　３５０ｍｌ,,,,,,,single,K07201
184157,184157,×宝　カンチューハイＤＸ　たっぷりＧＦ　２５０ｍｌ,,,,,,,single,K08103
184228,184228,×サントリー　カロリ　地中海レモン　３５０ｍｌ,,,,,,,single,M05101
184238,184238,×サントリー　カロリ　白桃　３５０ｍｌ,,,,,,,single,M05103
184258,184258,　ハイリキ　レモン３５０ｍｌ缶,52506,0,0,,,,single,G02214
184261,184261,　サントリー　チューハイ烏龍割　３３５ｍｌ,,,,,,,single,M02208
184270,184270,×キリン　氷結　ゆずレモン３５０ｍｌ,,,,,,,single,M07101
184296,184296,×スミノフアイスドライ２７５ｍｌ,,,,,,,single,M01311
184305,184305,×アサヒ　カクテルＰ　カシスオレンジ　３５０ｍｌ,,,,,,,single,M03403
184392,184392,　アサヒ　カルピスサワー　３５０ｍｌ,,,,,,,single,G01103
184461,184461,×スミノフアイス　ライムスプラッシュ２７５ｍｌ,,,,,,,single,K09106
184544,184544,　サントリー　ソウルマッコリ　３５０ｍｌ,,,,,,,single,G02213
184557,184557,×宝スッキリ果実のお酒　巨峰２５０ｍｌ,,,,,,,single,M05108
184558,184558,×宝　スッキリ果実のお酒　ライチ２５０ｍｌ,,,,,,,single,M01105
184577,184577,×サントリー　カロリ　マンゴー　３５０ｍｌ,,,,,,,single,AY1000
184584,184584,×キリン　ワインスプリッツァ　白　３５０ｍｌ,,,,,,,single,C10409
184628,184628,×キリン　ワインスプリッツァ　ロゼ　３５０ｍｌ,,,,,,,single,C11104
184653,184653,×白鶴ぷるぷる柚子酒スパークリングゼリー１９０ｍｌ,,,,,,,single,M01408
184695,184695,×アサヒ　カクテルＰ　ジントニック　３５０ｍｌ,,,,,,,single,M05202
184696,184696,×アサヒ　カクテルＰ　スクリューＤ　３５０ｍｌ,,,,,,,single,M05203
184697,184697,×アサヒ　カクテルＰ　ソルティドッグ　３５０ｍｌ,,,,,,,single,M05206
184712,184712,×キリン氷結　レモン　２５０ｍｌ,,,,,,,single,M08109
184754,184754,×スカイブルー　２７５ｍｌ,,,,,,,single,B14102
184771,184771,×アサヒ　カクテルＰ　ピーチ＆オレンジ　３５０ｍｌ,,,,,,,single,K06205
185399,185399,×キリン　氷結ストロング　サワーレモン３５０ｍｌ,,,,,,,single,M08308
210004,210004,×キリンボルヴィック５００ｍｌ,,,,,,,single,H03206
210006,210006,　ブルボンイオンウォーター５００ｍｌ,,,,,,,single,M07105
210044,210044,×キリンアルカリイオンの水２Ｌペット,,,,,,,single,AA0050
210060,210060,×サントリー草原物語ミルク１９０ｇ,,,,,,,single,N01105
210091,210091,　サンペレグリノ２５０ｍｌ,,,,,,,single,M06305
210175,210175,×オーシャンスプレークランベリー９００ｍｌペット,,,,,,,single,R02207
210300,210300,×サントリー　天然水　自販機用５５０ｍｌ,,,,,,,single,F07000
210747,210747,　キリン　カラダＦＲＥＥ３５０ｍｌ,,,,,,,single,M08312
210861,210861,　中村商店　キャプテン　カシス６００ｍｌ,,,,,,,single,G03313
211001,211001,×キリンレモン２００ｍｌ瓶,,,,,,,single,B08102
211015,211015,×コカコーラ１．５Ｌペット,,,,,,,single,K07104
211018,211018,×コカコーラ　ファンタ　グレープ１．５Ｌペット,,,,,,,single,K07303
211057,211057,　ハタ鉱泉よいこの泡びぃー３３０ｍｌ,,,,,,,single,C11102
211118,211118,×ファンタ　グレープ瓶２００ｍｌ,,,,,,,single,C10101
211151,211151,　サントリーＣＣレモン　リフレッシュゼロ５００ｍｌ,,,,,,,single,C09205
211174,211174,　アサヒ　十六茶６６０ｍｌペット,,,,,,,single,D09205
211178,211178,×キリン　メッツ　ｆｏｒ　ＰＲＯ　ソーダ２００ｍｌ６缶,,,,,,,single,D11203
211196,211196,　カクテスプレーンソーダ１．５Ｌペット,,,,,,,single,M08215
211249,211249,×キリン　フリー３５０ｍｌ缶,,,,,,,single,K06101
211250,211250,×キリン　フリー３３４ｍｌ瓶,,,,,,,single,AC0001
211254,211254,×コカコーラ２８０ｍｌ缶,,,,,,,single,K06104
211255,211255,×コカコーラ　ゼロ２８０ｍｌ缶,,,,,,,single,M01105
211307,211307,×コカコーラ　カナダドライ　ジンジャーエール１．５Ｌ,,,,,,,single,H03106
211350,211350,　アップルタイザー　瓶２７５ｍｌ,,,,,,,single,F07102
