item_id,item_code,item_name,real_stock_id,parent_current,parent_available,default_id,default_location_id,default_shelf,oracle_status,oracle_shelf,location_id,location_floor_id
111397,111397,×松竹梅　澪ブリュット　辛口スパークリング３００ｍｌ,,,,,,,single,M02305,2871,10
112025,112025,×花垣上撰　本醸造１．８Ｌ,,,,,,,single,C07202,2872,11
112150,112150,◎華明り生吟３００ｍｌ,,,,,,,single,AW1111,2873,10
112246,112246,　真名鶴晩夏初秋ひやおろし７２０ｍｌ,,,,,,,single,Y00000,2874,10
112381,112381,　梵　初雪　しぼりたて生原酒　山田錦７２０ｍｌ（純米大吟醸）　※卸不可,,,,,,,single,AWA000,2875,10
112424,112424,×一本義搾りたて生原酒（初搾り）１．８Ｌ（営業専用）,,,,,,,single,Y00000,2874,10
112467,112467,×リカーワールド華賈龍（こりゅう）１．８Ｌ,,,,,,,single,D13103,2876,10
112888,112888,　黒龍　大吟醸７２０ｍｌ,51609,-42,-42,,,,single,I08111,2877,11
112970,112970,　福千歳　山廃純米ひやおろし生詰７２０ｍｌ,,,,,,,single,Y00000,2874,10
113017,113017,　天狗舞　舞１．８Ｌ,,,,,,,single,W06410,2878,11
113755,113755,◎加藤酒造杜氏特醸　新潟一１．８Ｌ,51720,0,0,,,,single,H07103,2879,11
114063,114063,　日本盛　晩酌　辛口２Ｌ,,,,,,,single,M01305,2880,10
114117,114117,　黄桜辛口一献パック３Ｌ,,,,,,,single,K04205,2881,10
114171,114171,　月桂冠　定番酒　月（つき）３Ｌ,,,,,,,single,Z01207,2882,11
115010,115010,　一乃谷名水酒蔵パック１．８Ｌ,,,,,,,single,J07201,2883,10
115011,115011,×一本義上撰　パック１．８Ｌ,,,,,,,single,K05303,2884,10
116007,116007,×都鶴　伏見正宗２Ｌ,,,,,,,single,D12202,2885,10
116097,116097,　越後厳冬酒越冬寒梅２Ｌ,,,,,,,single,B15204,2886,11
118426,118426,　常きげん純米ひやおろし７２０ｍｌ,,,,,,,single,Y00000,2874,10
118861,118861,　十代目純米原酒　ひやおろし７２０ｍｌ,,,,,,,single,Y00000,2874,10
121004,121004,　２０°鏡月４Ｌペット,,,,,,,single,C06202,2887,11
122044,122044,◎２５°奴国の鬼ころし（麦）５Ｌ,,,,,,,single,D06103,2888,11
122089,122089,◎２５°伝説（麦）１．８Ｌ,,,,,,,single,K03211,2889,10
122707,122707,　２５°スパイス焼酎　カルダモンＴＡＫＥ７　７００ｍｌ,,,,,,,single,F01109,2890,11
122738,122738,×２０°甕雫　「極」１．８Ｌ（芋）,,,,,,,single,B06304,2891,11
122950,122950,×２５°本格麦焼酎　はなやか１．８Ｌ,,,,,,,single,D17101,2892,10
122992,122992,×２５°本格麦焼酎　はなやか７２０ｍｌ,,,,,,,single,P11203,2893,11
123203,123203,　２５°やんや２．７Ｌ（麦）,,,,,,,single,G05201,2894,11
123205,123205,　２５°とうと２．７Ｌ（芋）,,,,,,,single,G05206,2895,11
123413,123413,　２５°勇者７２０ｍｌ（麦）,51950,0,0,,,,single,E09202,2896,11
123636,123636,　９°一刻者ハイボール壜２８０ｍｌ,,,,,,,single,K07306,2897,10
123770,123770,　２５°吟酒炙麦（ぎんしゅせきばく）１．８Ｌ（麦）,,,,,,,single,B14305,2898,11
131027,131027,×キリン　富士山麓　樽熟　５０°　６００ｍｌ,,,,,,,single,J02108,2899,11
131099,131099,　サントリー　山崎１０年　７００ｍｌ,,,,,,,single,J06311,2900,10
131105,131105,　サントリー　大レッド　４Ｌ,,,,,,,single,K09105,2901,10
131210,131210,×サントリー　角瓶ジャンボ　１．９２Ｌ,,,,,,,single,N02109,2902,10
131211,131211,×サントリー　白角　７００ｍｌ,,,,,,,single,J06409,2903,10
