item_id,item_code,item_name,real_stock_id,parent_current,parent_available,default_id,default_location_id,default_shelf,oracle_status,oracle_shelf,location_id,location_floor_id
111397,111397,×松竹梅　澪ブリュット　辛口スパークリング３００ｍｌ,,,,,,,single,M02305,2942,10
112025,112025,×花垣上撰　本醸造１．８Ｌ,,,,,,,single,C07202,2943,11
112150,112150,◎華明り生吟３００ｍｌ,,,,,,,single,AW1111,2944,10
112246,112246,　真名鶴晩夏初秋ひやおろし７２０ｍｌ,,,,,,,single,Y00000,2945,10
112381,112381,　梵　初雪　しぼりたて生原酒　山田錦７２０ｍｌ（純米大吟醸）　※卸不可,,,,,,,single,AWA000,2946,10
112424,112424,×一本義搾りたて生原酒（初搾り）１．８Ｌ（営業専用）,,,,,,,single,Y00000,2945,10
112467,112467,×リカーワールド華賈龍（こりゅう）１．８Ｌ,,,,,,,single,D13103,2947,10
112888,112888,　黒龍　大吟醸７２０ｍｌ,51609,-42,-42,,,,single,I08111,2948,11
112970,112970,　福千歳　山廃純米ひやおろし生詰７２０ｍｌ,,,,,,,single,Y00000,2945,10
113017,113017,　天狗舞　舞１．８Ｌ,,,,,,,single,W06410,2949,11
113755,113755,◎加藤酒造杜氏特醸　新潟一１．８Ｌ,51720,0,0,,,,single,H07103,2950,11
114063,114063,　日本盛　晩酌　辛口２Ｌ,,,,,,,single,M01305,2951,10
114117,114117,　黄桜辛口一献パック３Ｌ,,,,,,,single,K04205,2952,10
114171,114171,　月桂冠　定番酒　月（つき）３Ｌ,,,,,,,single,Z01207,2953,11
115010,115010,　一乃谷名水酒蔵パック１．８Ｌ,,,,,,,single,J07201,2954,10
115011,115011,×一本義上撰　パック１．８Ｌ,,,,,,,single,K05303,2955,10
116007,116007,×都鶴　伏見正宗２Ｌ,,,,,,,single,D12202,2956,10
116097,116097,　越後厳冬酒越冬寒梅２Ｌ,,,,,,,single,B15204,2957,11
118426,118426,　常きげん純米ひやおろし７２０ｍｌ,,,,,,,single,Y00000,2945,10
118861,118861,　十代目純米原酒　ひやおろし７２０ｍｌ,,,,,,,single,Y00000,2945,10
121004,121004,　２０°鏡月４Ｌペット,,,,,,,single,C06202,2958,11
122044,122044,◎２５°奴国の鬼ころし（麦）５Ｌ,,,,,,,single,D06103,2959,11
122089,122089,◎２５°伝説（麦）１．８Ｌ,,,,,,,single,K03211,2960,10
122707,122707,　２５°スパイス焼酎　カルダモンＴＡＫＥ７　７００ｍｌ,,,,,,,single,F01109,2961,11
122738,122738,×２０°甕雫　「極」１．８Ｌ（芋）,,,,,,,single,B06304,2962,11
122950,122950,×２５°本格麦焼酎　はなやか１．８Ｌ,,,,,,,single,D17101,2963,10
122992,122992,×２５°本格麦焼酎　はなやか７２０ｍｌ,,,,,,,single,P11203,2964,11
123203,123203,　２５°やんや２．７Ｌ（麦）,,,,,,,single,G05201,2965,11
123205,123205,　２５°とうと２．７Ｌ（芋）,,,,,,,single,G05206,2966,11
123413,123413,　２５°勇者７２０ｍｌ（麦）,51950,0,0,,,,single,E09202,2967,11
123636,123636,　９°一刻者ハイボール壜２８０ｍｌ,,,,,,,single,K07306,2968,10
123770,123770,　２５°吟酒炙麦（ぎんしゅせきばく）１．８Ｌ（麦）,,,,,,,single,B14305,2969,11
131027,131027,×キリン　富士山麓　樽熟　５０°　６００ｍｌ,,,,,,,single,J02108,2970,11
131099,131099,　サントリー　山崎１０年　７００ｍｌ,,,,,,,single,J06311,2971,10
131105,131105,　サントリー　大レッド　４Ｌ,,,,,,,single,K09105,2972,10
131210,131210,×サントリー　角瓶ジャンボ　１．９２Ｌ,,,,,,,single,N02109,2973,10
131211,131211,×サントリー　白角　７００ｍｌ,,,,,,,single,J06409,2974,10
131306,131306,×サントリー　角瓶　黒　４３°ジャンボ　１．９２Ｌ,,,,,,,single,J02110,2975,11
134008,134008,　ルイジャド　マールドブルゴーニュ　７００ｍｌ,,,,,,,single,E06402,2976,11
134089,134089,　カミュ　ボルドリ　ＸＯ　７００ｍｌ,,,,,,,single,H06313,2977,11
141001,141001,　キリン　秋味　中瓶５００ｍｌ,,,,,,,single,AA0010,2978,10
141032,141032,×キリン　一番搾り　黒生　小瓶３３４ｍｌ,,,,,,,single,D05202,2979,11
141034,141034,　キリン　秋味　大瓶６３３ｍｌ,,,,,,,single,AA0010,2978,10
141047,141047,　キリン麒麟淡麗＜生＞　大瓶６３３ｍｌ,,,,,,,single,AA0003,2980,10
141089,141089,×アサヒスーパードライ　ドライプレミアム中瓶５００ｍｌ,,,,,,,single,AA0006,2981,10
141248,141248,×アサヒ　スーパードライ　ザ・クール　小瓶３３４ｍｌ,,,,,,,single,B01103,2982,11
142001,142001,×アサヒスーパードライ　ドライプレミアム３５０ｍｌ,,,,,,,single,AD0000,2983,10
142011,142011,×アサヒスーパードライ　ドライプレミアム５００ｍｌ,,,,,,,single,AE0000,2984,10
142029,142029,×粋生プレミアムＢＥＥＲ３５０ｍｌ,,,,,,,single,AD0000,2983,10
142032,142032,×ギネスドラフト　サージャー用缶３５０ｍｌ,,,,,,,single,K08205,2985,10
142044,142044,　シメイレッドラベル３３０ｍｌ,,,,,,,single,W06309,2986,11
142047,142047,×アサヒ　スーパードライブラック３５０ｍｌ,,,,,,,single,K08306,2987,10
142221,142221,　アサヒ　スーパードライ　瞬冷辛口３５０ｍｌ,,,,,,,single,M07103,2988,10
143013,143013,　サッポロ　エビス２５０ｍｌ,,,,,,,single,K07202,2989,10
143131,143131,　サントリーザ・モルツ５００ｍｌ,,,,,,,single,K08203,2990,10
143178,143178,　キリンクラシックラガー３５０ｍｌ,,,,,,,single,AD0000,2983,10
143180,143180,　キリンクラシックラガー５００ｍｌ,,,,,,,single,AE0000,2984,10
143217,143217,　アサヒ　生ビール　黒生　生樽１０Ｌ,,,,,,,single,AG30KN,2991,10
145002,145002,　サッポロエビス＜黒＞１０Ｌ樽,52294,0,0,,,,single,AG30EK,2992,10
147013,147013,×キリン淡麗Ｗ（ダブル）３５０ｍｌ缶,,,,,,,single,AD0000,2983,10
147015,147015,　キリン淡麗Ｗ（ダブル）５００ｍｌ缶,,,,,,,single,AE0000,2984,10
147023,147023,×ＩＢＪ粋生ゴールドラベル３３０ｍｌ,,,,,,,single,AD0000,2983,10
147030,147030,×アサヒ本生ドラフト３５０ｍｌ,,,,,,,single,K08101,2993,10
147031,147031,×ＩＢＪ粋生ゴールデングリーン３３０ｍｌ,,,,,,,single,AD0000,2983,10
147033,147033,　アサヒ本生アクアブルー３５０ｍｌ,,,,,,,single,K06301,2994,10
147045,147045,　サントリー　ジョッキ生　３５０ｍｌ,,,,,,,single,AD0000,2983,10
147047,147047,　サッポロ北海道生搾りみがき麦３５０ｍｌ,52632,0,0,,,,single,K05202,2995,10
147049,147049,×キリン　濃い味　糖質ゼロ　３５０ｍｌ,,,,,,,single,AD0000,2983,10
147050,147050,　キリンゼロ３５０ｍｌ,,,,,,,single,K08309,2996,10
147054,147054,　旬麦の輝き３５０ｍｌ,,,,,,,single,AC0011,2997,10
147056,147056,×キリン　濃い味　糖質ゼロ　５００ｍｌ,,,,,,,single,AE0000,2984,10
147063,147063,×アサヒ　一番麦　３５０ｍｌ,,,,,,,single,K08304,2998,10
147071,147071,　サントリー　金麦　クリアラベル３５０ｍｌ,,,,,,,single,AD0000,2983,10
147072,147072,　アサヒブルーラベル　５００ｍｌ,,,,,,,single,C11405,2999,10
147082,147082,　サントリー　金麦　クリアラベル５００ｍｌ,,,,,,,single,AE0000,2984,10
147083,147083,　ＩＢＪ粋生プレミアム５００ｍｌ,,,,,,,single,AE0000,2984,10
147086,147086,　旬の麦３３０ｍｌ,,,,,,,single,A00000,3000,10
147094,147094,×キリン　濃い味　デラックス３５０ｍｌ,,,,,,,single,AD0000,2983,10
147095,147095,×キリン　濃い味　デラックス５００ｍｌ,,,,,,,single,AE0000,2984,10
147097,147097,　アサヒ　クリアアサヒ　プライムリッチ３５０ｍｌ,,,,,,,single,AD0000,2983,10
147099,147099,　サントリーグランドライ３５０ｍｌ缶,,,,,,,single,A00000,3000,10
147105,147105,×キリン　澄みきり３５０ｍｌ,,,,,,,single,AD0000,2983,10
147106,147106,×キリン　澄みきり５００ｍｌ,,,,,,,single,AE0000,2984,10
149033,149033,　３３３（バーバーバー）　瓶３５５ｍｌ,,,,,,,single,W06114,3001,11
184174,184174,　ＩＢＪ粋生プレミアム３５０ｍｌ,,,,,,,single,AD0000,2983,10
184183,184183,　キリン　のどごし＜生＞２５０ｍｌ,,,,,,,single,K07201,3002,10
184499,184499,　ＩＢＪ粋生プレミアム　グリーン３５０ｍｌ,,,,,,,single,AD0000,2983,10
184767,184767,×サッポロドラフトワン３５０ｍｌ,,,,,,,single,K08308,3003,10
185014,185014,×サッポロ麦とホップ３５０ｍｌ,,,,,,,single,K08307,3004,10
185015,185015,×サッポロ麦とホップ５００ｍｌ,,,,,,,single,M01101,3005,10
185029,185029,　キリンコクの時間　３５０ｍｌ,,,,,,,single,M01105,3006,10
151225,151225,×メルシャン　ワインライフパック　赤　１．８Ｌ,,,,,,,single,I02110,3007,11
151226,151226,×メルシャン　ワインライフパック　白　１．８Ｌ,,,,,,,single,K09315,3008,10
151227,151227,　メルシャン　ワインライフパック　ロゼ　１．８Ｌ,,,,,,,single,I09121,3009,11
152113,152113,　ル　デュモン　ボージョレヌーヴォー　ＶＶ　７５０ｍｌ,,,,,,,single,YBN000,3010,10
152175,152175,　アンリ　フェッシ　ボージョレ　ヌーヴォー　３７５ｍｌ,,,,,,,single,YBN000,3010,10
152514,152514,　シャトーデマラドレ　ボージョレヴィラージュヌーヴォー　７５０ｍｌ,,,,,,,single,YBN000,3010,10
152540,152540,×エルコルティホ　カベルネソービニヨン（赤）　３Ｌ,,,,,,,single,AC0010,3011,10
152541,152541,　エルコルティホ　ソービニヨンブラン（白）　３Ｌ,,,,,,,single,AC0010,3011,10
152703,152703,×キリエラ　ロッソ　５００ｍｌ,,,,,,,single,I07314,3012,11
152794,152794,　ＪＰシェネ　ボージョレヌーヴォー　パック　１８７ｍｌ,,,,,,,single,YBN000,3010,10
152805,152805,　エリックパルドン　ボージョレヌーヴォー　７５０ｍｌ,,,,,,,single,YBN000,3010,10
154002,154002,　チンザノ　ビアンコ７５０ｍｌ,,,,,,,single,E03310,3013,11
154528,154528,　シャトーデロージュ　ボージョレヴィラージュヌーヴォーＶＶ　７５０ｍｌ,,,,,,,single,YBN000,3010,10
154633,154633,　デュブッフ　ボージョレ　ヌーヴォー　３７５ｍｌ,,,,,,,single,YBN000,3010,10
155401,155401,　サンテロ　ピノ　ロゼ　７５０ｍｌ,52299,0,0,,,,single,I09323,3014,11
155648,155648,　ペリエジュエ　ブランドブラン　７５０ｍｌ,,,,,,,single,I08102,3015,11
156043,156043,　エリックパルドン　ボージョレヴィラージュ　ヌーヴォー　３７５ｍｌ,,,,,,,single,YBN000,3010,10
156185,156185,×ウインダムエステート　ピノノワール　ＢＩＮ３３３　７５０ｍｌ,,,,,,,single,I03419,3016,11
156420,156420,　テールセクレット　マコンヴィラージュヌーヴォー　７５０ｍｌ,,,,,,,single,YBN000,3010,10
156487,156487,×ピエール＆レミー　カベルネソービニヨン　３７５ｍｌ,,,,,,,single,I05407,3017,11
156634,156634,　ジャンドロレール　ボージョレヌーヴォー　７５０ｍｌ,,,,,,,single,YBN000,3010,10
156677,156677,　ルロワ　ボージョレヴィラージュ　プリムール　７５０ｍｌ,,,,,,,single,YBN000,3010,10
156987,156987,　ジャンロロン　ボージョレヴィラージュヌーヴォー　リフト６９　７５０ｍｌ,,,,,,,single,YBN000,3010,10
157314,157314,　マリーシェルメット　ロゼ　ボージョレヌーヴォー　７５０ｍｌ,,,,,,,single,YBN000,3010,10
157835,157835,　フェルナンドラロッシュ　ボージョレヌーヴォー　ＰＥＴ　７５０ｍｌ,,,,,,,single,YBN000,3010,10
157990,157990,　カゼマッテ　ネロダーヴォラ　７５０ｍｌ,,,,,,,single,I07418,3018,11
158600,158600,　マリーシェルメット　ボージョレヌーヴォー　グリオット　３７５ｍｌ,,,,,,,single,YBN000,3010,10
158603,158603,　ラブレロワ　ボージョレ　ヌーヴォー　７５０ｍｌ,,,,,,,single,YBN000,3010,10
